Date,Time,Open,High,Low,Close,Volume
20171204,131800,41825,41825,41820,41820,2
20171204,131900,41825,41830,41825,41830,2
20171204,132000,41825,41825,41825,41825,1
20171204,132100,41820,41820,41820,41820,1
20171204,132200,41822,41825,41822,41825,2
20171204,132300,41830,41840,41830,41840,2
20171204,132400,41835,41835,41835,41835,1
20171204,132600,41825,41825,41825,41825,1
20171204,132700,41830,41830,41830,41830,1
20171204,132800,41831,41831,41830,41830,2
20171204,132900,41840,41840,41840,41840,1
20171204,133100,41835,41835,41835,41835,1
20171204,133400,41840,41840,41840,41840,1
20171204,133700,41845,41845,41845,41845,1
20171204,133800,41840,41840,41840,41840,1
20171204,133900,41845,41845,41840,41840,2
20171204,134000,41845,41845,41845,41845,1
20171204,134100,41840,41845,41840,41845,2
20171204,134200,41840,41840,41840,41840,1
20171204,134600,41850,41850,41850,41850,1
20171204,134700,41860,41860,41860,41860,1
20171204,134800,41865,41865,41865,41865,1
20171204,134900,41860,41860,41855,41855,2
20171204,135000,41860,41860,41860,41860,1
20171204,135100,41855,41855,41855,41855,1
20171204,135200,41860,41860,41860,41860,1
20171204,135300,41865,41865,41860,41860,2
20171204,135400,41865,41865,41865,41865,1
20171204,135500,41860,41860,41860,41860,1
20171204,135600,41865,41870,41865,41870,2
20171204,135700,41865,41865,41860,41860,2
20171204,135900,41855,41860,41855,41855,3
20171204,140000,41860,41860,41860,41860,1
20171204,140100,41870,41875,41870,41875,2
20171204,140200,41880,41880,41875,41875,2
20171204,140400,41880,41880,41880,41880,1
20171204,140900,41885,41885,41885,41885,1
20171204,141200,41880,41882,41880,41882,2
20171204,141300,41885,41885,41885,41885,1
20171204,141400,41880,41880,41880,41880,1
20171204,141500,41870,41880,41870,41875,3
20171204,141600,41870,41875,41870,41875,2
20171204,141700,41865,41865,41865,41865,1
20171204,141800,41870,41870,41870,41870,1
20171204,141900,41875,41875,41875,41875,1
20171204,142000,41870,41875,41870,41875,2
20171204,142100,41880,41880,41880,41880,1
20171204,142200,41875,41880,41875,41880,2
20171204,142300,41885,41890,41885,41890,2
20171204,142500,41880,41880,41880,41880,1
20171204,142800,41875,41875,41875,41875,1
20171204,142900,41870,41870,41870,41870,1
20171204,143100,41865,41865,41865,41865,1
20171204,143200,41860,41860,41860,41860,1
20171204,143300,41855,41855,41855,41855,1
20171204,143500,41860,41860,41860,41860,1
20171204,143600,41870,41870,41870,41870,1
20171204,143700,41875,41875,41875,41875,1
20171204,143900,41870,41870,41865,41865,2
20171204,144100,41870,41870,41870,41870,1
20171204,144300,41880,41880,41880,41880,1
20171204,144400,41875,41875,41875,41875,1
20171204,144700,41880,41880,41875,41875,2
20171204,144800,41880,41885,41880,41885,2
20171204,145000,41890,41890,41890,41890,1
20171204,145100,41900,41900,41895,41895,2
20171204,145300,41900,41900,41900,41900,1
20171204,145800,41895,41895,41890,41890,2
20171204,150200,41885,41890,41885,41890,2
20171204,150300,41895,41895,41890,41895,3
20171204,150400,41890,41895,41890,41895,2
20171204,150500,41905,41905,41905,41905,1
20171204,150600,41900,41900,41895,41895,2
20171204,150800,41890,41890,41885,41885,2
20171204,151000,41890,41890,41890,41890,1
20171204,151100,41895,41895,41895,41895,1
20171204,151300,41890,41890,41890,41890,1
20171204,151500,41885,41885,41885,41885,1
20171204,151700,41875,41875,41875,41875,1
20171204,151800,41880,41880,41880,41880,1
20171204,152000,41875,41875,41875,41875,1
20171204,152100,41870,41870,41870,41870,1
20171204,152700,41875,41875,41875,41875,1
20171204,152900,41880,41880,41880,41880,1
20171204,153100,41885,41885,41885,41885,1
20171204,153900,41880,41880,41880,41880,1
20171204,154500,41885,41885,41885,41885,1
20171204,154600,41890,41890,41890,41890,1
20171204,155000,41895,41895,41895,41895,1
20171204,155200,41900,41905,41900,41905,2
20171204,155400,41910,41910,41910,41910,1
20171204,155500,41920,41920,41920,41920,1
20171204,155600,41925,41925,41925,41925,1
20171204,155700,41930,41930,41930,41930,1
20171204,155800,41935,41935,41935,41935,1
20171204,155900,41940,41940,41940,41940,1
20171204,160000,41945,41945,41945,41945,1
20171204,160200,41940,41940,41940,41940,1
20171204,160400,41945,41945,41945,41945,1
20171204,160700,41940,41940,41935,41935,2
20171204,160900,41940,41940,41940,41940,1
20171204,161100,41945,41945,41945,41945,1
20171204,161200,41940,41940,41940,41940,1
20171204,161400,41935,41935,41935,41935,1
20171204,161900,41930,41930,41930,41930,1
20171204,162200,41920,41920,41920,41920,1
20171204,162300,41915,41920,41915,41920,2
20171204,162600,41925,41925,41925,41925,1
20171204,162700,41920,41920,41920,41920,1
20171204,163000,41925,41925,41925,41925,1
20171204,163300,41930,41930,41930,41930,1
20171204,163400,41935,41935,41930,41930,2
20171204,163600,41935,41935,41935,41935,1
20171204,163700,41930,41930,41925,41925,2
20171204,163900,41920,41920,41910,41910,3
20171204,164000,41900,41900,41900,41900,1
20171204,164200,41895,41900,41895,41900,2
20171204,164600,41905,41905,41905,41905,1
20171204,164700,41900,41900,41900,41900,1
20171204,164900,41895,41895,41895,41895,1
20171204,165100,41910,41910,41910,41910,1
