Date,Open,High,Low,Last,Change,Settle,Volume,Previous Day Open Interest
2020-05-18,32.6,35.36,32.58,35.36,2.01,34.77,5740.0,41559.0
2020-05-19,34.6,35.44,34.49,34.68,0.06,34.83,2967.0,42404.0
2020-05-20,34.83,36.3,34.83,35.83,0.83,35.96,14841.0,49327.0
2020-05-21,35.93,36.66,35.93,36.39,0.41,36.37,12010.0,47996.0
2020-05-22,36.43,36.52,34.08,36.22,0.38,35.99,7984.0,48823.0
2020-05-26,35.75,37.25,35.63,36.87,1.05,37.04,8011.0,49520.0
2020-05-27,,36.95,35.05,35.21,1.2,35.84,8352.0,50002.0
2020-05-28,35.0,36.77,34.79,36.34,0.56,36.4,12686.0,49665.0
2020-05-29,36.11,37.84,35.5,37.59,1.27,37.67,10124.0,49529.0
2020-06-01,37.3,37.84,36.72,37.8,0.04,37.63,12520.0,50813.0
2020-06-02,37.61,38.59,37.5,38.49,0.84,38.47,12396.0,50185.0
2020-06-03,38.56,39.38,38.04,38.52,0.55,39.02,12116.0,51009.0
2020-06-04,38.84,39.38,38.41,39.28,0.28,39.3,5744.0,51121.0
2020-06-05,39.39,40.99,39.08,40.08,1.47,40.77,21000.0,51321.0
2020-06-08,40.65,41.45,39.42,39.42,1.24,39.53,12318.0,52264.0
2020-06-09,39.58,40.34,38.9,39.7,0.69,40.22,14840.0,53456.0
2020-06-10,39.59,40.93,39.34,40.23,0.44,40.66,10483.0,52133.0
2020-06-11,40.18,40.2,37.31,37.85,2.67,37.99,15059.0,53037.0
2020-06-12,37.92,38.53,36.55,38.21,0.02,38.01,10915.0,54473.0
2020-06-15,37.7,39.08,36.55,38.96,1.03,39.04,8143.0,54946.0
2020-06-16,39.04,40.62,38.66,39.6,0.98,40.02,5828.0,55363.0
2020-06-17,39.31,40.21,39.07,39.27,0.65,39.37,6846.0,55567.0
2020-06-18,39.24,40.03,38.87,39.95,0.61,39.98,6741.0,55895.0
2020-06-19,40.18,40.99,39.37,40.24,0.45,40.43,8972.0,56550.0
2020-06-22,39.88,41.31,39.88,41.12,0.87,41.3,8207.0,57448.0
2020-06-23,41.5,42.06,40.46,40.66,0.29,41.01,6262.0,57259.0
2020-06-24,40.73,41.15,38.53,39.18,1.88,39.13,11534.0,57837.0
2020-06-25,39.28,40.19,38.52,40.08,0.7,39.83,14583.0,56990.0
2020-06-26,40.09,40.26,39.0,39.22,0.38,39.45,10113.0,60691.0
2020-06-29,39.02,40.68,38.79,40.45,1.07,40.52,10017.0,62841.0
2020-06-30,40.58,40.65,39.77,40.33,0.55,39.97,10499.0,64263.0
2020-07-01,40.25,41.0,39.65,40.51,0.67,40.64,12552.0,66793.0
2020-07-02,40.53,41.4,40.33,40.99,0.7,41.34,13633.0,70285.0
2020-07-06,41.2,41.89,40.72,41.36,0.06,41.4,9420.0,72251.0
2020-07-07,41.43,41.73,40.85,41.29,0.01,41.41,10625.0,73582.0
2020-07-08,41.28,41.82,41.17,41.71,0.38,41.79,17226.0,75250.0
2020-07-09,41.75,41.82,40.55,40.89,0.87,40.92,13167.0,77512.0
2020-07-10,40.93,41.73,40.13,41.64,0.77,41.69,16304.0,78681.0
2020-07-13,41.64,41.71,40.76,40.76,0.44,41.25,10764.0,80326.0
2020-07-14,40.89,41.66,40.45,41.65,0.23,41.48,14379.0,79981.0
2020-07-15,41.77,42.17,41.27,41.94,0.68,42.16,11510.0,80897.0
2020-07-16,41.93,42.08,41.6,41.7,-0.36,41.8,7790.0,82948.0
2020-07-17,41.86,41.87,41.25,41.68,-0.07,41.73,7719.0,83966.0
2020-07-20,41.66,41.9,41.1,41.76,0.11,41.84,4378.0,84756.0
2020-07-21,41.76,43.14,41.76,42.21,0.71,42.55,12987.0,85376.0
2020-07-22,42.17,42.69,42.03,42.6,0.08,42.63,5544.0,85222.0
2020-07-23,42.65,43.04,41.73,41.87,-0.68,41.95,11976.0,86171.0
2020-07-24,41.94,42.36,41.66,42.29,0.4,42.35,8632.0,89404.0
2020-07-27,42.43,42.84,41.68,42.75,0.38,42.73,8636.0,90408.0
2020-07-28,42.77,42.84,42.17,42.38,-0.38,42.35,8225.0,92478.0
2020-07-29,42.5,42.79,42.26,42.67,0.3,42.65,10264.0,92879.0
2020-07-30,42.71,42.71,40.46,42.02,-0.98,41.67,9747.0,93967.0
2020-07-31,42.12,42.14,41.43,42.05,0.32,41.99,5262.0,94484.0
2020-08-03,41.72,42.92,41.46,42.54,0.85,42.84,18350.0,94519.0
2020-08-04,42.48,43.5,42.04,42.98,0.41,43.25,16052.0,98283.0
2020-08-05,42.96,44.75,42.88,43.78,0.55,43.8,24546.0,101917.0
2020-08-06,43.79,44.18,43.42,43.64,-0.07,43.73,15481.0,103496.0
2020-08-07,43.73,43.83,42.88,43.31,-0.7,43.03,9709.0,104850.0
2020-08-10,43.26,43.88,43.26,43.62,0.55,43.58,10810.0,105052.0
2020-08-11,43.64,44.36,43.16,43.3,-0.28,43.3,13811.0,105780.0
2020-08-12,43.35,44.41,43.22,44.14,0.94,44.24,16872.0,107023.0
2020-08-13,44.17,44.36,43.8,44.04,-0.29,43.95,11399.0,109767.0
2020-08-14,44.03,44.21,43.56,43.94,-0.11,43.84,17929.0,112108.0
2020-08-17,44.01,44.63,43.75,44.49,0.73,44.57,13852.0,116993.0
2020-08-18,44.48,44.67,43.97,44.26,,44.57,10595.0,118660.0
2020-08-19,44.38,44.58,44.09,44.38,-0.06,44.51,10565.0,120051.0
2020-08-20,44.21,44.28,43.21,44.17,-0.26,44.25,18385.0,120837.0
2020-08-21,44.31,44.33,42.96,43.67,-0.48,43.77,18016.0,123847.0
2020-08-24,43.88,44.22,43.68,43.97,0.4,44.17,13302.0,125323.0
2020-08-25,44.02,44.96,44.02,44.78,0.58,44.75,34107.0,125433.0
2020-08-26,44.78,45.07,44.54,44.82,0.06,44.81,21378.0,128111.0
2020-08-27,44.85,44.86,43.88,44.36,-0.41,44.4,18858.0,130439.0
2020-08-28,44.34,44.74,44.18,44.49,0.11,44.51,16533.0,131091.0
2020-08-31,44.52,45.0,44.01,44.22,-0.45,44.06,11898.0,130734.0
