Date,Open,High,Low,Last,Change,Settle,Volume,Previous Day Open Interest
2020-05-18,29.53,33.32,29.53,32.83,2.39,31.82,86223.0,54931.0
2020-05-19,32.83,33.44,31.34,32.36,0.68,32.5,19099.0,23344.0
2020-05-20,31.89,33.78,31.56,33.52,1.53,33.49,403178.0,298225.0
2020-05-21,33.53,34.66,33.26,33.91,0.43,33.92,369176.0,291719.0
2020-05-22,33.95,34.0,30.72,33.56,0.67,33.25,426219.0,282132.0
2020-05-26,33.3,34.81,32.48,34.17,1.1,34.35,465135.0,276814.0
2020-05-27,34.14,34.32,31.75,32.22,1.54,32.81,411093.0,270931.0
2020-05-28,32.1,34.21,31.14,33.65,0.9,33.71,436618.0,266566.0
2020-05-29,33.68,35.77,32.36,35.32,1.78,35.49,440051.0,260121.0
2020-06-01,35.21,35.9,34.27,35.56,0.05,35.44,377319.0,254909.0
2020-06-02,35.56,37.06,35.28,36.87,1.37,36.81,335903.0,243333.0
2020-06-03,36.86,38.18,35.88,36.75,0.48,37.29,490285.0,240109.0
2020-06-04,36.76,37.62,36.38,37.33,0.12,37.41,302230.0,243804.0
2020-06-05,37.33,39.68,37.05,38.97,2.14,39.55,392672.0,237893.0
2020-06-08,39.41,40.44,37.96,38.19,1.36,38.19,410132.0,226110.0
2020-06-09,38.22,39.1,37.07,38.39,0.75,38.94,391224.0,219058.0
2020-06-10,38.5,39.91,37.73,39.09,0.66,39.6,380506.0,199619.0
2020-06-11,39.09,39.09,35.41,36.17,3.26,36.34,508568.0,186277.0
2020-06-12,36.26,36.99,34.48,36.56,0.08,36.26,400401.0,176347.0
2020-06-15,36.03,37.26,34.36,37.07,0.86,37.12,374956.0,151371.0
2020-06-16,37.05,39.06,36.38,37.93,1.26,38.38,351725.0,126969.0
2020-06-17,37.93,38.75,37.21,37.7,0.42,37.96,235697.0,96983.0
2020-06-18,37.74,38.97,37.11,38.84,0.88,38.84,109809.0,64298.0
2020-06-19,38.85,40.5,38.4,39.43,0.91,39.75,61163.0,39340.0
2020-06-22,39.18,40.7,39.12,40.6,0.71,40.46,18811.0,19690.0
