Date,Open,High,Low,Last,Change,Settle,Volume,Previous Day Open Interest
2020-05-18,30.3,33.52,30.15,32.93,2.15,32.27,174120.0,248058.0
2020-05-19,33.01,33.38,31.73,32.36,0.2,32.47,133343.0,244399.0
2020-05-20,33.02,34.64,32.67,34.37,1.37,34.38,78233.0,314902.0
2020-05-21,34.38,35.42,34.24,34.79,0.43,34.81,88592.0,319064.0
2020-05-22,34.82,34.95,31.88,34.35,0.67,34.14,78232.0,320545.0
2020-05-26,34.3,35.58,33.43,35.01,1.1,35.24,79283.0,325366.0
2020-05-27,35.0,35.12,32.75,33.13,1.55,33.69,87112.0,329675.0
2020-05-28,33.01,34.99,32.18,34.43,0.8,34.49,88178.0,331021.0
2020-05-29,34.48,36.46,33.24,36.02,1.71,36.2,104148.0,330683.0
2020-06-01,35.78,36.56,35.05,36.25,0.03,36.17,89254.0,335725.0
2020-06-02,36.15,37.53,35.98,37.39,1.18,37.35,82921.0,331924.0
2020-06-03,37.33,38.6,36.58,37.31,0.52,37.87,111253.0,333621.0
2020-06-04,37.29,38.18,37.02,37.93,0.13,38.0,75534.0,335510.0
2020-06-05,37.94,40.13,37.66,39.47,2.03,40.03,115452.0,330241.0
2020-06-08,39.91,40.89,38.51,38.63,1.38,38.65,116888.0,333370.0
2020-06-09,38.7,39.52,37.61,38.83,0.73,39.38,97915.0,329987.0
2020-06-10,38.94,40.28,38.24,39.49,0.59,39.97,87282.0,325893.0
2020-06-11,39.45,39.47,35.97,36.64,3.16,36.81,157300.0,325270.0
2020-06-12,36.74,37.47,35.04,37.01,0.03,36.78,97230.0,324707.0
2020-06-15,36.6,37.8,35.01,37.66,0.93,37.71,108206.0,321482.0
2020-06-16,37.64,39.58,36.95,38.42,1.16,38.87,126192.0,323001.0
2020-06-17,38.36,39.2,37.71,38.22,0.47,38.4,105521.0,325006.0
2020-06-18,38.22,39.34,37.62,39.16,0.83,39.23,109111.0,320916.0
2020-06-19,39.19,40.67,38.66,39.61,0.7,39.93,140580.0,315123.0
2020-06-22,39.1,40.9,39.1,40.7,0.92,40.85,101248.0,315475.0
2020-06-23,40.78,41.74,39.9,40.14,0.34,40.51,101239.0,311303.0
2020-06-24,40.16,40.68,37.52,38.29,2.3,38.21,159116.0,309241.0
2020-06-25,38.26,39.38,37.32,39.2,0.7,38.91,133150.0,318496.0
2020-06-26,39.23,39.5,37.96,38.34,0.26,38.65,125931.0,321291.0
2020-06-29,38.12,39.99,37.69,39.73,1.16,39.81,141087.0,324431.0
2020-06-30,39.76,40.12,38.96,39.87,0.47,39.34,225078.0,329743.0
2020-07-01,39.88,40.61,39.11,39.82,0.58,39.92,204062.0,319954.0
2020-07-02,39.85,40.84,39.57,40.38,0.84,40.76,148179.0,303101.0
2020-07-06,40.43,41.19,39.95,40.69,0.03,40.73,138475.0,302551.0
2020-07-07,40.75,41.01,40.0,40.57,0.03,40.7,94116.0,309854.0
2020-07-08,40.57,41.16,40.4,41.01,0.34,41.04,124667.0,314368.0
2020-07-09,41.03,41.12,39.45,39.79,1.21,39.83,164887.0,335595.0
2020-07-10,39.83,40.92,38.77,40.82,0.93,40.76,181674.0,353180.0
2020-07-13,40.57,40.91,39.7,39.81,0.44,40.32,203115.0,367815.0
2020-07-14,39.84,40.8,39.31,40.69,0.23,40.55,234067.0,394429.0
2020-07-15,40.79,41.46,40.32,41.2,0.85,41.4,243417.0,439498.0
2020-07-16,41.19,41.38,40.69,40.89,-0.47,40.93,200814.0,454774.0
2020-07-17,40.9,41.05,40.18,40.77,-0.18,40.75,269324.0,462721.0
2020-07-20,40.77,41.02,39.97,40.8,0.17,40.92,325411.0,462973.0
2020-07-21,40.8,42.51,40.75,41.57,1.0,41.92,387197.0,470498.0
2020-07-22,41.54,42.03,41.14,41.89,-0.02,41.9,329112.0,467651.0
2020-07-23,41.95,42.36,40.83,41.06,-0.83,41.07,386325.0,467297.0
2020-07-24,41.06,41.67,40.66,41.34,0.22,41.29,351455.0,455544.0
2020-07-27,41.26,41.82,40.48,41.65,0.31,41.6,374923.0,453198.0
2020-07-28,41.65,41.93,40.85,41.08,-0.56,41.04,274464.0,455271.0
2020-07-29,41.13,41.57,40.93,41.32,0.23,41.27,292490.0,451039.0
2020-07-30,41.32,41.39,38.72,40.33,-1.35,39.92,479093.0,439683.0
2020-07-31,40.34,40.55,39.66,40.43,0.35,40.27,311071.0,433568.0
2020-08-03,40.39,41.24,39.58,40.77,0.74,41.01,330395.0,412279.0
2020-08-04,40.78,42.08,40.14,41.53,0.69,41.7,446432.0,393192.0
2020-08-05,41.56,43.52,41.47,42.2,0.49,42.19,485328.0,393668.0
2020-08-06,42.19,42.65,41.61,41.97,-0.24,41.95,353417.0,393357.0
2020-08-07,41.97,42.22,41.06,41.6,-0.73,41.22,393834.0,380136.0
2020-08-10,41.5,42.33,41.17,41.99,0.72,41.94,357069.0,339035.0
2020-08-11,41.98,42.94,41.48,41.61,-0.33,41.61,425585.0,298735.0
2020-08-12,41.62,42.9,41.53,42.56,1.06,42.67,390466.0,256764.0
2020-08-13,42.57,42.84,42.09,42.34,-0.43,42.24,321812.0,195634.0
2020-08-14,42.33,42.57,41.62,42.23,-0.23,42.01,299918.0,154923.0
2020-08-17,42.24,42.97,41.8,42.81,0.88,42.89,202400.0,120294.0
2020-08-18,42.79,42.99,42.11,42.55,,42.89,106171.0,75639.0
2020-08-19,42.6,43.03,42.36,42.79,0.04,42.93,70219.0,57929.0
2020-08-20,42.74,42.79,41.5,42.62,-0.35,42.58,17963.0,20559.0
