Date,Open,High,Low,Last,Change,Settle,Volume,Previous Day Open Interest
2020-05-18,31.3,34.13,31.3,33.88,2.14,33.25,43934.0,116627.0
2020-05-19,33.76,34.17,32.85,33.39,0.13,33.38,27041.0,117271.0
2020-05-20,33.53,35.2,33.53,34.85,1.17,34.94,15653.0,121121.0
2020-05-21,34.83,35.86,34.83,35.48,0.48,35.42,20074.0,118893.0
2020-05-22,35.39,35.54,32.79,35.1,0.58,34.84,10479.0,116796.0
2020-05-26,34.61,36.21,34.35,35.66,1.04,35.88,18442.0,116248.0
2020-05-27,35.56,35.72,33.6,33.92,1.46,34.42,20736.0,114764.0
2020-05-28,33.85,35.55,33.09,35.15,0.73,35.15,15168.0,115336.0
2020-05-29,35.05,36.9,34.07,36.55,1.52,36.67,16575.0,116273.0
2020-06-01,36.2,36.89,35.6,36.76,0.02,36.65,20258.0,116353.0
2020-06-02,36.68,37.84,36.53,37.76,1.06,37.71,18449.0,116467.0
2020-06-03,37.67,38.74,37.11,37.66,0.53,38.24,21529.0,117182.0
2020-06-04,37.67,38.56,37.55,38.38,0.2,38.44,12434.0,118676.0
2020-06-05,38.42,40.43,38.34,39.61,1.84,40.28,23764.0,120521.0
2020-06-08,40.33,41.06,38.87,38.88,1.34,38.94,21382.0,123639.0
2020-06-09,39.08,39.81,38.07,39.12,0.73,39.67,20670.0,125030.0
2020-06-10,39.15,40.5,38.59,39.75,0.54,40.21,15610.0,126823.0
2020-06-11,39.69,39.7,36.45,37.02,3.01,37.2,23802.0,129163.0
2020-06-12,37.17,37.86,35.54,37.43,0.01,37.21,20038.0,128478.0
2020-06-15,36.67,38.27,35.56,38.12,0.98,38.19,17098.0,128263.0
2020-06-16,38.15,39.99,37.56,38.82,1.11,39.3,18486.0,127802.0
2020-06-17,38.61,39.58,38.23,38.6,0.56,38.74,20451.0,126094.0
2020-06-18,38.61,39.6,38.05,39.41,0.77,39.51,18353.0,124865.0
2020-06-19,39.4,40.76,38.95,39.82,0.59,40.1,26740.0,121699.0
2020-06-22,39.58,41.06,39.45,40.92,0.94,41.04,15097.0,118478.0
2020-06-23,40.95,41.91,40.16,40.38,0.31,40.73,15876.0,118322.0
2020-06-24,40.43,40.85,37.9,38.64,2.17,38.56,31273.0,118661.0
2020-06-25,38.72,39.67,37.82,39.56,0.7,39.26,28151.0,117375.0
2020-06-26,39.65,39.78,38.33,38.71,0.32,38.94,20060.0,115397.0
2020-06-29,38.4,40.2,38.09,39.93,1.1,40.04,27024.0,115480.0
2020-06-30,40.09,40.32,39.24,40.05,0.46,39.58,59503.0,114134.0
2020-07-01,40.1,40.75,39.29,40.09,0.65,40.23,86711.0,117260.0
2020-07-02,40.11,41.09,39.88,40.65,0.79,41.02,36449.0,121894.0
2020-07-06,40.74,41.48,40.22,40.95,0.03,40.99,31294.0,112684.0
2020-07-07,40.96,41.27,40.34,40.81,0.05,40.94,22174.0,112820.0
2020-07-08,40.74,41.38,40.67,41.23,0.35,41.29,30149.0,109313.0
2020-07-09,41.34,41.34,39.84,40.16,1.09,40.2,30855.0,107569.0
2020-07-10,40.23,41.2,39.25,41.12,0.9,41.1,32039.0,106941.0
2020-07-13,40.96,41.19,40.08,40.15,0.46,40.64,31242.0,105943.0
2020-07-14,40.2,41.11,39.71,41.01,0.24,40.88,24633.0,105222.0
2020-07-15,41.18,41.73,40.68,41.48,0.81,41.69,35228.0,103383.0
2020-07-16,41.48,41.6,41.01,41.18,-0.45,41.24,16812.0,97826.0
2020-07-17,41.2,41.33,40.56,41.08,-0.13,41.11,15267.0,97022.0
2020-07-20,41.11,41.33,40.37,41.13,0.13,41.24,29225.0,99187.0
2020-07-21,41.1,42.75,41.09,41.81,0.93,42.17,44114.0,104256.0
2020-07-22,41.82,42.28,41.47,42.16,,42.17,29563.0,109590.0
2020-07-23,42.18,42.62,41.14,41.34,-0.8,41.37,50290.0,110139.0
2020-07-24,41.34,41.93,41.01,41.67,0.27,41.64,41137.0,112939.0
2020-07-27,41.63,42.17,40.9,42.04,0.36,42.0,56763.0,113301.0
2020-07-28,42.08,42.31,41.31,41.57,-0.48,41.52,39406.0,112703.0
2020-07-29,41.63,42.04,41.43,41.83,0.29,41.81,54220.0,114550.0
2020-07-30,41.85,41.9,39.33,40.99,-1.21,40.6,69798.0,122662.0
2020-07-31,41.04,41.2,40.31,41.05,0.31,40.91,45428.0,129162.0
2020-08-03,41.0,41.83,40.25,41.38,0.77,41.68,60011.0,129237.0
2020-08-04,41.39,42.55,40.8,42.01,0.53,42.21,76617.0,132999.0
2020-08-05,41.99,43.91,41.94,42.77,0.55,42.76,100264.0,136591.0
2020-08-06,42.74,43.19,42.25,42.54,-0.2,42.56,86100.0,134864.0
2020-08-07,42.54,42.78,41.7,42.16,-0.7,41.86,77163.0,130459.0
2020-08-10,42.01,42.86,41.83,42.51,0.64,42.5,71775.0,140491.0
2020-08-11,42.54,43.44,42.08,42.23,-0.3,42.2,87638.0,150355.0
2020-08-12,42.24,43.46,42.13,43.14,1.05,43.25,99831.0,169427.0
2020-08-13,43.13,43.4,42.69,42.94,-0.41,42.84,85651.0,181619.0
2020-08-14,42.94,43.16,42.3,42.85,-0.17,42.67,64446.0,194353.0
2020-08-17,42.83,43.56,42.47,43.39,0.81,43.48,62664.0,199658.0
2020-08-18,43.37,43.6,42.76,43.07,-0.04,43.44,59454.0,201988.0
2020-08-19,43.08,43.48,42.87,43.24,-0.05,43.39,73538.0,203094.0
2020-08-20,43.21,43.23,41.94,43.03,-0.3,43.09,85340.0,206335.0
2020-08-21,43.01,43.22,41.74,42.54,-0.47,42.62,82655.0,209300.0
2020-08-24,42.72,43.13,42.51,42.71,0.31,42.93,82726.0,213051.0
2020-08-25,42.71,43.84,42.63,43.71,0.72,43.65,106902.0,207657.0
2020-08-26,43.74,44.05,43.32,43.74,0.04,43.69,79558.0,209462.0
2020-08-27,43.78,43.81,42.68,43.28,-0.38,43.31,91342.0,210793.0
2020-08-28,43.27,43.69,43.03,43.29,-0.02,43.29,100811.0,212806.0
2020-08-31,43.3,43.89,42.84,43.11,-0.39,42.9,76193.0,209444.0
2020-09-01,43.12,43.7,43.04,43.32,0.18,43.08,109272.0,211972.0
2020-09-02,43.35,43.51,41.59,41.91,-1.23,41.85,117220.0,216779.0
2020-09-03,41.96,42.14,40.61,41.62,-0.13,41.72,110938.0,223659.0
2020-09-04,41.6,42.19,39.75,39.81,-1.57,40.15,113317.0,224279.0
2020-09-08,39.86,39.96,36.58,37.27,-2.96,37.19,263470.0,232235.0
2020-09-09,37.18,38.78,36.6,38.16,1.22,38.41,193474.0,251632.0
2020-09-10,38.16,38.53,37.27,37.34,-0.75,37.66,168776.0,269167.0
2020-09-11,37.34,38.12,37.02,37.67,-0.01,37.65,150376.0,286517.0
2020-09-14,37.6,37.97,37.12,37.55,-0.09,37.56,181404.0,306148.0
2020-09-15,37.6,38.82,37.36,38.64,0.99,38.55,212206.0,330422.0
2020-09-16,38.65,40.59,38.62,40.43,1.86,40.41,275627.0,347206.0
2020-09-17,40.41,41.48,39.67,41.22,0.81,41.22,266174.0,365913.0
2020-09-18,41.2,41.72,40.52,41.15,0.1,41.32,276742.0,374695.0
2020-09-21,41.19,41.49,38.87,39.83,-1.78,39.54,398173.0,372537.0
2020-09-22,39.84,40.27,39.19,39.75,0.26,39.8,284574.0,366912.0
2020-09-23,39.76,40.75,39.26,39.59,0.13,39.93,313862.0,369440.0
2020-09-24,39.6,40.37,39.12,40.19,0.38,40.31,265991.0,363030.0
2020-09-25,40.15,40.64,39.71,40.04,-0.06,40.25,224340.0,360410.0
2020-09-28,40.07,40.8,39.78,40.57,0.35,40.6,221523.0,355229.0
2020-09-29,40.58,40.7,38.41,39.11,-1.31,39.29,392396.0,355663.0
2020-09-30,39.16,40.37,38.68,39.86,0.93,40.22,354437.0,355971.0
2020-10-01,39.9,40.47,37.61,38.58,-1.5,38.72,435337.0,350342.0
2020-10-02,38.6,38.65,36.63,36.99,-1.67,37.05,384067.0,345967.0
2020-10-05,37.0,39.72,37.0,39.35,2.17,39.22,371910.0,335875.0
2020-10-06,39.35,40.86,39.1,39.83,1.45,40.67,393993.0,324206.0
2020-10-07,39.83,40.35,39.28,40.04,-0.72,39.95,427198.0,306975.0
2020-10-08,39.99,41.33,39.76,41.27,1.24,41.19,404101.0,268430.0
2020-10-09,41.31,41.47,40.38,40.52,-0.59,40.6,328091.0,233004.0
2020-10-12,40.4,40.45,39.04,39.49,-1.17,39.43,315616.0,198765.0
2020-10-13,39.53,40.53,39.35,40.18,0.77,40.2,364504.0,173494.0
2020-10-14,40.19,41.15,39.82,41.11,0.84,41.04,318879.0,132930.0
2020-10-15,41.13,41.29,39.22,40.92,-0.08,40.96,241129.0,101748.0
2020-10-16,40.88,41.05,40.08,40.78,-0.08,40.88,93559.0,73824.0
2020-10-19,40.69,41.22,40.54,40.71,-0.05,40.83,70062.0,55666.0
2020-10-20,40.65,41.7,40.25,41.46,0.63,41.46,17399.0,15166.0
