Date,Open,High,Low,Last,Change,Settle,Volume,Previous Day Open Interest
2020-05-18,,,,,17.8,1789.0,0.0,47.0
2020-05-19,,,,,12.5,1801.5,0.0,47.0
2020-05-20,,,,,7.0,1808.5,0.0,47.0
2020-05-21,,,,,31.6,1776.9,0.0,47.0
2020-05-22,,,,,14.4,1791.3,0.0,47.0
2020-05-26,,,,,26.1,1765.2,0.0,47.0
2020-05-27,,,,,1.0,1766.2,0.0,47.0
2020-05-28,,,,,3.5,1769.7,0.0,47.0
2020-05-29,,1778.9,,1778.9,23.5,1793.2,0.0,47.0
2020-06-01,,,,,0.3,1793.5,0.0,47.0
2020-06-02,,,,,13.8,1779.7,0.0,47.0
2020-06-03,,,,,27.1,1752.6,0.0,47.0
2020-06-04,,,,,26.8,1779.4,0.0,47.0
2020-06-05,,,,,43.0,1736.4,0.0,47.0
2020-06-08,,,,,22.5,1758.9,0.0,47.0
2020-06-09,,,,,16.4,1775.3,0.0,47.0
2020-06-10,,,,,1.5,1773.8,0.0,47.0
2020-06-11,,,,,17.6,1791.4,0.0,47.0
2020-06-12,,,,,3.2,1788.2,0.0,47.0
2020-06-15,,,,,9.5,1778.7,0.0,47.0
2020-06-16,,,,,9.8,1788.5,0.0,47.0
2020-06-17,,,,,0.8,1787.7,0.0,47.0
2020-06-18,,,,,5.7,1782.0,0.0,47.0
2020-06-19,,,,,20.2,1802.2,0.0,47.0
2020-06-22,,,,,12.4,1814.6,0.0,47.0
2020-06-23,,,,,14.9,1829.5,0.0,47.0
2020-06-24,,,,,4.5,1825.0,0.0,47.0
2020-06-25,,,,,4.2,1820.8,0.0,47.0
2020-06-26,,,,,10.0,1830.8,0.0,47.0
2020-06-29,,,,,1.6,1823.5,0.0,64.0
2020-06-30,,,,,20.5,1844.0,0.0,64.0
2020-07-01,,,,,18.5,1825.5,0.0,64.0
2020-07-02,,,,,10.3,1835.8,0.0,64.0
2020-07-06,,,,,6.4,1842.2,0.0,64.0
2020-07-07,,,,,21.5,1863.7,0.0,64.0
2020-07-08,,,,,20.6,1884.3,0.0,64.0
2020-07-09,,,,,16.7,1867.6,0.0,64.0
2020-07-10,,,,,2.0,1865.6,0.0,64.0
2020-07-13,,1871.0,,1871.0,13.3,1878.9,0.0,64.0
2020-07-14,,,,,1.9,1877.0,0.0,64.0
2020-07-15,,1883.0,,1883.0,-0.1,1876.9,0.0,64.0
2020-07-16,,,,,-15.3,1861.6,0.0,64.0
