Date,Open,High,Low,Last,Change,Settle,Volume,Previous Day Open Interest
2020-05-18,1795.4,1795.4,1795.4,1795.4,18.3,1767.9,44.0,146.0
2020-05-19,1784.2,1784.2,1784.2,1784.2,12.5,1780.4,2.0,267.0
2020-05-20,1784.0,1791.2,1784.0,1789.0,7.8,1788.2,75.0,268.0
2020-05-21,,,,,31.8,1756.4,152.0,277.0
2020-05-22,1773.5,1773.5,1771.9,1771.9,14.4,1770.8,67.0,310.0
2020-05-26,1762.9,1764.0,1762.9,1764.0,24.9,1745.9,76.0,692.0
2020-05-27,1725.0,1727.4,1722.5,1727.4,0.9,1746.8,6.0,693.0
2020-05-28,,,,,3.5,1750.9,0.0,473.0
2020-05-29,,,,,23.7,1774.6,32.0,473.0
2020-06-01,,,,,0.1,1774.5,4.0,486.0
2020-06-02,,,,,13.6,1760.9,25.0,486.0
2020-06-03,,,,,27.0,1733.9,178.0,484.0
2020-06-04,,,,,26.6,1760.5,18.0,780.0
2020-06-05,,,,,43.2,1717.3,78.0,780.0
2020-06-08,,,,,22.6,1739.9,0.0,791.0
2020-06-09,,,,,16.3,1756.2,1306.0,791.0
2020-06-10,,,,,1.5,1754.7,269.0,1751.0
2020-06-11,1783.5,1783.5,1783.5,1783.5,17.7,1772.4,152.0,1915.0
2020-06-12,,,,,3.3,1769.1,145.0,1878.0
2020-06-15,,,,,9.5,1759.6,0.0,1948.0
2020-06-16,,,,,9.8,1769.4,23.0,1948.0
2020-06-17,,,,,0.8,1768.6,0.0,1948.0
2020-06-18,,,,,5.6,1763.0,58.0,1948.0
2020-06-19,,,,,20.2,1783.2,387.0,1948.0
2020-06-22,,,,,12.6,1795.8,135.0,1843.0
2020-06-23,,,,,15.0,1810.8,24.0,1713.0
2020-06-24,,,,,4.7,1806.1,170.0,1723.0
2020-06-25,,,,,4.1,1802.0,20.0,1874.0
2020-06-26,,,,,10.0,1812.0,70.0,1893.0
2020-06-29,,,,,1.6,1832.4,0.0,47.0
2020-06-30,,,,,20.5,1852.9,0.0,47.0
2020-07-01,,,,,18.5,1834.4,0.0,47.0
2020-07-02,,,,,10.3,1844.7,0.0,47.0
2020-07-06,,,,,6.4,1851.1,0.0,47.0
2020-07-07,,,,,21.5,1872.6,0.0,47.0
2020-07-08,,,,,20.6,1893.2,0.0,47.0
