Date,Open,High,Low,Last,Change,Settle,Volume,Previous Day Open Interest
2020-05-18,1794.0,1794.0,1767.7,1767.7,17.2,1765.3,59.0,2600.0
2020-05-19,1772.2,1772.2,1772.2,1772.2,12.9,1778.2,17.0,2615.0
2020-05-20,1784.7,1789.8,1777.9,1784.7,7.6,1785.8,473.0,2612.0
2020-05-21,1780.1,1780.1,1753.6,1758.1,31.2,1754.6,752.0,2659.0
2020-05-22,1772.1,1772.1,1768.5,1771.0,14.9,1769.5,988.0,1854.0
2020-05-26,,1765.0,1739.8,1739.8,24.6,1744.9,429.0,2449.0
2020-05-27,1743.8,1746.0,1722.7,1746.0,0.4,1745.3,268.0,2517.0
2020-05-28,1748.8,1757.3,1748.8,1752.8,2.9,1748.2,455.0,2345.0
2020-05-29,1748.2,1771.5,1748.2,1771.0,23.5,1771.7,778.0,2508.0
2020-06-01,1775.5,1775.5,1772.8,1772.9,1.2,1770.5,379.0,3077.0
2020-06-02,1773.0,1774.5,1751.0,1758.9,14.1,1756.4,544.0,3215.0
2020-06-03,1751.8,1751.8,1718.0,1728.0,26.2,1730.2,1290.0,3463.0
2020-06-04,1747.6,1752.0,1747.6,1752.0,26.0,1756.2,827.0,3945.0
2020-06-05,1741.7,1741.7,1704.6,1718.3,44.0,1712.2,1088.0,4406.0
2020-06-08,1718.9,1734.5,1718.9,1734.1,22.3,1734.5,413.0,4661.0
2020-06-09,1747.9,1752.1,1747.9,1750.0,16.6,1751.1,141.0,4899.0
2020-06-10,1752.0,1763.1,1749.8,1752.2,1.3,1749.8,217.0,5054.0
2020-06-11,1777.7,1782.8,1758.9,1761.0,18.4,1768.2,427.0,5067.0
2020-06-12,1768.4,1771.1,1765.3,1767.6,2.9,1765.3,309.0,4875.0
2020-06-15,1760.5,1760.5,1760.5,1760.5,9.8,1755.5,202.0,4783.0
2020-06-16,1763.6,1767.3,1763.6,1765.1,9.9,1765.4,314.0,5256.0
2020-06-17,,,,,0.9,1764.5,496.0,5209.0
2020-06-18,,,,,5.6,1758.9,389.0,5578.0
2020-06-19,1771.6,1785.8,1771.6,1785.8,20.3,1779.2,582.0,5714.0
2020-06-22,1787.0,1798.4,1783.1,1794.0,12.8,1792.0,214.0,5542.0
2020-06-23,1799.1,1808.0,1799.1,1808.0,14.8,1806.8,76.0,5556.0
2020-06-24,1813.0,1814.5,1803.8,1803.8,4.5,1802.3,215.0,5371.0
2020-06-25,1795.0,1801.4,1792.1,1801.4,4.2,1798.1,111.0,5520.0
2020-06-26,1788.5,1813.3,1785.3,1813.3,10.1,1808.2,286.0,5549.0
