Date,Open,High,Low,Last,Change,Settle,Volume,Previous Day Open Interest
2020-05-18,1800.0,1800.0,1767.0,1767.0,17.3,1766.4,150.0,3163.0
2020-05-19,1775.0,1777.2,1775.0,1777.2,12.5,1778.9,398.0,3249.0
2020-05-20,1783.4,1788.6,1781.2,1786.5,7.8,1786.7,506.0,3528.0
2020-05-21,,,,,31.4,1755.3,370.0,3799.0
2020-05-22,1758.3,1771.0,1758.3,1771.0,14.7,1770.0,368.0,4617.0
2020-05-26,,1765.0,1741.6,1741.6,24.5,1745.5,271.0,4553.0
2020-05-27,1735.7,1740.1,1722.9,1740.1,0.8,1746.3,170.0,4598.0
2020-05-28,1750.1,1759.4,1747.5,1752.9,3.2,1749.5,497.0,4651.0
2020-05-29,1749.5,1772.0,1749.5,1772.0,23.4,1772.9,174.0,4877.0
2020-06-01,1775.0,1775.0,1775.0,1775.0,0.5,1772.4,210.0,4841.0
2020-06-02,1768.1,1774.7,1768.1,1774.2,14.3,1758.1,235.0,4789.0
2020-06-03,1759.0,1759.0,1720.0,1727.8,26.4,1731.7,1320.0,4811.0
2020-06-04,1730.5,1753.5,1730.3,1753.5,26.4,1758.1,310.0,5205.0
2020-06-05,1723.0,1723.0,1705.0,1720.5,43.6,1714.5,979.0,5185.0
2020-06-08,1714.3,1737.3,1714.3,1737.3,22.5,1737.0,305.0,5228.0
2020-06-09,1750.4,1757.8,1750.0,1750.0,16.5,1753.5,139.0,5348.0
2020-06-10,1762.0,1767.9,1762.0,1767.7,1.4,1752.1,304.0,5348.0
2020-06-11,1779.9,1782.0,1770.0,1770.0,18.1,1770.2,627.0,5392.0
2020-06-12,1776.3,1777.6,1776.3,1777.0,3.1,1767.1,653.0,5493.0
2020-06-15,1755.9,1757.9,1740.9,1757.4,9.6,1757.5,46.0,5430.0
2020-06-16,1765.3,1768.4,1755.6,1766.6,9.7,1767.2,429.0,5462.0
2020-06-17,1763.9,1767.6,1762.1,1767.5,0.9,1766.3,85.0,5518.0
2020-06-18,1770.0,1770.0,1770.0,1770.0,5.5,1760.8,215.0,5521.0
2020-06-19,1772.8,1784.0,1772.8,1784.0,20.2,1781.0,689.0,5566.0
2020-06-22,1793.0,1804.0,1787.6,1793.6,12.6,1793.6,200.0,5844.0
2020-06-23,1802.9,1809.5,1802.9,1808.0,15.0,1808.6,290.0,5977.0
2020-06-24,1816.3,1820.9,1804.0,1804.7,4.5,1804.1,242.0,5935.0
2020-06-25,1801.3,1804.3,1801.3,1804.3,4.2,1799.9,78.0,5914.0
2020-06-26,1803.1,1814.5,1796.9,1814.5,10.0,1809.9,486.0,5915.0
2020-06-29,1817.6,1818.5,1813.5,1813.5,1.8,1810.0,381.0,5399.0
2020-06-30,1820.0,1830.5,1820.0,1830.5,20.5,1830.5,195.0,5546.0
2020-07-01,1829.3,1829.3,1829.3,1829.3,18.4,1812.1,311.0,5660.0
2020-07-02,1799.0,1821.3,1798.8,1821.3,10.3,1822.4,258.0,5713.0
2020-07-06,1825.8,1828.6,1825.8,1828.6,5.0,1827.4,309.0,5650.0
2020-07-07,1828.7,1847.5,1820.0,1847.5,20.1,1847.5,1302.0,5339.0
2020-07-08,1856.1,1869.8,1853.9,1865.1,18.2,1865.7,1176.0,6021.0
2020-07-09,1868.3,1868.3,1847.0,1854.0,17.1,1848.6,541.0,6286.0
2020-07-10,1851.6,1859.2,1841.6,1846.9,2.1,1846.5,859.0,6308.0
2020-07-13,1849.9,1862.2,1849.9,1858.5,12.6,1859.1,668.0,6696.0
2020-07-14,1851.4,1857.9,1843.0,1857.3,2.2,1856.9,675.0,7081.0
2020-07-15,1860.9,1860.9,1851.2,1857.0,-0.2,1856.7,430.0,7438.0
2020-07-16,1857.8,1857.8,1838.8,1838.8,-15.5,1841.2,456.0,7470.0
2020-07-17,1840.6,1851.0,1840.1,1850.9,7.1,1848.3,235.0,7438.0
2020-07-20,1852.9,1856.8,1852.9,1856.3,6.4,1854.7,237.0,7220.0
2020-07-21,1856.8,1885.4,1856.8,1883.1,30.3,1885.0,462.0,7148.0
2020-07-22,1885.7,1915.6,1885.4,1915.5,24.9,1909.9,1237.0,7077.0
2020-07-23,1916.0,1945.0,1911.5,1930.5,26.2,1936.1,870.0,7375.0
2020-07-24,1931.1,1950.5,1928.9,1947.5,8.7,1944.8,687.0,6917.0
2020-07-27,1949.5,1987.8,1949.5,1983.2,30.4,1975.2,2953.0,7114.0
2020-07-28,1986.8,2016.8,1960.0,1994.3,8.0,1983.2,1075.0,8610.0
2020-07-29,1992.3,2014.8,1974.0,2004.8,11.6,1994.8,789.0,8829.0
