Date,Open,High,Low,Last,Change,Settle,Volume,Previous Day Open Interest
2020-05-18,1795.4,1795.4,1795.4,1795.4,18.3,1767.9,44.0,146.0
2020-05-19,1784.2,1784.2,1784.2,1784.2,12.5,1780.4,2.0,267.0
2020-05-20,1784.0,1791.2,1784.0,1789.0,7.8,1788.2,75.0,268.0
2020-05-21,,,,,31.8,1756.4,152.0,277.0
2020-05-22,1773.5,1773.5,1771.9,1771.9,14.4,1770.8,67.0,310.0
2020-05-26,1762.9,1764.0,1762.9,1764.0,24.9,1745.9,76.0,692.0
2020-05-27,1725.0,1727.4,1722.5,1727.4,0.9,1746.8,6.0,693.0
2020-05-28,,1750.3,,1750.3,3.5,1750.3,182.0,693.0
2020-05-29,,,,,23.5,1773.8,110.0,730.0
2020-06-01,,,,,0.1,1773.7,59.0,705.0
2020-06-02,1774.5,1775.3,1774.5,1775.3,14.1,1759.6,111.0,680.0
2020-06-03,1760.0,1760.0,1727.5,1727.5,26.8,1732.8,452.0,731.0
2020-06-04,,,,,26.5,1759.3,157.0,891.0
2020-06-05,,,,,43.3,1716.0,109.0,1007.0
2020-06-08,1739.4,1739.4,1739.4,1739.4,22.5,1738.5,51.0,1000.0
2020-06-09,1755.2,1757.6,1755.2,1757.6,16.5,1755.0,344.0,1051.0
2020-06-10,1760.9,1760.9,1753.3,1753.3,1.5,1753.5,215.0,1107.0
2020-06-11,1784.1,1786.4,1762.3,1762.3,17.8,1771.3,411.0,1120.0
2020-06-12,1780.4,1780.5,1780.4,1780.5,3.2,1768.1,560.0,1663.0
2020-06-15,1770.3,1770.3,1760.0,1766.0,9.6,1758.5,18.0,1926.0
2020-06-16,1770.0,1770.0,1770.0,1770.0,9.7,1768.2,203.0,1927.0
2020-06-17,1768.2,1768.2,1768.2,1768.2,0.8,1767.4,15.0,2108.0
2020-06-18,1775.0,1775.0,1762.3,1762.5,5.5,1761.9,82.0,2117.0
2020-06-19,1767.0,1786.9,1761.8,1781.0,20.2,1782.1,520.0,2112.0
2020-06-22,,1798.0,,1798.0,12.6,1794.7,67.0,2155.0
2020-06-23,1803.0,1805.1,1803.0,1805.1,15.0,1809.7,236.0,2184.0
2020-06-24,1806.5,1806.5,1806.5,1806.5,4.6,1805.1,298.0,2399.0
