Date,Open,High,Low,Last,Change,Settle,Volume,Previous Day Open Interest
2020-05-18,,,,,17.8,1772.6,0.0,0.0
2020-05-19,,,,,12.5,1785.1,0.0,0.0
2020-05-20,,,,,7.0,1792.1,0.0,0.0
2020-05-21,,,,,31.6,1760.5,0.0,0.0
2020-05-22,,,,,14.4,1774.9,0.0,0.0
2020-05-26,,,,,26.1,1748.8,0.0,0.0
2020-05-27,,,,,1.0,1749.8,0.0,0.0
2020-05-28,,,,,3.5,1753.3,0.0,0.0
2020-05-29,,,,,23.5,1776.8,0.0,0.0
2020-06-01,,,,,0.3,1777.1,0.0,0.0
2020-06-02,,,,,13.8,1763.3,0.0,0.0
2020-06-03,,,,,27.1,1736.2,0.0,0.0
2020-06-04,,,,,26.8,1763.0,0.0,0.0
2020-06-05,,,,,43.0,1720.0,0.0,0.0
2020-06-08,,,,,22.5,1742.5,0.0,0.0
2020-06-09,,1749.1,,1749.1,16.4,1758.9,0.0,0.0
2020-06-10,,,,,1.5,1757.4,2.0,0.0
2020-06-11,,,,,17.6,1775.0,0.0,1.0
2020-06-12,,,,,3.2,1771.8,0.0,1.0
2020-06-15,,,,,9.5,1762.3,0.0,1.0
2020-06-16,,,,,9.8,1772.1,0.0,1.0
2020-06-17,,,,,0.8,1771.3,0.0,1.0
2020-06-18,,,,,5.7,1765.6,0.0,1.0
2020-06-19,,,,,20.2,1785.8,0.0,1.0
2020-06-22,,,,,12.4,1798.2,0.0,1.0
2020-06-23,,,,,14.9,1813.1,0.0,1.0
2020-06-24,,,,,4.5,1808.6,0.0,1.0
2020-06-25,,,,,4.2,1804.4,0.0,1.0
2020-06-26,,,,,10.0,1814.4,0.0,1.0
2020-06-29,,,,,1.6,1814.6,204.0,4566.0
2020-06-30,1813.1,1834.9,1813.1,1832.7,20.5,1835.1,28.0,4720.0
2020-07-01,1837.8,1837.8,1816.9,1816.9,18.5,1816.6,176.0,4727.0
2020-07-02,1823.9,1823.9,1823.9,1823.9,10.3,1826.9,23.0,4787.0
2020-07-06,1823.6,1835.7,1823.6,1835.0,6.4,1833.3,584.0,4789.0
2020-07-07,1824.3,1855.2,1824.3,1855.2,21.5,1854.8,189.0,5268.0
2020-07-08,1863.2,1878.0,1863.2,1872.1,20.4,1875.2,144.0,5329.0
2020-07-09,1878.0,1878.0,1859.0,1859.0,16.7,1858.5,43.0,5384.0
2020-07-10,1866.0,1866.0,1855.1,1855.1,2.0,1856.5,21.0,5419.0
2020-07-13,1863.0,1871.5,1862.8,1869.9,13.3,1869.8,79.0,5418.0
2020-07-14,1861.5,1866.5,1855.5,1866.5,1.9,1867.9,140.0,5420.0
2020-07-15,1868.8,1871.5,1859.8,1869.5,-0.1,1867.8,154.0,5457.0
2020-07-16,1869.5,1869.5,1851.9,1852.3,-15.3,1852.5,65.0,5489.0
2020-07-17,1859.2,1859.2,1858.0,1858.7,6.9,1859.4,9.0,5509.0
2020-07-20,1867.6,1868.0,1865.0,1865.1,6.6,1866.0,149.0,5511.0
2020-07-21,1869.5,1895.5,1869.3,1895.5,31.3,1897.3,368.0,5511.0
2020-07-22,1914.5,1931.3,1913.0,1931.2,27.7,1925.0,273.0,5649.0
2020-07-23,1924.6,1961.9,1924.6,1948.8,28.6,1953.6,1172.0,5641.0
2020-07-24,1950.0,1969.2,1950.0,1967.7,10.5,1964.1,126.0,5790.0
2020-07-27,1975.0,2006.9,1975.0,1999.4,31.7,1995.8,710.0,5799.0
2020-07-28,2008.0,2032.2,1970.0,2015.0,8.3,2004.1,262.0,5822.0
2020-07-29,2013.5,2032.0,2006.2,2025.6,11.3,2015.4,787.0,5789.0
2020-07-30,,,,,-10.0,2001.6,2.0,2186.0
2020-07-31,2026.4,2031.5,2026.2,2028.1,19.6,2021.2,214.0,2186.0
2020-08-03,2037.0,2037.0,2012.8,2028.9,0.9,2022.1,238.0,2287.0
2020-08-04,2027.9,2073.5,2027.9,2073.5,34.9,2057.0,87.0,2325.0
2020-08-05,2076.4,2094.9,2076.4,2091.0,29.7,2086.7,175.0,2344.0
2020-08-06,2094.3,2119.3,2093.6,2115.7,21.7,2108.4,310.0,2380.0
2020-08-07,2125.7,2125.7,2073.5,2084.7,-41.9,2066.5,173.0,2388.0
2020-08-10,2083.2,2083.2,2071.0,2082.0,11.1,2077.6,26.0,2453.0
2020-08-11,2066.8,2066.8,1950.3,1950.3,-96.7,1980.9,97.0,2465.0
2020-08-12,1958.0,1976.8,1915.3,1963.7,0.4,1981.3,42.0,2497.0
2020-08-13,1977.5,1988.7,1977.5,1988.7,21.8,2003.1,12.0,2500.0
2020-08-14,2001.2,2002.0,1980.3,1985.6,-21.9,1981.2,48.0,2499.0
2020-08-17,1990.2,2023.9,1979.6,2016.8,44.8,2026.0,50.0,2505.0
2020-08-18,2023.0,2047.0,2023.0,2038.1,14.5,2040.5,82.0,2504.0
2020-08-19,2033.1,2033.1,1956.8,1956.8,-43.7,1996.8,188.0,2505.0
2020-08-20,1970.6,1988.8,1970.6,1988.8,-23.1,1973.7,89.0,2511.0
2020-08-21,1985.4,1985.4,1964.2,1972.5,0.2,1973.9,66.0,2515.0
2020-08-24,1980.6,1983.9,1959.7,1959.7,-7.3,1966.6,82.0,2519.0
