Date,Open,High,Low,Last,Change,Settle,Volume,Previous Day Open Interest
2020-05-18,58.5,58.8,57.1,57.375,0.225,57.65,9179.0,32852.0
2020-05-19,57.6,58.65,56.55,56.55,1.0,56.65,6021.0,30937.0
2020-05-20,56.05,57.05,55.75,57.025,0.225,56.875,5575.0,29421.0
2020-05-21,57.025,59.425,56.95,59.425,2.475,59.35,7155.0,29211.0
2020-05-22,59.025,59.725,58.55,59.0,0.575,58.775,4818.0,27019.0
2020-05-26,59.3,61.3,58.8,60.4,1.725,60.5,6538.0,25842.0
2020-05-27,60.1,62.0,60.05,60.25,0.325,60.175,6468.0,24360.0
2020-05-28,58.675,58.8,56.65,56.65,3.25,56.925,6724.0,22999.0
2020-05-29,56.45,56.925,55.925,56.6,0.075,56.85,5569.0,20914.0
2020-06-01,55.275,55.85,54.45,54.725,2.25,54.6,5331.0,20322.0
2020-06-02,54.025,54.4,52.075,52.15,2.2,52.4,6840.0,19344.0
2020-06-03,51.325,51.45,48.65,48.65,3.75,48.65,6885.0,17712.0
2020-06-04,48.525,48.9,46.45,48.575,0.225,48.425,7592.0,15926.0
2020-06-05,48.45,48.775,47.275,47.575,0.975,47.45,3009.0,14160.0
2020-06-08,47.0,48.7,46.85,48.675,1.125,48.575,2770.0,14199.0
2020-06-09,48.075,48.575,47.775,48.075,0.5,48.075,2165.0,13517.0
2020-06-10,47.875,48.15,47.725,47.975,0.225,47.85,1591.0,13300.0
2020-06-11,48.025,48.075,47.85,47.875,0.125,47.975,1653.0,12946.0
2020-06-12,47.925,48.225,47.825,48.0,0.075,48.05,702.0,12414.0
