Date,Open,High,Low,Last,Change,Settle,Volume,Previous Day Open Interest
2020-05-18,58.375,58.45,57.05,57.5,0.1,57.65,10040.0,58077.0
2020-05-19,57.9,58.475,56.225,56.275,1.375,56.275,10142.0,59258.0
2020-05-20,55.725,56.15,55.35,55.825,0.475,55.8,10363.0,60097.0
2020-05-21,55.8,57.45,55.375,57.25,1.375,57.175,13690.0,62107.0
2020-05-22,56.925,57.0,55.825,56.025,1.275,55.9,10202.0,63580.0
2020-05-26,56.175,59.65,55.7,59.55,3.675,59.575,20306.0,64183.0
2020-05-27,59.475,61.175,58.825,59.375,0.275,59.3,14950.0,66728.0
2020-05-28,58.0,58.0,55.55,55.55,3.65,55.65,16659.0,65493.0
2020-05-29,54.825,57.15,54.325,57.0,1.375,57.025,17801.0,65218.0
2020-06-01,54.85,55.875,54.75,55.325,1.875,55.15,14287.0,66025.0
2020-06-02,54.6,56.4,54.425,54.65,0.275,54.875,14577.0,65194.0
2020-06-03,54.0,54.425,53.35,53.8,1.4,53.475,17008.0,63864.0
2020-06-04,53.425,54.25,52.925,53.625,0.1,53.575,17342.0,64022.0
2020-06-05,53.8,55.15,53.4,54.3,0.35,53.925,20884.0,63470.0
2020-06-08,53.2,55.0,53.2,54.05,0.05,53.975,22526.0,59371.0
2020-06-09,53.675,54.225,52.45,52.975,1.0,52.975,22362.0,54040.0
2020-06-10,52.975,53.425,51.575,53.025,0.175,52.8,20338.0,47842.0
2020-06-11,53.025,53.025,51.975,52.15,0.675,52.125,18558.0,41506.0
2020-06-12,52.125,53.2,51.55,51.625,0.45,51.675,12961.0,38914.0
2020-06-15,51.25,53.075,51.25,52.0,0.6,52.275,12299.0,36001.0
2020-06-16,51.775,51.8,48.925,49.15,2.625,49.65,18474.0,33766.0
2020-06-17,48.5,49.85,48.175,49.6,,49.65,11071.0,30667.0
2020-06-18,49.375,50.275,48.975,49.65,0.25,49.9,8130.0,27957.0
2020-06-19,49.95,50.35,48.325,48.425,1.45,48.45,7044.0,27132.0
2020-06-22,47.875,48.075,45.75,46.675,1.625,46.825,6129.0,25981.0
2020-06-23,46.825,47.475,46.275,46.95,0.075,46.9,6535.0,24776.0
2020-06-24,46.325,46.725,45.85,45.95,0.975,45.925,4747.0,23771.0
2020-06-25,46.025,47.15,46.025,46.9,1.0,46.925,4236.0,22579.0
2020-06-26,45.275,45.75,44.975,45.25,1.65,45.275,6495.0,21378.0
2020-06-29,45.275,45.6,45.075,45.4,0.1,45.375,2360.0,20620.0
2020-06-30,45.275,45.625,45.075,45.175,0.2,45.175,3204.0,20137.0
2020-07-01,44.75,45.35,44.5,44.775,0.375,44.8,3356.0,20355.0
2020-07-02,45.075,45.35,44.625,44.725,0.075,44.725,2122.0,19498.0
2020-07-06,45.0,45.45,44.65,44.95,0.225,44.95,4361.0,18684.0
2020-07-07,44.675,44.95,44.525,44.6,0.425,44.525,4167.0,17752.0
2020-07-08,44.35,44.55,43.575,44.0,0.475,44.05,9276.0,16639.0
2020-07-09,44.6,46.2,44.6,46.1,1.8,45.85,5256.0,14383.0
2020-07-10,46.0,46.5,45.825,45.85,0.125,45.975,3438.0,12065.0
2020-07-13,46.075,46.975,45.95,46.9,0.7,46.675,3765.0,11254.0
2020-07-14,46.575,46.95,46.55,46.875,0.125,46.8,1725.0,9847.0
2020-07-15,46.925,47.525,46.85,47.325,0.525,47.325,1463.0,9472.0
