Date,Open,High,Low,Last,Change,Settle,Volume,Previous Day Open Interest
2020-05-18,57.0,57.45,56.375,56.55,0.4,56.8,7135.0,38997.0
2020-05-19,56.925,57.525,55.375,55.425,1.325,55.475,6046.0,39307.0
2020-05-20,54.925,55.25,54.225,54.65,0.925,54.55,10231.0,39428.0
2020-05-21,54.825,56.175,54.25,55.4,0.725,55.275,10792.0,40163.0
2020-05-22,55.375,55.425,54.125,54.45,1.0,54.275,7258.0,40780.0
2020-05-26,54.75,57.4,53.85,57.25,2.875,57.15,10852.0,41424.0
2020-05-27,57.175,58.95,56.8,57.75,0.45,57.6,9640.0,42762.0
2020-05-28,56.525,56.6,54.3,54.925,2.575,55.025,11176.0,42725.0
2020-05-29,54.625,56.775,53.85,56.475,1.7,56.725,11597.0,43554.0
2020-06-01,54.375,55.525,53.925,55.3,1.625,55.1,10715.0,46065.0
2020-06-02,54.6,56.35,54.275,55.3,0.45,55.55,12186.0,47292.0
2020-06-03,54.85,55.675,54.3,55.175,0.65,54.9,12989.0,48515.0
2020-06-04,54.8,56.15,54.1,55.875,0.875,55.775,12989.0,49608.0
2020-06-05,55.875,57.7,55.65,57.325,1.575,57.35,18109.0,51112.0
2020-06-08,56.575,58.025,56.475,57.625,0.45,57.8,18116.0,55200.0
2020-06-09,57.25,57.8,56.625,56.875,1.0,56.8,18305.0,59143.0
2020-06-10,56.75,56.925,55.375,56.05,0.975,55.825,19686.0,63815.0
2020-06-11,55.75,55.75,54.5,54.725,0.95,54.875,19576.0,70627.0
2020-06-12,54.75,56.175,54.55,54.6,0.225,54.65,15376.0,76499.0
2020-06-15,54.375,55.8,54.225,55.3,0.625,55.275,12944.0,78083.0
2020-06-16,54.95,54.975,52.275,52.575,2.25,53.025,18325.0,80030.0
2020-06-17,52.175,53.4,51.525,52.3,0.15,53.175,15429.0,82858.0
2020-06-18,53.25,53.75,52.2,53.275,0.3,53.475,12474.0,86430.0
2020-06-19,53.85,54.5,52.7,52.825,0.675,52.8,10708.0,87454.0
2020-06-22,52.15,52.45,50.425,51.075,1.7,51.1,14547.0,87723.0
2020-06-23,51.5,53.025,50.75,52.55,1.4,52.5,16168.0,88650.0
2020-06-24,52.2,52.45,51.15,51.325,1.25,51.25,12328.0,89706.0
2020-06-25,51.25,51.95,50.6,49.05,0.075,51.325,12663.0,88334.0
2020-06-26,48.975,48.975,47.575,48.3,3.2,48.125,22564.0,87152.0
2020-06-29,48.25,49.125,47.525,48.5,0.325,48.45,13316.0,85171.0
2020-06-30,48.2,49.375,47.85,48.85,0.575,49.025,17627.0,84511.0
2020-07-01,48.325,50.0,48.1,48.9,0.05,49.075,21394.0,85436.0
2020-07-02,49.075,49.875,48.85,49.05,0.125,49.2,13958.0,83069.0
2020-07-06,49.85,50.35,49.2,49.225,0.075,49.275,15119.0,82189.0
2020-07-07,48.425,49.875,48.225,49.2,0.4,48.875,18778.0,81252.0
2020-07-08,48.875,49.2,47.9,48.05,0.925,47.95,24756.0,80012.0
2020-07-09,48.95,51.175,48.75,50.525,2.275,50.225,28603.0,75458.0
2020-07-10,50.55,51.025,49.35,49.75,0.35,49.875,22385.0,69505.0
2020-07-13,50.225,51.825,49.4,51.525,1.4,51.275,26339.0,63407.0
2020-07-14,50.775,51.675,49.7,49.975,1.35,49.925,20147.0,57291.0
2020-07-15,49.975,50.95,49.75,50.175,0.225,50.15,13794.0,53621.0
2020-07-16,50.55,53.8,50.5,53.675,3.5,53.65,28188.0,51023.0
2020-07-17,53.2,53.625,52.325,52.5,-0.85,52.8,14182.0,50760.0
2020-07-20,52.825,53.275,50.2,50.4,-2.4,50.4,16125.0,47350.0
2020-07-21,50.525,51.65,50.5,51.6,1.075,51.475,10352.0,44287.0
2020-07-22,52.75,53.05,52.0,52.475,1.175,52.65,10220.0,41326.0
2020-07-23,53.1,54.95,52.925,54.4,1.825,54.475,10764.0,39011.0
2020-07-24,54.025,54.2,52.775,53.85,-0.475,54.0,8484.0,37698.0
2020-07-27,54.25,54.925,53.675,54.85,0.55,54.55,9150.0,35465.0
2020-07-28,54.75,55.275,54.025,54.1,-0.35,54.2,7600.0,33505.0
2020-07-29,53.8,53.8,52.5,53.05,-1.125,53.075,8735.0,31589.0
2020-07-30,53.05,53.125,51.025,51.025,-1.65,51.425,7787.0,28541.0
2020-07-31,51.25,52.1,51.1,52.0,0.575,52.0,5689.0,26451.0
2020-08-03,51.275,51.5,49.65,49.875,-2.125,49.875,8904.0,24511.0
2020-08-04,49.9,50.475,49.55,49.675,-0.175,49.7,6672.0,21095.0
2020-08-05,49.325,49.7,49.2,49.475,-0.25,49.45,8512.0,18114.0
2020-08-06,49.45,50.0,49.45,49.9,0.3,49.75,3797.0,14602.0
2020-08-07,50.5,51.2,50.5,51.0,1.25,51.0,5070.0,12953.0
2020-08-10,51.85,53.425,51.65,53.425,2.125,53.125,6282.0,11464.0
2020-08-11,53.375,53.675,52.95,53.025,-0.05,53.075,3558.0,9331.0
2020-08-12,52.825,53.075,52.6,52.75,-0.175,52.9,3698.0,8459.0
2020-08-13,53.05,53.825,53.025,53.75,0.8,53.7,1872.0,7039.0
2020-08-14,53.8,53.975,53.7,53.9,0.125,53.825,867.0,6839.0
