Date,Open,High,Low,Last,Change,Settle,Volume,Previous Day Open Interest
2020-05-18,107.45,108.075,107.075,107.4,0.875,107.7,3704.0,14069.0
2020-05-19,107.25,107.775,106.9,107.575,0.15,107.55,3178.0,14120.0
2020-05-20,107.525,107.85,105.75,106.275,1.325,106.225,4007.0,14089.0
2020-05-21,106.4,106.675,105.775,106.125,0.15,106.375,2695.0,14458.0
2020-05-22,106.2,107.125,105.9,106.55,0.325,106.7,3487.0,14705.0
2020-05-26,106.975,109.275,106.9,109.175,2.375,109.075,3437.0,15063.0
2020-05-27,109.175,109.825,108.85,109.525,0.425,109.5,2508.0,15200.0
2020-05-28,109.525,110.0,108.925,109.775,0.4,109.9,2584.0,15321.0
2020-05-29,109.85,109.85,107.625,108.65,1.475,108.425,3958.0,15210.0
2020-06-01,108.0,109.625,106.85,109.25,0.65,109.075,4332.0,15198.0
2020-06-02,109.375,109.625,107.525,108.0,1.3,107.775,4487.0,15107.0
2020-06-03,107.775,108.45,107.575,108.1,0.275,108.05,4026.0,15401.0
2020-06-04,107.875,109.175,107.7,108.95,0.95,109.0,2343.0,15190.0
2020-06-05,109.05,109.55,107.9,108.325,0.95,108.05,3767.0,15545.0
2020-06-08,108.125,109.0,107.3,107.6,0.4,107.65,3913.0,15540.0
2020-06-09,107.2,108.375,106.875,107.975,0.1,107.75,3915.0,15556.0
2020-06-10,107.75,108.25,106.775,107.175,0.85,106.9,3603.0,15443.0
2020-06-11,106.85,106.85,105.95,106.35,0.325,106.575,2869.0,15704.0
2020-06-12,106.475,107.275,105.8,105.875,0.575,106.0,2952.0,15867.0
2020-06-15,105.525,106.775,104.825,106.725,0.625,106.625,4328.0,15934.0
2020-06-16,106.9,107.775,106.85,107.575,1.075,107.7,2278.0,15530.0
2020-06-17,107.325,108.075,106.95,107.925,0.275,107.975,2668.0,15736.0
2020-06-18,107.65,107.8,107.05,107.375,0.6,107.375,2324.0,16122.0
2020-06-19,107.225,107.65,107.125,107.175,0.1,107.275,3396.0,16422.0
2020-06-22,106.775,107.35,106.525,106.9,0.2,107.075,3060.0,16963.0
2020-06-23,107.1,108.75,106.525,107.775,0.6,107.675,4997.0,17269.0
2020-06-24,107.725,108.25,106.925,107.225,0.35,107.325,2726.0,18015.0
2020-06-25,107.0,107.725,106.925,107.325,0.025,107.35,2226.0,18310.0
2020-06-26,106.9,107.35,106.525,106.875,0.6,106.75,3293.0,18399.0
2020-06-29,106.75,107.675,106.15,107.525,0.775,107.525,3437.0,18195.0
2020-06-30,107.525,108.5,107.175,107.525,0.125,107.4,4407.0,18743.0
2020-07-01,107.4,108.775,107.025,108.65,1.225,108.625,5011.0,19088.0
2020-07-02,108.575,110.3,108.4,110.15,1.125,109.75,5052.0,19672.0
2020-07-06,110.05,111.175,109.75,110.8,1.1,110.85,5512.0,19651.0
2020-07-07,110.825,110.825,110.25,110.55,0.35,110.5,5372.0,20391.0
2020-07-08,110.5,110.725,109.625,110.2,0.225,110.275,6064.0,21612.0
2020-07-09,110.25,111.475,110.05,111.075,0.65,110.925,5547.0,21898.0
2020-07-10,110.9,111.775,110.725,111.675,0.8,111.725,5389.0,22556.0
2020-07-13,111.7,112.0,111.5,111.925,0.1,111.825,6739.0,23072.0
2020-07-14,111.55,111.775,110.725,110.8,0.9,110.925,5622.0,24120.0
2020-07-15,110.9,112.1,110.55,112.1,0.75,111.675,6310.0,24899.0
2020-07-16,111.6,113.725,111.425,113.35,1.525,113.2,8461.0,25925.0
2020-07-17,112.775,113.825,112.775,113.725,0.575,113.775,7010.0,26588.0
2020-07-20,113.3,113.7,112.225,113.575,-0.325,113.45,7102.0,27605.0
2020-07-21,113.5,113.675,112.75,113.2,-0.15,113.3,5248.0,28741.0
2020-07-22,113.0,113.525,112.775,113.45,-0.025,113.275,5834.0,29367.0
2020-07-23,113.4,113.475,112.275,112.85,-0.475,112.8,7691.0,30198.0
2020-07-24,112.725,113.15,112.225,112.575,-0.35,112.45,5913.0,31707.0
2020-07-27,113.075,113.45,111.4,111.525,-1.0,111.45,5935.0,32481.0
2020-07-28,111.45,112.35,111.075,112.15,0.45,111.9,5491.0,33316.0
2020-07-29,112.05,113.175,111.925,113.175,1.075,112.975,3912.0,34064.0
2020-07-30,112.975,113.625,112.6,113.625,0.525,113.5,3889.0,34621.0
2020-07-31,113.5,114.625,113.3,114.4,1.05,114.55,6078.0,35041.0
