Date,Open,High,Low,Last,Change,Settle,Volume,Previous Day Open Interest
2020-05-18,101.25,101.9,99.95,101.0,0.7,101.05,15361.0,52286.0
2020-05-19,100.65,101.325,99.825,101.225,0.075,101.125,9936.0,53068.0
2020-05-20,101.125,101.625,99.05,99.7,1.5,99.625,11932.0,54018.0
2020-05-21,99.8,99.975,98.775,99.8,0.275,99.9,6875.0,53941.0
2020-05-22,99.525,99.9,98.975,99.15,0.5,99.4,9464.0,54361.0
2020-05-26,99.725,101.95,99.575,101.925,2.225,101.625,8454.0,54651.0
2020-05-27,102.075,103.0,101.675,102.95,1.225,102.85,8155.0,54510.0
2020-05-28,102.85,103.15,102.0,103.0,0.05,102.8,10276.0,54577.0
2020-05-29,102.7,102.775,100.075,101.85,1.375,101.425,12679.0,55443.0
2020-06-01,100.975,102.325,99.325,101.675,0.05,101.375,12486.0,55397.0
2020-06-02,101.85,101.85,99.275,99.875,1.95,99.425,10800.0,56304.0
2020-06-03,99.65,100.25,99.075,100.15,0.55,99.975,14599.0,55779.0
2020-06-04,99.8,101.125,99.8,100.75,0.9,100.875,8066.0,57663.0
2020-06-05,101.05,101.225,98.975,99.8,1.575,99.3,15665.0,58259.0
2020-06-08,99.875,100.2,99.025,99.475,0.075,99.375,9606.0,58072.0
2020-06-09,99.0,101.2,98.75,100.85,1.2,100.575,11909.0,57178.0
2020-06-10,100.575,101.1,99.075,99.8,1.175,99.4,10321.0,56945.0
2020-06-11,99.175,99.35,98.375,98.825,0.325,99.075,12183.0,56699.0
2020-06-12,99.075,99.675,97.775,97.975,1.075,98.0,8205.0,57622.0
2020-06-15,97.25,98.975,96.55,98.9,0.65,98.65,11276.0,58637.0
2020-06-16,99.1,99.9,99.025,99.45,1.1,99.75,7685.0,59635.0
2020-06-17,99.275,99.925,98.875,99.775,0.075,99.825,6041.0,60463.0
2020-06-18,99.45,99.625,98.825,99.45,0.425,99.4,6952.0,61085.0
2020-06-19,99.275,99.75,98.675,98.725,0.55,98.85,8446.0,62360.0
2020-06-22,98.4,98.8,97.825,98.525,0.275,98.575,6629.0,62252.0
2020-06-23,98.975,100.725,98.175,100.225,1.3,99.875,12477.0,62443.0
2020-06-24,99.875,100.725,99.175,99.6,0.25,99.625,9687.0,64147.0
2020-06-25,99.5,100.125,99.225,99.7,0.025,99.65,7954.0,63743.0
2020-06-26,99.25,99.95,98.825,99.45,0.175,99.475,8873.0,64456.0
2020-06-29,99.3,100.3,98.5,100.125,0.575,100.05,9965.0,65091.0
2020-06-30,100.025,101.35,99.625,100.05,0.325,99.725,13778.0,65473.0
2020-07-01,100.1,101.05,99.525,100.8,0.95,100.675,11630.0,66097.0
2020-07-02,100.85,103.4,100.625,102.5,2.0,102.675,15498.0,68258.0
2020-07-06,103.35,104.8,103.1,104.05,1.25,103.925,19080.0,68936.0
2020-07-07,103.925,104.4,103.7,104.275,0.25,104.175,21322.0,70165.0
2020-07-08,104.0,104.175,102.85,103.525,0.675,103.5,27127.0,74384.0
