Date,Open,High,Low,Settle,Change,Wave,Volume,Prev. Day Open Interest,EFP Volume,EFS Volume,Block Volume
2020-05-18,13.2,13.35,11.79,11.95,-0.97,12.47,5540.0,40925.0,,,605.0
2020-05-19,12.13,12.13,11.4,11.46,-0.49,11.615,6715.0,44065.0,,,830.0
2020-05-20,11.56,11.89,10.83,10.98,-0.48,11.347,7090.0,47915.0,,,1120.0
2020-05-21,10.5,10.5,9.27,9.49,-1.49,9.833,7470.0,51585.0,,,325.0
2020-05-22,9.35,10.61,8.35,9.93,0.44,9.401,5495.0,55079.0,,,260.0
2020-05-25,,,,9.93,0.0,,,56421.0,,,
2020-05-26,10.76,12.24,9.86,10.05,0.12,10.979,11330.0,56421.0,250.0,,285.0
2020-05-27,9.5,10.01,9.15,9.23,-0.82,9.492,9460.0,59172.0,,,80.0
2020-05-28,9.21,9.65,8.66,8.77,-0.46,9.119,7110.0,62072.0,,,265.0
2020-05-29,8.75,10.0,8.75,9.63,0.86,9.585,7245.0,62681.0,,,50.0
2020-06-01,9.3,9.37,8.38,8.79,-0.84,8.887,6785.0,62166.0,,,
2020-06-02,9.5,11.13,9.48,10.91,2.12,10.591,10630.0,61575.0,,,200.0
2020-06-03,10.87,12.79,10.59,12.15,1.24,11.973,15315.0,61190.0,,,230.0
2020-06-04,12.49,13.12,11.23,12.79,0.64,12.343,13380.0,59045.0,,,155.0
2020-06-05,12.75,14.35,12.21,13.89,1.1,13.657,13630.0,57715.0,,,665.0
2020-06-08,12.94,14.0,12.35,12.76,-1.13,13.306,10250.0,53095.0,50.0,,530.0
2020-06-09,12.36,12.75,11.51,11.64,-1.12,11.98,8490.0,51460.0,,,200.0
2020-06-10,11.56,12.12,11.3,11.86,0.22,11.757,9675.0,49795.0,,,830.0
2020-06-11,12.0,12.95,11.64,12.71,0.85,12.459,6975.0,46940.0,,,615.0
2020-06-12,12.54,14.15,12.54,13.96,1.25,13.831,11055.0,45141.0,,,595.0
2020-06-15,13.65,14.99,13.49,14.34,0.38,14.345,13780.0,42305.0,,,575.0
2020-06-16,14.45,14.54,13.11,13.21,-1.13,13.789,14575.0,40530.0,115.0,,2680.0
2020-06-17,13.1,13.82,12.65,13.34,0.13,13.285,9480.0,38230.0,200.0,,
2020-06-18,13.8,14.14,13.54,14.03,0.69,13.857,7845.0,35455.0,1000.0,,475.0
2020-06-19,14.12,14.68,13.99,14.42,0.39,14.443,9870.0,33934.0,,,375.0
2020-06-22,14.53,14.53,13.7,13.83,-0.59,13.909,11980.0,30444.0,795.0,,1265.0
2020-06-23,14.15,15.3,14.12,15.0,1.17,14.78,8710.0,28149.0,,,10.0
2020-06-24,15.22,15.55,14.28,14.64,-0.36,14.88,10965.0,27181.0,500.0,,
2020-06-25,14.4,14.48,13.5,13.63,-1.01,13.909,4710.0,26701.0,,,
2020-06-26,13.45,14.18,13.33,13.92,0.29,13.747,7025.0,25746.0,70.0,,500.0
