Date,Open,High,Low,Settle,Change,Wave,Volume,Prev. Day Open Interest,EFP Volume,EFS Volume,Block Volume
2020-05-18,14.95,14.95,13.65,13.87,-0.89,14.202,1055.0,20570.0,,,15.0
2020-05-19,13.65,13.65,13.18,13.22,-0.65,13.477,1230.0,20895.0,,,
2020-05-20,13.39,13.71,12.67,12.74,-0.48,13.262,2075.0,21350.0,,,25.0
2020-05-21,12.2,12.2,11.21,11.36,-1.38,11.651,1090.0,22050.0,,,
2020-05-22,10.64,12.37,10.35,11.65,0.29,11.166,580.0,22205.0,,,15.0
2020-05-25,,,,11.65,0.0,,,22040.0,,,
2020-05-26,12.11,13.67,11.7,11.88,0.23,12.599,3050.0,22040.0,250.0,,20.0
2020-05-27,11.38,11.77,11.04,11.13,-0.75,11.187,2100.0,22065.0,,,20.0
2020-05-28,11.35,11.48,10.59,10.69,-0.44,11.061,2235.0,22920.0,,,735.0
2020-05-29,11.47,11.79,10.96,11.3,0.61,11.309,1360.0,23515.0,,,
2020-06-01,10.75,11.03,10.38,10.55,-0.75,10.739,910.0,23710.0,,,
2020-06-02,11.18,12.68,11.18,12.46,1.91,12.211,2530.0,23670.0,,,
2020-06-03,12.8,14.02,12.71,13.61,1.15,13.595,3900.0,23830.0,,,340.0
2020-06-04,12.95,14.25,12.77,14.05,0.44,13.601,2615.0,22789.0,,,
2020-06-05,14.05,15.58,13.82,15.13,1.08,14.947,2980.0,23445.0,,,
2020-06-08,14.91,15.3,13.89,14.23,-0.9,14.715,2935.0,23325.0,,,
2020-06-09,14.06,14.15,13.04,13.12,-1.11,13.247,2665.0,22995.0,,,
2020-06-10,12.85,13.25,12.79,13.02,-0.1,12.973,4200.0,22371.0,,,600.0
2020-06-11,12.95,13.77,12.82,13.48,0.46,13.369,3885.0,23270.0,,,495.0
2020-06-12,13.85,14.8,13.85,14.47,0.99,14.345,5250.0,24260.0,,,
2020-06-15,14.55,15.4,14.39,14.77,0.3,14.842,5770.0,25560.0,,,
2020-06-16,14.93,14.93,13.54,13.62,-1.15,13.99,6190.0,28520.0,,,2430.0
2020-06-17,13.5,14.18,13.17,13.7,0.08,13.709,4285.0,33140.0,,,300.0
2020-06-18,14.3,14.5,13.92,14.4,0.7,14.237,4060.0,35570.0,1000.0,,
2020-06-19,14.65,15.14,14.45,14.87,0.47,14.808,8470.0,36751.0,,,
2020-06-22,14.45,14.7,14.01,14.19,-0.68,14.273,7435.0,40215.0,75.0,,1305.0
2020-06-23,14.56,15.64,14.52,15.25,1.06,15.104,6820.0,45791.0,,,50.0
2020-06-24,15.47,15.83,14.7,15.09,-0.16,15.197,8095.0,47922.0,,,
2020-06-25,14.83,14.83,13.88,14.01,-1.08,14.25,3215.0,48992.0,,,65.0
2020-06-26,13.9,14.55,13.65,14.3,0.29,14.084,4840.0,50062.0,15.0,,730.0
2020-06-29,13.82,16.4,13.82,16.12,1.82,15.452,8335.0,51377.0,,,620.0
2020-06-30,16.8,17.4,15.9,16.22,0.1,16.612,9870.0,50274.0,,,540.0
2020-07-01,15.91,16.5,15.34,15.72,-0.5,15.869,6750.0,47542.0,,,
2020-07-02,15.49,15.55,14.82,15.37,-0.35,15.198,5160.0,46409.0,,,65.0
2020-07-03,15.11,15.3,14.79,15.11,-0.26,15.071,9305.0,45907.0,,,215.0
2020-07-06,15.3,15.8,15.15,15.23,0.12,15.329,6845.0,45548.0,,,200.0
2020-07-07,15.3,16.0,15.15,15.53,0.3,15.659,8125.0,45892.0,,,930.0
2020-07-08,15.6,15.68,14.86,15.07,-0.46,15.189,6340.0,44842.0,,,195.0
2020-07-09,15.06,15.06,14.45,14.51,-0.56,14.632,4840.0,44917.0,,,790.0
2020-07-10,14.45,14.45,13.27,13.67,-0.84,13.765,7925.0,44147.0,,,740.0
2020-07-13,13.52,13.92,12.26,12.38,-1.29,12.955,13465.0,45105.0,,,785.0
2020-07-14,12.69,13.26,12.37,12.93,0.55,12.78,9405.0,43080.0,,,2705.0
2020-07-15,13.17,14.27,13.17,13.61,0.68,13.649,11590.0,41427.0,,,3880.0
2020-07-16,13.21,13.3,12.76,12.99,-0.62,12.979,6675.0,36473.0,,,
2020-07-17,13.01,13.68,13.0,13.42,0.43,13.451,7750.0,35305.0,820.0,,375.0
2020-07-20,13.21,13.21,12.12,12.21,-1.21,12.467,8350.0,33020.0,2080.0,,
2020-07-21,12.95,13.17,12.62,12.71,0.5,12.818,8235.0,29745.0,,,
2020-07-22,12.59,13.28,12.57,13.05,0.34,12.906,7485.0,29260.0,,,
2020-07-23,13.38,13.92,13.3,13.7,0.65,13.68,7205.0,27775.0,250.0,,50.0
2020-07-24,14.0,14.0,13.33,13.59,-0.11,13.606,6985.0,25585.0,485.0,,50.0
2020-07-27,13.6,13.66,12.8,12.91,-0.68,13.29,4395.0,23770.0,2060.0,,50.0
2020-07-28,13.14,13.3,12.84,13.19,0.28,13.149,4955.0,21245.0,550.0,,
2020-07-29,13.33,13.96,13.33,13.72,0.53,13.642,5185.0,20711.0,965.0,,100.0
