Date,Open,High,Low,Settle,Change,Wave,Volume,Prev. Day Open Interest,EFP Volume,EFS Volume,Block Volume
2020-05-18,11.33,11.62,11.29,11.6,0.39,11.5,14813.0,159158.0,,,
2020-05-19,11.63,11.67,11.49,11.61,0.01,11.61,14809.0,161152.0,,,
2020-05-20,11.6,11.89,11.57,11.79,0.18,11.77,29542.0,162173.0,95.0,,
2020-05-21,11.8,11.89,11.58,11.68,-0.11,11.75,14423.0,168123.0,7.0,,
2020-05-22,11.55,11.68,11.42,11.63,-0.05,11.53,20246.0,167539.0,,,
2020-05-25,,,,11.63,0.0,,,169320.0,,,
2020-05-26,11.8,11.84,11.59,11.76,0.13,11.74,18087.0,169320.0,,,
2020-05-27,11.79,11.81,11.52,11.65,-0.11,11.65,18837.0,169072.0,,,
2020-05-28,11.6,11.66,11.42,11.59,-0.06,11.54,13567.0,170867.0,,,
2020-05-29,11.65,11.72,11.47,11.64,0.05,11.58,16546.0,171049.0,,,125.0
2020-06-01,11.68,11.84,11.59,11.73,0.09,11.74,17706.0,171123.0,,40.0,
2020-06-02,11.78,12.01,11.75,11.96,0.23,11.88,24648.0,171849.0,,,105.0
2020-06-03,12.01,12.36,11.99,12.34,0.38,12.16,18516.0,169053.0,,,
2020-06-04,12.34,12.46,12.19,12.45,0.11,12.31,23146.0,172254.0,53.0,,150.0
2020-06-05,12.43,12.73,12.43,12.71,0.26,12.61,22650.0,173758.0,16.0,,100.0
2020-06-08,12.75,12.89,12.62,12.67,-0.04,12.75,29652.0,176029.0,25.0,,2752.0
2020-06-09,12.7,12.83,12.57,12.8,0.13,12.71,26175.0,180339.0,,,100.0
2020-06-10,12.8,13.0,12.76,12.97,0.17,12.92,32153.0,181826.0,,,576.0
2020-06-11,12.92,12.92,12.63,12.72,-0.25,12.75,26814.0,182093.0,,,
2020-06-12,12.69,12.8,12.4,12.62,-0.1,12.63,26881.0,179012.0,22.0,,1192.0
2020-06-15,12.56,12.68,12.28,12.67,0.05,12.48,22513.0,178032.0,4.0,,
2020-06-16,12.7,12.88,12.64,12.8,0.13,12.76,25059.0,178590.0,,4.0,84.0
2020-06-17,12.73,12.79,12.56,12.77,-0.03,12.7,22092.0,181341.0,,,
