Date,Open,High,Low,Settle,Change,Wave,Volume,Prev. Day Open Interest,EFP Volume,EFS Volume,Block Volume
2020-05-18,10.52,10.83,10.47,10.8,0.42,10.72,55309.0,334001.0,2163.0,1013.0,
2020-05-19,10.84,10.98,10.72,10.85,0.05,10.85,69009.0,327810.0,777.0,66.0,390.0
2020-05-20,10.85,11.3,10.85,11.19,0.34,11.14,83077.0,323589.0,5407.0,331.0,
2020-05-21,11.21,11.32,10.87,10.98,-0.21,11.09,58483.0,314936.0,3700.0,254.0,
2020-05-22,10.83,11.0,10.66,10.93,-0.05,10.81,49234.0,306608.0,586.0,429.0,
2020-05-25,,,,10.93,0.0,,,301640.0,,,
2020-05-26,11.11,11.2,10.88,11.05,0.12,11.06,59082.0,301639.0,2469.0,228.0,400.0
2020-05-27,11.06,11.12,10.72,10.8,-0.25,10.87,54531.0,296540.0,1458.0,141.0,224.0
2020-05-28,10.76,10.88,10.55,10.8,0.0,10.72,38992.0,295543.0,1102.0,33.0,107.0
2020-05-29,10.83,10.96,10.67,10.91,0.11,10.81,42382.0,291679.0,1864.0,,
2020-06-01,10.97,11.13,10.83,11.0,0.09,11.0,50214.0,292114.0,1840.0,107.0,
2020-06-02,11.03,11.28,11.01,11.22,0.22,11.15,47498.0,289081.0,3684.0,803.0,
2020-06-03,11.3,11.64,11.22,11.62,0.4,11.43,61196.0,282184.0,8779.0,,
2020-06-04,11.61,11.74,11.44,11.73,0.11,11.59,54344.0,280658.0,3099.0,25.0,209.0
2020-06-05,11.74,12.06,11.73,12.02,0.29,11.94,79835.0,273075.0,4770.0,246.0,300.0
2020-06-08,12.11,12.27,11.89,11.94,-0.08,12.09,93781.0,255150.0,6082.0,167.0,
2020-06-09,11.9,12.03,11.8,12.0,0.06,11.91,119525.0,229835.0,1720.0,,
2020-06-10,12.0,12.25,11.94,12.23,0.23,12.13,89969.0,190069.0,8102.0,495.0,
2020-06-11,12.17,12.18,11.88,11.94,-0.29,12.0,76371.0,166597.0,9736.0,,
2020-06-12,11.84,12.09,11.6,11.87,-0.07,11.88,57305.0,149779.0,10461.0,1007.0,300.0
2020-06-15,11.77,12.06,11.62,12.04,0.17,11.81,59217.0,138304.0,7615.0,13462.0,
2020-06-16,12.1,12.25,12.01,12.19,0.15,12.16,46276.0,118739.0,5506.0,6120.0,
2020-06-17,12.09,12.18,11.93,12.11,-0.08,12.07,24264.0,101602.0,13367.0,1244.0,
2020-06-18,12.09,12.14,11.81,11.89,-0.22,11.95,25998.0,93306.0,11685.0,2555.0,650.0
2020-06-19,11.9,12.17,11.9,12.05,0.16,12.07,20055.0,86369.0,4855.0,614.0,105.0
2020-06-22,12.04,12.11,11.82,11.92,-0.13,11.96,19800.0,81323.0,17980.0,318.0,
2020-06-23,11.95,11.96,11.76,11.79,-0.13,11.84,15655.0,69951.0,21674.0,217.0,
2020-06-24,11.8,12.05,11.65,11.75,-0.04,11.83,27540.0,53509.0,15946.0,540.0,
2020-06-25,11.77,11.83,11.65,11.81,0.06,11.75,18591.0,40958.0,17242.0,197.0,
2020-06-26,11.77,11.87,11.45,11.55,-0.26,11.58,16378.0,19425.0,7595.0,19.0,
2020-06-29,11.46,11.77,11.33,11.71,0.16,11.56,10166.0,10038.0,728.0,8.0,
2020-06-30,11.69,11.9,11.68,11.84,0.13,11.79,4888.0,4823.0,,5.0,
