Date,Open,High,Low,Settle,Change,Wave,Volume,Prev. Day Open Interest,EFP Volume,EFS Volume,Block Volume
2020-05-18,10.63,10.93,10.59,10.9,0.4,10.82,31363.0,239325.0,394.0,,100.0
2020-05-19,10.93,10.98,10.78,10.9,0.0,10.91,45458.0,239213.0,,,
2020-05-20,10.9,11.27,10.88,11.16,0.26,11.11,65353.0,236310.0,128.0,,1032.0
2020-05-21,11.16,11.27,10.89,11.0,-0.16,11.09,35552.0,245060.0,737.0,,
2020-05-22,10.88,10.99,10.7,10.93,-0.07,10.83,37819.0,247525.0,275.0,,
2020-05-25,,,,10.93,0.0,,,255934.0,,,
2020-05-26,11.15,11.17,10.91,11.1,0.17,11.07,40064.0,255934.0,,,300.0
2020-05-27,11.11,11.15,10.82,10.94,-0.16,10.96,44693.0,257760.0,,,
2020-05-28,10.89,10.98,10.7,10.91,-0.03,10.84,25615.0,265526.0,,,114.0
2020-05-29,10.96,11.04,10.78,10.97,0.06,10.9,28030.0,266444.0,,,
2020-06-01,11.04,11.19,10.92,11.08,0.11,11.07,31585.0,268659.0,,,
2020-06-02,11.1,11.36,11.1,11.3,0.22,11.23,34276.0,273836.0,788.0,,250.0
2020-06-03,11.38,11.71,11.33,11.7,0.4,11.49,41796.0,279862.0,96.0,,250.0
2020-06-04,11.7,11.82,11.54,11.8,0.1,11.67,43758.0,286207.0,792.0,,160.0
2020-06-05,11.78,12.12,11.78,12.09,0.29,11.99,66743.0,289688.0,4.0,142.0,1504.0
2020-06-08,12.15,12.29,11.98,12.03,-0.06,12.14,85877.0,300509.0,57.0,,850.0
2020-06-09,12.05,12.19,11.92,12.16,0.13,12.05,107012.0,307698.0,372.0,,63.0
2020-06-10,12.17,12.4,12.12,12.38,0.22,12.3,91245.0,335276.0,,372.0,
2020-06-11,12.29,12.34,12.02,12.1,-0.28,12.14,79401.0,358675.0,7.0,47.0,25.0
2020-06-12,12.02,12.24,11.77,12.04,-0.06,12.05,72110.0,375736.0,52.0,,1429.0
2020-06-15,11.9,12.14,11.71,12.13,0.09,11.89,79375.0,381444.0,197.0,928.0,500.0
2020-06-16,12.2,12.33,12.1,12.28,0.15,12.24,74171.0,381118.0,71.0,104.0,108.0
2020-06-17,12.18,12.29,12.04,12.26,-0.02,12.18,55468.0,383246.0,18.0,,
2020-06-18,12.2,12.3,11.96,12.04,-0.22,12.11,65003.0,387037.0,331.0,12.0,1215.0
2020-06-19,12.06,12.32,12.04,12.18,0.14,12.19,54923.0,398527.0,23.0,,980.0
2020-06-22,12.14,12.25,11.95,12.06,-0.12,12.08,53659.0,406381.0,952.0,13.0,100.0
2020-06-23,12.09,12.1,11.91,11.92,-0.14,11.98,44555.0,412365.0,,10.0,400.0
2020-06-24,11.93,12.16,11.75,11.84,-0.08,11.93,75861.0,412788.0,3.0,400.0,
2020-06-25,11.78,11.93,11.73,11.92,0.08,11.85,47022.0,414469.0,1864.0,3.0,528.0
2020-06-26,11.92,11.99,11.53,11.62,-0.3,11.66,60868.0,413985.0,1500.0,,
2020-06-29,11.51,11.84,11.39,11.77,0.15,11.63,57467.0,414109.0,16.0,,500.0
2020-06-30,11.84,12.1,11.76,11.96,0.19,11.93,66352.0,412474.0,10814.0,,200.0
2020-07-01,12.03,12.25,12.01,12.17,0.21,12.14,63866.0,410481.0,1715.0,,435.0
2020-07-02,12.18,12.25,12.02,12.24,0.07,12.17,41056.0,398738.0,461.0,161.0,180.0
2020-07-06,12.2,12.27,11.9,11.93,-0.31,12.14,42820.0,410194.0,277.0,140.0,
2020-07-07,11.88,12.23,11.78,12.18,0.25,11.99,42216.0,410718.0,1925.0,60.0,803.0
2020-07-08,12.14,12.29,11.97,12.08,-0.1,12.14,52815.0,408607.0,827.0,115.0,1254.0
2020-07-09,12.11,12.15,11.82,11.84,-0.24,11.93,56144.0,405924.0,1866.0,,
2020-07-10,11.81,11.93,11.68,11.76,-0.08,11.79,54574.0,400768.0,1063.0,,184.0
2020-07-13,11.71,11.75,11.53,11.58,-0.18,11.65,45040.0,395538.0,2369.0,10.0,
2020-07-14,11.49,11.55,11.27,11.32,-0.26,11.37,61841.0,394871.0,1087.0,1197.0,600.0
2020-07-15,11.38,11.9,11.36,11.82,0.5,11.65,70855.0,392771.0,2444.0,1010.0,917.0
2020-07-16,11.89,11.97,11.68,11.79,-0.03,11.8,34279.0,387896.0,2419.0,361.0,
2020-07-17,11.77,11.87,11.68,11.73,-0.06,11.78,19925.0,384064.0,604.0,226.0,184.0
2020-07-20,11.69,11.76,11.52,11.72,-0.01,11.63,29575.0,383540.0,1263.0,70.0,300.0
2020-07-21,11.77,11.94,11.63,11.67,-0.05,11.78,38844.0,384665.0,1990.0,65.0,100.0
2020-07-22,11.7,11.88,11.64,11.86,0.19,11.77,28294.0,382865.0,3111.0,23.0,650.0
2020-07-23,11.89,11.89,11.72,11.77,-0.09,11.77,24068.0,378650.0,1072.0,47.0,675.0
2020-07-24,11.67,11.73,11.48,11.49,-0.28,11.58,39962.0,378989.0,1717.0,237.0,255.0
2020-07-27,11.51,12.19,11.51,12.12,0.63,12.0,100632.0,381217.0,962.0,95.0,911.0
2020-07-28,12.2,12.27,11.95,12.01,-0.11,12.09,54798.0,385337.0,758.0,4.0,1150.0
2020-07-29,12.05,12.1,11.84,12.01,0.0,11.96,35617.0,380481.0,224.0,69.0,375.0
2020-07-30,11.9,12.19,11.89,12.11,0.1,12.04,45271.0,380175.0,187.0,24.0,521.0
2020-07-31,12.12,12.72,12.11,12.64,0.53,12.46,92333.0,381909.0,1350.0,26.0,3134.0
2020-08-03,12.67,12.8,12.39,12.72,0.08,12.64,69441.0,388719.0,1589.0,831.0,830.0
2020-08-04,12.67,12.8,12.55,12.78,0.06,12.68,46720.0,386381.0,3304.0,511.0,200.0
2020-08-05,12.8,12.96,12.49,12.54,-0.24,12.75,58812.0,383994.0,2542.0,,144.0
2020-08-06,12.65,12.98,12.51,12.94,0.4,12.8,55159.0,384732.0,1990.0,478.0,100.0
2020-08-07,12.95,13.0,12.63,12.67,-0.27,12.81,50967.0,386674.0,2359.0,310.0,
2020-08-10,12.59,12.82,12.41,12.55,-0.12,12.61,44950.0,381614.0,2962.0,,708.0
2020-08-11,12.53,12.82,12.43,12.74,0.19,12.67,38970.0,374877.0,2668.0,89.0,356.0
2020-08-12,12.74,12.93,12.65,12.84,0.1,12.85,40414.0,371959.0,997.0,20.0,245.0
2020-08-13,12.87,13.14,12.84,13.11,0.27,13.03,58037.0,374949.0,1166.0,201.0,710.0
2020-08-14,13.14,13.28,13.06,13.1,-0.01,13.17,44945.0,369749.0,618.0,200.0,1116.0
2020-08-17,13.1,13.25,13.01,13.06,-0.04,13.16,40574.0,366250.0,3775.0,11.0,431.0
2020-08-18,13.06,13.12,12.74,12.89,-0.17,12.9,49692.0,367096.0,2544.0,48.0,733.0
2020-08-19,12.92,13.26,12.9,13.24,0.35,13.13,43432.0,362360.0,2363.0,284.0,710.0
2020-08-20,13.23,13.23,12.97,13.01,-0.23,13.06,39491.0,363420.0,4856.0,59.0,1100.0
2020-08-21,13.04,13.08,12.8,12.83,-0.18,12.89,42116.0,360680.0,1554.0,,500.0
2020-08-24,12.83,12.97,12.65,12.71,-0.12,12.77,56830.0,361410.0,293.0,3.0,
2020-08-25,12.71,12.87,12.6,12.76,0.05,12.72,41569.0,367184.0,5390.0,89.0,100.0
2020-08-26,12.78,12.87,12.54,12.58,-0.18,12.64,46583.0,367785.0,4676.0,22.0,250.0
2020-08-27,12.61,12.82,12.5,12.77,0.19,12.66,49817.0,365530.0,170.0,,500.0
2020-08-28,12.82,12.84,12.58,12.6,-0.17,12.68,39049.0,361898.0,1987.0,8.0,486.0
2020-08-31,12.65,12.74,12.56,12.66,0.06,12.66,25021.0,357639.0,2791.0,51.0,
2020-09-01,12.66,12.8,12.54,12.6,-0.06,12.68,58169.0,358034.0,2365.0,,
2020-09-02,12.6,12.64,12.42,12.44,-0.16,12.5,77991.0,350898.0,1631.0,8000.0,450.0
2020-09-03,12.41,12.44,11.9,12.07,-0.37,12.11,109146.0,336149.0,2002.0,,750.0
2020-09-04,12.09,12.14,11.86,11.93,-0.14,11.98,67875.0,325884.0,9711.0,202.0,922.0
2020-09-07,,,,11.93,0.0,,,316964.0,,,
2020-09-08,11.99,12.11,11.78,12.04,0.11,11.91,86940.0,316963.0,6460.0,23.0,
2020-09-09,12.07,12.17,11.93,12.03,-0.01,12.04,93386.0,291317.0,6388.0,43.0,100.0
2020-09-10,12.0,12.03,11.85,11.91,-0.12,11.93,72080.0,265373.0,9094.0,1412.0,
2020-09-11,11.93,11.98,11.76,11.92,0.01,11.86,64739.0,240411.0,14211.0,780.0,
2020-09-14,11.91,11.98,11.73,11.76,-0.16,11.81,89805.0,225550.0,9113.0,1243.0,
2020-09-15,11.77,12.1,11.74,12.08,0.32,11.94,87432.0,209755.0,8695.0,14349.0,
2020-09-16,12.15,12.43,12.06,12.35,0.27,12.22,64113.0,155566.0,29473.0,19122.0,100.0
2020-09-17,12.3,12.69,12.22,12.62,0.27,12.43,35070.0,129862.0,7927.0,1700.0,
2020-09-18,12.62,12.79,12.5,12.77,0.15,12.62,30354.0,118183.0,3483.0,1875.0,
2020-09-21,12.8,12.85,12.46,12.55,-0.22,12.69,40608.0,105411.0,4722.0,145.0,
2020-09-22,12.51,12.95,12.51,12.89,0.34,12.81,32184.0,101230.0,7148.0,6311.0,
2020-09-23,12.89,13.06,12.77,12.82,-0.07,12.93,24194.0,92997.0,8811.0,255.0,
2020-09-24,12.82,12.93,12.71,12.84,0.02,12.82,20001.0,88499.0,11602.0,191.0,
2020-09-25,12.83,13.03,12.83,13.0,0.16,12.96,22530.0,77610.0,11947.0,536.0,
2020-09-28,13.05,13.18,12.57,12.59,-0.41,12.9,17396.0,69085.0,6553.0,36.0,
2020-09-29,12.62,13.07,12.49,12.99,0.4,12.76,13720.0,61523.0,2105.0,,
2020-09-30,13.42,13.54,13.23,13.51,0.09,13.38,45899.0,405660.0,267.0,5.0,400.0
