Date,Open,High,Low,Last,Change,Settle,Volume,Previous Day Open Interest
2020-05-18,27.0,27.73,26.98,27.66,0.75,27.68,6713.0,42062.0
2020-05-19,27.69,27.9,27.3,27.48,0.25,27.43,2715.0,41367.0
2020-05-20,27.44,27.72,27.28,27.68,0.26,27.69,2258.0,41503.0
2020-05-21,27.58,27.87,27.4,27.44,0.23,27.46,3138.0,41656.0
2020-05-22,27.48,27.48,26.94,27.03,0.47,26.99,4529.0,41934.0
2020-05-26,27.09,27.7,27.08,27.59,0.63,27.62,5835.0,41646.0
2020-05-27,27.59,28.07,27.43,27.93,0.34,27.96,3719.0,42509.0
2020-05-28,27.91,28.0,27.35,27.71,0.22,27.74,3543.0,42873.0
2020-05-29,27.7,27.85,27.49,27.74,0.03,27.71,5300.0,43595.0
2020-06-01,27.89,28.13,27.47,27.7,0.25,27.96,6829.0,44660.0
2020-06-02,27.97,28.37,27.84,28.32,0.33,28.29,4973.0,45266.0
2020-06-03,28.35,28.53,28.08,28.29,0.07,28.22,7531.0,44761.0
2020-06-04,28.18,28.21,27.86,28.15,0.03,28.19,4047.0,44575.0
2020-06-05,28.1,28.77,28.08,28.63,0.33,28.52,8973.0,46192.0
2020-06-08,28.63,28.74,28.37,28.52,0.04,28.48,5648.0,45584.0
2020-06-09,28.44,28.72,28.33,28.64,0.12,28.6,7435.0,45080.0
2020-06-10,28.63,28.82,28.29,28.45,0.23,28.37,5215.0,44326.0
2020-06-11,28.45,28.5,27.83,27.87,0.49,27.88,6949.0,44447.0
2020-06-12,27.83,28.15,27.69,27.92,,27.88,7622.0,44716.0
2020-06-15,27.78,28.13,27.4,28.12,0.22,28.1,9385.0,44701.0
2020-06-16,28.15,28.62,28.12,28.39,0.22,28.32,7741.0,45433.0
2020-06-17,28.25,28.6,28.08,28.42,0.11,28.43,7891.0,45155.0
2020-06-18,28.42,28.53,28.16,28.46,0.03,28.4,5882.0,44825.0
2020-06-19,28.49,29.02,28.36,28.77,0.45,28.85,8424.0,45597.0
2020-06-22,28.83,28.96,28.67,28.69,0.14,28.71,7161.0,46415.0
2020-06-23,28.7,28.78,28.25,28.53,0.18,28.53,10273.0,47421.0
2020-06-24,28.51,28.63,27.97,28.03,0.52,28.01,6568.0,48599.0
2020-06-25,28.0,28.04,27.72,27.88,0.1,27.91,9062.0,49759.0
2020-06-26,27.87,28.16,27.49,27.71,0.33,27.58,10528.0,51345.0
2020-06-29,27.57,28.09,27.25,27.92,0.37,27.95,7167.0,51602.0
2020-06-30,27.94,28.69,27.68,28.22,0.35,28.3,13781.0,51525.0
2020-07-01,28.25,28.58,28.16,28.51,0.22,28.52,12418.0,50829.0
2020-07-02,28.49,28.78,28.18,28.21,0.26,28.26,6619.0,51846.0
2020-07-06,28.35,28.86,28.35,28.7,0.45,28.71,8985.0,51237.0
2020-07-07,28.67,29.12,28.33,29.03,0.33,29.04,10543.0,50422.0
2020-07-08,29.03,29.08,28.56,28.72,0.33,28.71,8559.0,50870.0
2020-07-09,28.72,28.93,28.4,28.47,0.26,28.45,8247.0,51080.0
2020-07-10,28.4,28.67,28.2,28.5,0.07,28.38,7778.0,50512.0
2020-07-13,28.25,28.41,27.98,28.27,0.15,28.23,9701.0,50956.0
2020-07-14,28.27,28.76,27.95,28.69,0.38,28.61,10950.0,49491.0
2020-07-15,28.78,29.1,28.76,29.08,0.3,29.07,9962.0,29252.0
2020-07-16,28.94,29.54,28.9,29.39,0.48,29.42,13008.0,47550.0
2020-07-17,29.42,30.17,29.4,30.11,0.66,30.08,17745.0,48191.0
2020-07-20,30.27,30.6,29.97,29.97,,30.08,17397.0,48755.0
2020-07-21,30.03,30.37,29.9,30.18,0.13,30.21,15356.0,50206.0
2020-07-22,30.03,30.57,29.73,30.06,-0.14,30.07,15802.0,50999.0
2020-07-23,30.06,30.33,29.75,29.91,-0.15,29.92,13622.0,50814.0
2020-07-24,29.88,30.18,29.71,30.02,,29.92,22406.0,50301.0
2020-07-27,29.8,30.08,29.46,29.69,-0.21,29.71,30331.0,50727.0
2020-07-28,29.5,29.62,29.14,29.5,-0.18,29.53,32464.0,50348.0
2020-07-29,29.53,29.89,29.42,29.75,0.19,29.72,40760.0,53214.0
2020-07-30,29.84,30.08,29.56,29.97,0.17,29.89,26387.0,59817.0
2020-07-31,29.93,30.52,29.89,30.45,0.58,30.47,24649.0,61570.0
2020-08-03,30.47,31.34,30.36,31.3,0.75,31.22,34234.0,60225.0
2020-08-04,31.22,31.67,30.99,31.04,-0.17,31.05,22307.0,54386.0
2020-08-05,31.1,31.22,30.81,31.1,0.05,31.1,18751.0,51741.0
2020-08-06,31.08,31.55,30.87,31.23,0.12,31.22,20735.0,52338.0
2020-08-07,31.22,31.38,30.71,30.89,-0.37,30.85,15201.0,51448.0
2020-08-10,30.85,30.98,30.61,30.79,-0.12,30.73,13757.0,50411.0
2020-08-11,30.68,30.94,30.49,30.65,-0.11,30.62,16719.0,48996.0
2020-08-12,30.61,31.61,30.43,31.55,0.94,31.56,15945.0,44762.0
2020-08-13,31.53,31.83,31.19,31.19,-0.33,31.23,11154.0,42881.0
2020-08-14,31.23,31.34,30.99,31.06,-0.17,31.06,8063.0,41454.0
2020-08-17,31.11,31.58,31.1,31.22,0.24,31.3,17372.0,38587.0
2020-08-18,31.22,31.63,31.16,31.58,0.28,31.58,11350.0,38140.0
2020-08-19,31.56,31.9,31.46,31.71,0.09,31.67,10923.0,37847.0
2020-08-20,31.67,31.7,31.17,31.29,-0.37,31.3,10821.0,37336.0
2020-08-21,31.2,31.45,31.08,31.42,0.11,31.41,9396.0,34961.0
2020-08-24,31.45,31.81,31.29,31.67,0.25,31.66,14903.0,31271.0
2020-08-25,31.66,32.13,31.51,31.98,0.32,31.98,14441.0,27140.0
2020-08-26,31.99,32.45,31.98,32.23,0.26,32.24,16702.0,21864.0
2020-08-27,32.27,33.62,32.2,33.33,1.07,33.31,25754.0,17913.0
2020-08-28,33.42,33.72,32.76,33.24,0.08,33.39,12172.0,8833.0
2020-08-31,33.63,34.22,32.86,32.97,-0.43,32.96,2315.0,2870.0
2020-09-01,33.0,33.35,33.0,33.1,0.16,33.12,777.0,2207.0
2020-09-02,33.1,33.65,33.03,33.65,0.55,33.67,213.0,1626.0
2020-09-03,33.97,34.03,33.29,33.47,-0.2,33.47,508.0,1482.0
2020-09-04,33.43,33.5,33.05,33.12,-0.39,33.08,107.0,1124.0
2020-09-08,33.08,33.56,33.08,33.56,0.49,33.57,105.0,1029.0
2020-09-09,33.28,33.29,33.28,33.29,-0.36,33.21,57.0,929.0
2020-09-10,33.18,33.2,33.18,33.2,-0.08,33.13,320.0,431.0
2020-09-11,33.33,33.36,33.3,33.3,0.61,33.74,113.0,357.0
2020-09-14,,,,,0.54,34.28,59.0,123.0
