Date,Open,High,Low,Last,Change,Settle,Volume,Previous Day Open Interest
2020-05-18,27.43,28.17,27.41,28.12,0.76,28.13,14574.0,87635.0
2020-05-19,28.16,28.36,27.75,28.13,0.24,27.89,15704.0,86083.0
2020-05-20,27.88,28.17,27.73,28.14,0.26,28.15,12153.0,87314.0
2020-05-21,28.05,28.33,27.84,27.93,0.22,27.93,14188.0,88747.0
2020-05-22,27.94,27.96,27.42,27.54,0.43,27.5,14594.0,89494.0
2020-05-26,27.55,28.23,27.55,28.13,0.65,28.15,13890.0,91101.0
2020-05-27,28.12,28.58,27.96,28.42,0.31,28.46,16954.0,93132.0
2020-05-28,28.45,28.52,27.85,28.19,0.22,28.24,14732.0,95127.0
2020-05-29,28.2,28.35,27.96,28.24,0.03,28.21,19923.0,96672.0
2020-06-01,28.18,28.62,27.96,28.45,0.23,28.44,18128.0,97475.0
2020-06-02,28.39,28.85,28.32,28.79,0.33,28.77,12884.0,98691.0
2020-06-03,28.82,29.01,28.6,28.72,0.09,28.68,13829.0,99149.0
2020-06-04,28.67,28.71,28.33,28.65,,28.68,16651.0,100439.0
2020-06-05,28.58,29.28,28.57,29.17,0.36,29.04,24933.0,101852.0
2020-06-08,29.15,29.27,28.9,28.93,0.02,29.02,23832.0,108559.0
2020-06-09,28.94,29.26,28.85,29.17,0.12,29.14,28600.0,116558.0
2020-06-10,29.16,29.35,28.82,28.97,0.22,28.92,25525.0,128056.0
2020-06-11,28.99,29.04,28.39,28.4,0.48,28.44,28723.0,135507.0
2020-06-12,28.51,28.69,28.24,28.74,0.02,28.42,25577.0,145354.0
2020-06-15,28.32,28.63,27.92,28.63,0.18,28.6,31866.0,148195.0
2020-06-16,28.63,29.11,28.62,29.87,0.2,28.8,30653.0,146572.0
2020-06-17,28.76,29.05,28.59,28.9,0.11,28.91,31468.0,147572.0
2020-06-18,28.87,29.0,28.65,28.9,0.04,28.87,27103.0,149864.0
2020-06-19,28.93,29.5,28.79,29.22,0.44,29.31,35849.0,151219.0
2020-06-22,29.32,29.42,29.14,29.19,0.09,29.22,29429.0,153636.0
2020-06-23,29.24,29.29,28.73,29.04,0.18,29.04,44091.0,154751.0
2020-06-24,29.0,29.14,28.46,28.48,0.54,28.5,40055.0,154584.0
2020-06-25,28.51,28.53,28.21,28.39,0.08,28.42,44568.0,156175.0
2020-06-26,28.39,28.68,27.99,28.21,0.34,28.08,39008.0,158193.0
2020-06-29,28.08,28.6,27.74,28.41,0.38,28.46,51325.0,163243.0
2020-06-30,28.44,29.19,28.17,28.71,0.35,28.81,56807.0,166214.0
2020-07-01,28.76,29.08,28.67,29.08,0.2,29.01,46129.0,167392.0
2020-07-02,28.98,29.3,28.68,28.84,0.26,28.75,40539.0,170782.0
2020-07-06,28.84,29.39,28.84,29.2,0.48,29.23,38190.0,170781.0
2020-07-07,29.2,29.64,28.83,29.54,0.33,29.56,49824.0,171326.0
2020-07-08,29.51,29.6,29.05,29.21,0.35,29.21,48718.0,176070.0
2020-07-09,29.24,29.44,28.86,28.91,0.29,28.92,42946.0,170006.0
2020-07-10,28.85,29.16,28.66,28.8,0.08,28.84,37230.0,165754.0
2020-07-13,28.7,28.89,28.45,28.68,0.14,28.7,39861.0,165665.0
2020-07-14,28.73,29.23,28.39,29.14,0.39,29.09,48215.0,164754.0
2020-07-15,29.31,29.65,29.31,29.61,0.26,29.59,5099.0,33705.0
2020-07-16,29.37,29.98,29.31,29.91,0.47,29.84,55475.0,159218.0
2020-07-17,29.86,30.63,29.84,30.58,0.7,30.54,58414.0,166388.0
2020-07-20,30.75,31.06,30.42,30.42,-0.01,30.53,50759.0,169761.0
2020-07-21,30.49,30.84,30.36,30.66,0.15,30.68,48241.0,169593.0
2020-07-22,30.53,31.05,30.19,30.51,-0.16,30.52,43259.0,169351.0
2020-07-23,30.52,30.81,30.2,30.36,-0.16,30.36,42494.0,168120.0
2020-07-24,30.33,30.62,30.14,30.31,0.01,30.37,45393.0,168631.0
2020-07-27,30.26,30.53,29.91,30.15,-0.23,30.14,47524.0,169181.0
2020-07-28,29.94,30.05,29.56,29.91,-0.22,29.92,51125.0,167914.0
2020-07-29,29.95,30.3,29.82,30.14,0.14,30.06,40540.0,164547.0
2020-07-30,30.2,30.41,29.83,30.24,0.1,30.16,60880.0,168247.0
2020-07-31,30.16,30.8,30.13,30.75,0.6,30.76,57181.0,173649.0
2020-08-03,30.78,31.42,30.65,31.33,0.56,31.32,66108.0,176601.0
2020-08-04,31.34,31.78,31.0,31.06,-0.27,31.05,59915.0,174087.0
2020-08-05,31.17,31.27,30.81,31.13,0.08,31.13,56598.0,174233.0
2020-08-06,31.12,31.63,30.97,31.29,0.15,31.28,58899.0,174737.0
2020-08-07,31.28,31.44,30.7,30.77,-0.53,30.75,56695.0,176799.0
2020-08-10,30.74,30.99,30.52,30.79,,30.75,45006.0,174096.0
2020-08-11,30.68,30.91,30.42,30.54,-0.24,30.51,56420.0,173581.0
2020-08-12,30.5,31.6,30.29,31.51,1.04,31.55,73904.0,173021.0
2020-08-13,31.51,31.82,31.14,31.16,-0.36,31.19,51394.0,171839.0
2020-08-14,31.18,31.3,30.94,31.17,-0.1,31.09,35319.0,172441.0
2020-08-17,31.15,31.72,31.14,31.42,0.44,31.53,55314.0,172981.0
2020-08-18,31.44,31.94,31.38,31.89,0.37,31.9,45810.0,173680.0
2020-08-19,31.87,32.2,31.79,31.97,0.07,31.97,45267.0,173468.0
2020-08-20,31.97,31.99,31.39,31.4,-0.45,31.52,44325.0,173783.0
2020-08-21,31.4,31.71,31.34,31.68,0.15,31.67,39691.0,175471.0
2020-08-24,31.66,32.12,31.52,31.94,0.28,31.95,44881.0,175661.0
2020-08-25,31.93,32.4,31.77,32.27,0.33,32.28,50698.0,178521.0
2020-08-26,32.28,32.73,32.25,32.49,0.25,32.53,48928.0,181555.0
2020-08-27,32.6,33.81,32.5,33.47,0.97,33.5,75161.0,185602.0
2020-08-28,33.62,33.89,32.95,33.19,-0.26,33.24,66257.0,191888.0
2020-08-31,33.32,34.04,32.76,32.88,-0.38,32.86,74640.0,187845.0
2020-09-01,32.92,33.44,32.67,32.88,0.02,32.88,68507.0,183190.0
2020-09-02,33.0,33.58,32.7,33.55,0.65,33.53,63244.0,185177.0
2020-09-03,33.57,33.92,33.11,33.39,-0.24,33.29,67270.0,189357.0
2020-09-04,33.28,33.48,32.77,32.83,-0.4,32.89,58027.0,186255.0
2020-09-08,33.22,33.75,32.8,33.48,0.51,33.4,79146.0,187149.0
2020-09-09,,33.55,33.05,33.22,-0.19,33.21,58848.0,186763.0
2020-09-10,33.14,33.43,33.06,33.26,-0.01,33.2,46079.0,188640.0
2020-09-11,33.3,33.85,33.12,33.77,0.51,33.71,63858.0,187295.0
2020-09-14,33.56,34.57,33.47,34.29,0.58,34.29,62209.0,187277.0
2020-09-15,34.39,34.71,34.04,34.15,-0.14,34.15,51993.0,190878.0
2020-09-16,34.2,35.06,33.97,34.89,0.76,34.91,82431.0,189536.0
2020-09-17,34.91,35.19,34.67,34.9,-0.05,34.86,79048.0,197946.0
2020-09-18,34.86,35.49,34.65,35.15,0.28,35.14,84315.0,197825.0
