Date,Open,High,Low,Last,Change,Settle,Volume,Previous Day Open Interest
2020-05-18,32.25,34.77,32.13,34.71,2.06,34.07,94496.0,339481.0
2020-05-19,34.63,34.9,33.72,33.98,0.1,34.17,58230.0,337614.0
2020-05-20,34.31,35.8,34.29,35.47,0.97,35.48,7844.0,72043.0
2020-05-21,35.67,36.24,35.54,36.0,0.46,35.94,14808.0,72050.0
2020-05-22,36.05,36.08,33.62,35.69,0.46,35.48,8515.0,73508.0
2020-05-26,35.02,36.76,35.01,36.44,1.03,36.51,13417.0,73333.0
2020-05-27,36.31,36.37,34.42,34.55,1.34,35.17,13565.0,71941.0
2020-05-28,34.56,36.12,33.95,35.58,0.63,35.8,7369.0,71275.0
2020-05-29,35.71,37.34,34.91,37.03,1.36,37.16,9112.0,70879.0
2020-06-01,36.86,37.37,36.13,37.27,0.01,37.15,13903.0,71407.0
2020-06-02,37.27,38.22,37.04,38.16,0.95,38.1,10371.0,71763.0
2020-06-03,38.29,39.03,37.63,38.12,0.54,38.64,11135.0,71962.0
2020-06-04,38.13,39.0,37.96,38.9,0.26,38.9,7311.0,73155.0
2020-06-05,38.89,40.72,38.68,39.85,1.62,40.52,19825.0,73331.0
2020-06-08,40.57,41.23,39.11,39.24,1.29,39.23,11187.0,74380.0
2020-06-09,39.53,40.05,38.49,39.44,0.72,39.95,14148.0,75897.0
2020-06-10,39.28,40.71,38.96,39.88,0.49,40.44,11140.0,76493.0
2020-06-11,39.8,39.8,36.89,37.45,2.85,37.59,12948.0,76949.0
2020-06-12,37.52,38.17,35.94,37.83,0.03,37.62,10610.0,77166.0
2020-06-15,37.28,38.68,36.07,38.54,1.02,38.64,8169.0,78474.0
2020-06-16,38.8,40.25,38.0,39.31,1.05,39.69,5610.0,79174.0
2020-06-17,39.03,39.92,38.65,38.9,0.63,39.06,7183.0,78806.0
2020-06-18,38.86,39.81,38.55,39.68,0.69,39.75,11562.0,78788.0
2020-06-19,39.65,40.83,39.19,39.97,0.52,40.27,18343.0,78682.0
2020-06-22,39.55,41.2,39.55,41.07,0.91,41.18,8893.0,76363.0
2020-06-23,41.15,42.02,40.4,40.56,0.29,40.89,6267.0,74765.0
2020-06-24,40.64,41.04,38.25,38.89,2.02,38.87,15000.0,75030.0
2020-06-25,39.02,39.97,38.2,39.97,0.7,39.57,16468.0,75289.0
2020-06-26,39.88,40.03,38.65,39.02,0.38,39.19,18189.0,76422.0
2020-06-29,38.8,40.45,38.46,40.28,1.09,40.28,11568.0,78422.0
2020-06-30,40.09,40.5,39.53,40.16,0.5,39.78,15848.0,78366.0
2020-07-01,40.18,40.88,39.5,40.27,0.66,40.44,24928.0,77517.0
2020-07-02,40.33,41.24,40.11,40.82,0.74,41.18,17112.0,76103.0
2020-07-06,40.96,41.7,40.45,41.19,0.02,41.2,14368.0,74478.0
2020-07-07,41.21,41.51,40.61,41.05,0.03,41.17,11309.0,74881.0
2020-07-08,40.98,41.6,40.93,41.46,0.37,41.54,14180.0,74827.0
2020-07-09,41.51,41.54,40.2,40.56,0.97,40.57,13501.0,75404.0
2020-07-10,40.54,41.47,39.69,41.33,0.83,41.4,14363.0,75528.0
2020-07-13,41.26,41.44,40.4,40.42,0.47,40.93,13764.0,75677.0
2020-07-14,40.53,41.36,40.1,41.32,0.23,41.16,12004.0,76900.0
2020-07-15,41.44,41.93,40.94,41.71,0.75,41.91,9353.0,78590.0
2020-07-16,41.69,41.82,41.29,41.42,-0.4,41.51,10260.0,79348.0
2020-07-17,41.42,41.57,40.93,41.41,-0.09,41.42,8092.0,78900.0
2020-07-20,41.42,41.6,40.74,41.41,0.12,41.54,6982.0,79864.0
2020-07-21,41.41,42.95,41.39,41.98,0.8,42.34,17157.0,78650.0
2020-07-22,42.01,42.47,41.74,42.38,0.05,42.39,9635.0,79388.0
2020-07-23,42.39,42.83,41.42,41.57,-0.74,41.65,18431.0,79209.0
2020-07-24,41.61,42.17,41.33,42.04,0.35,42.0,22423.0,80390.0
2020-07-27,41.98,42.5,41.29,42.41,0.35,42.35,19497.0,81746.0
2020-07-28,42.37,42.62,41.74,41.97,-0.4,41.95,15986.0,80762.0
2020-07-29,42.05,42.43,41.88,42.25,0.3,42.25,17659.0,82830.0
2020-07-30,42.24,42.3,39.94,41.55,-1.06,41.19,19395.0,82907.0
2020-07-31,41.69,41.7,40.92,41.61,0.3,41.49,14905.0,83100.0
2020-08-03,41.42,42.41,40.91,41.96,0.79,42.28,21847.0,82282.0
2020-08-04,41.8,43.0,41.42,42.48,0.44,42.72,34476.0,84968.0
2020-08-05,42.45,44.32,42.39,43.3,0.59,43.31,36304.0,88455.0
2020-08-06,43.15,43.72,42.85,43.1,-0.13,43.18,23627.0,89284.0
2020-08-07,43.16,43.35,42.34,42.79,-0.7,42.48,19859.0,88614.0
2020-08-10,42.5,43.39,42.5,43.06,0.6,43.08,20098.0,89435.0
2020-08-11,43.05,43.93,42.67,42.83,-0.28,42.8,27132.0,90087.0
2020-08-12,42.85,43.96,42.74,43.66,0.98,43.78,29173.0,91267.0
2020-08-13,43.69,43.91,43.3,43.53,-0.34,43.44,28371.0,92499.0
2020-08-14,43.55,43.71,42.98,43.49,-0.14,43.3,20435.0,97472.0
2020-08-17,43.4,44.14,43.18,44.0,0.78,44.08,27566.0,97809.0
2020-08-18,43.96,44.18,43.43,43.74,-0.02,44.06,19383.0,104504.0
2020-08-19,43.8,44.08,43.53,43.87,-0.08,43.98,13362.0,103939.0
2020-08-20,43.78,43.81,42.61,43.64,-0.28,43.7,26684.0,102861.0
2020-08-21,43.64,43.78,42.38,43.16,-0.47,43.23,29139.0,107516.0
2020-08-24,43.32,43.71,43.14,43.38,0.37,43.6,23574.0,109855.0
2020-08-25,43.46,44.44,43.46,44.28,0.64,44.24,37011.0,114413.0
2020-08-26,44.28,44.6,43.94,44.33,0.07,44.31,27450.0,115819.0
2020-08-27,44.34,44.37,43.34,43.86,-0.4,43.91,20396.0,116489.0
2020-08-28,43.77,44.25,43.66,43.95,0.03,43.94,15411.0,118873.0
2020-08-31,43.99,44.48,43.47,43.71,-0.41,43.53,14883.0,118673.0
2020-09-01,43.73,44.27,43.68,43.97,0.22,43.75,21290.0,118536.0
2020-09-02,44.01,44.15,42.36,42.7,-1.15,42.6,32616.0,120533.0
2020-09-03,42.66,42.89,41.48,42.44,-0.1,42.5,29507.0,120157.0
2020-09-04,42.33,42.92,40.65,40.71,-1.48,41.02,28861.0,117673.0
2020-09-08,40.68,40.8,37.62,38.25,-2.81,38.21,64619.0,118336.0
2020-09-09,38.17,39.64,37.6,39.05,1.13,39.34,41008.0,119952.0
2020-09-10,39.12,39.42,38.2,38.27,-0.74,38.6,36346.0,121308.0
2020-09-11,38.45,38.98,37.98,38.58,-0.04,38.56,27096.0,122090.0
2020-09-14,38.47,38.85,38.02,38.47,-0.09,38.47,26660.0,123956.0
2020-09-15,38.6,39.61,38.29,39.47,0.91,39.38,44530.0,125145.0
2020-09-16,39.46,41.27,39.44,41.11,1.72,41.1,53838.0,126863.0
2020-09-17,41.2,42.12,40.37,41.86,0.77,41.87,43048.0,129461.0
2020-09-18,41.88,42.36,41.25,41.75,0.06,41.93,38926.0,128908.0
2020-09-21,41.8,42.1,39.59,40.45,-1.74,40.19,38941.0,138013.0
2020-09-22,40.4,40.87,39.84,40.35,0.21,40.4,39953.0,141305.0
2020-09-23,40.3,41.33,39.88,40.18,0.13,40.53,45882.0,140787.0
2020-09-24,40.17,40.96,39.74,40.77,0.37,40.9,32511.0,136730.0
2020-09-25,40.75,41.2,40.34,40.6,-0.09,40.81,42948.0,137366.0
2020-09-28,40.65,41.35,40.36,41.15,0.37,41.18,21480.0,135746.0
2020-09-29,41.14,41.25,39.06,39.71,-1.3,39.88,55603.0,135417.0
2020-09-30,39.79,40.91,39.3,40.44,0.91,40.79,63816.0,137769.0
2020-10-01,40.52,41.02,38.28,39.23,-1.41,39.38,69911.0,142513.0
2020-10-02,39.25,39.3,37.3,37.68,-1.64,37.74,69695.0,154249.0
2020-10-05,37.74,40.33,37.72,40.0,2.15,39.89,79468.0,166978.0
2020-10-06,40.0,41.44,39.74,40.42,1.38,41.27,73807.0,177283.0
2020-10-07,40.39,40.93,39.94,40.69,-0.68,40.59,94708.0,175894.0
2020-10-08,40.61,41.92,40.4,41.89,1.22,41.81,106676.0,184302.0
2020-10-09,41.88,42.06,41.04,41.2,-0.54,41.27,73109.0,183259.0
2020-10-12,41.1,41.11,39.74,40.17,-1.16,40.11,72813.0,189611.0
2020-10-13,40.2,41.12,40.05,40.82,0.74,40.85,92367.0,199297.0
2020-10-14,40.84,41.74,40.48,41.7,0.81,41.66,77678.0,208129.0
2020-10-15,41.77,41.87,39.85,41.51,-0.11,41.55,83480.0,215877.0
2020-10-16,41.4,41.61,40.68,41.32,-0.13,41.42,59060.0,225706.0
2020-10-19,41.21,41.73,41.06,41.21,-0.08,41.34,71608.0,225988.0
2020-10-20,41.24,42.15,40.78,41.51,0.63,41.97,94246.0,218377.0
2020-10-21,41.45,41.85,40.07,40.29,-1.66,40.31,97750.0,219775.0
2020-10-22,40.31,41.31,40.0,40.9,0.63,40.94,83074.0,226523.0
2020-10-23,40.91,41.21,39.88,40.05,-0.79,40.15,65350.0,224089.0
2020-10-26,39.98,40.04,38.61,38.92,-1.26,38.89,100262.0,224406.0
2020-10-27,38.95,40.13,38.83,39.25,0.98,39.87,92149.0,229777.0
2020-10-28,39.3,39.33,37.32,37.71,-2.15,37.72,161286.0,235022.0
2020-10-29,37.76,38.1,35.28,36.44,-1.21,36.51,179425.0,239566.0
2020-10-30,36.41,36.93,35.57,36.12,-0.36,36.15,122374.0,238920.0
2020-11-02,35.5,37.5,34.04,37.45,1.03,37.18,153250.0,245364.0
2020-11-03,37.37,38.63,36.93,38.42,0.81,37.99,169046.0,252173.0
2020-11-04,38.46,39.56,37.59,39.44,1.48,39.47,154237.0,250467.0
2020-11-05,39.42,39.67,38.6,38.84,-0.36,39.11,94379.0,248896.0
2020-11-06,38.82,38.92,37.4,37.82,-1.62,37.49,179401.0,253001.0
2020-11-09,37.64,41.63,37.52,40.14,3.13,40.62,277785.0,271953.0
2020-11-10,40.19,42.12,39.72,42.09,1.05,41.67,209142.0,285289.0
2020-11-11,42.08,43.33,41.61,41.69,0.07,41.74,210872.0,304196.0
2020-11-12,41.72,42.45,41.16,41.21,-0.33,41.41,176443.0,326984.0
2020-11-13,41.21,41.21,40.33,40.39,-1.01,40.4,194439.0,353145.0
2020-11-16,40.44,42.35,40.4,41.69,1.17,41.57,232748.0,367844.0
2020-11-17,41.65,41.93,40.81,41.62,0.08,41.65,232729.0,386778.0
2020-11-18,41.55,42.68,41.3,41.81,0.36,42.01,318532.0,412079.0
2020-11-19,41.87,42.15,41.26,41.9,-0.11,41.9,303585.0,426611.0
2020-11-20,41.88,42.54,41.61,42.47,0.52,42.42,274667.0,425230.0
2020-11-23,42.46,43.36,42.29,42.84,0.64,43.06,296600.0,426480.0
2020-11-24,42.84,45.2,42.82,44.81,1.85,44.91,414079.0,418318.0
2020-11-25,44.82,46.26,44.73,45.86,0.8,45.71,412449.0,409337.0
2020-11-27,45.9,46.09,44.55,45.52,-0.18,45.53,361325.0,407847.0
2020-11-30,45.34,45.8,44.42,45.06,-0.19,45.34,361328.0,406432.0
2020-12-01,45.08,45.7,44.12,44.4,-0.79,44.55,310181.0,398824.0
2020-12-02,44.38,45.92,43.92,44.96,0.73,45.28,362477.0,387259.0
2020-12-03,44.99,45.84,44.66,45.64,0.36,45.64,345333.0,377052.0
2020-12-04,45.64,46.68,45.61,46.09,0.62,46.26,330212.0,363893.0
2020-12-07,46.15,46.54,45.36,45.63,-0.5,45.76,343194.0,358034.0
2020-12-08,45.66,45.93,45.14,45.6,-0.16,45.6,328359.0,330173.0
2020-12-09,45.6,46.24,44.95,45.69,-0.08,45.52,427665.0,300016.0
2020-12-10,45.69,47.74,45.52,46.97,1.26,46.78,442068.0,265488.0
2020-12-11,46.97,47.29,46.34,46.56,-0.21,46.57,361167.0,243653.0
2020-12-14,46.73,47.44,45.69,47.03,0.42,46.99,395293.0,212885.0
2020-12-15,46.99,47.73,46.54,47.59,0.63,47.62,298139.0,167652.0
2020-12-16,47.6,47.94,47.17,47.89,0.2,47.82,267581.0,125298.0
2020-12-17,47.85,48.59,47.81,48.4,0.54,48.36,90838.0,70701.0
2020-12-18,48.43,49.28,48.1,49.07,0.74,49.1,79270.0,51898.0
2020-12-21,48.54,48.61,46.18,47.77,-1.36,47.74,19562.0,19945.0
