Date,Open,High,Low,Last,Change,Settle,Volume,Previous Day Open Interest
2020-05-18,32.71,35.07,32.71,35.02,2.03,34.43,10011.0,71538.0
2020-05-19,35.13,35.21,34.1,34.37,0.08,34.51,4720.0,72136.0
2020-05-20,34.74,36.0,34.6,35.75,0.89,35.72,3357.0,42753.0
2020-05-21,35.99,36.39,35.75,36.35,0.44,36.16,7052.0,43209.0
2020-05-22,35.41,36.0,33.99,36.0,0.41,35.75,3237.0,45209.0
2020-05-26,35.63,36.94,35.38,36.69,1.03,36.78,5131.0,45191.0
2020-05-27,36.55,36.58,34.82,34.82,1.28,35.5,6184.0,43955.0
2020-05-28,34.4,36.39,34.4,35.98,0.6,36.1,3939.0,42631.0
2020-05-29,35.72,37.57,35.19,37.31,1.31,37.41,5647.0,42576.0
2020-06-01,37.05,37.51,36.48,37.47,0.02,37.39,7238.0,43564.0
2020-06-02,37.39,38.36,37.32,38.32,0.89,38.28,5364.0,43972.0
2020-06-03,38.5,39.16,37.92,38.31,0.55,38.83,4734.0,43850.0
2020-06-04,38.39,39.2,38.24,39.09,0.27,39.1,3264.0,44240.0
2020-06-05,39.05,40.85,38.86,40.24,1.54,40.64,6381.0,43702.0
2020-06-08,40.8,41.34,39.23,39.28,1.26,39.38,6736.0,42963.0
2020-06-09,39.32,40.2,38.67,39.76,0.71,40.09,11156.0,43284.0
2020-06-10,39.59,40.81,39.08,40.05,0.46,40.55,7387.0,44016.0
2020-06-11,40.05,40.05,37.13,37.67,2.76,37.79,6057.0,43538.0
2020-06-12,37.55,38.34,36.26,38.04,0.02,37.81,8761.0,43470.0
2020-06-15,37.49,38.88,36.33,38.75,1.03,38.84,6650.0,44256.0
2020-06-16,38.82,40.45,38.64,39.44,1.03,39.87,3551.0,44717.0
2020-06-17,39.28,40.05,38.9,39.09,0.66,39.21,2465.0,45021.0
2020-06-18,38.9,39.89,38.79,39.76,0.65,39.86,4645.0,44799.0
2020-06-19,39.91,40.9,39.26,40.0,0.49,40.35,10679.0,45116.0
2020-06-22,40.21,41.25,40.07,41.07,0.89,41.24,5625.0,47433.0
2020-06-23,41.23,41.97,40.46,40.59,0.29,40.95,4521.0,47756.0
2020-06-24,40.84,41.02,38.4,39.0,1.95,39.0,8195.0,48125.0
2020-06-25,39.16,39.99,38.37,39.95,0.7,39.7,6657.0,48499.0
2020-06-26,39.97,40.13,38.8,39.08,0.39,39.31,7686.0,48934.0
2020-06-29,38.9,40.52,38.63,40.38,1.09,40.4,4971.0,48889.0
2020-06-30,40.38,40.55,39.66,40.3,0.53,39.87,7007.0,49372.0
2020-07-01,40.16,40.88,39.68,40.37,0.67,40.54,15020.0,50107.0
2020-07-02,40.25,41.31,40.25,40.91,0.72,41.26,6970.0,51633.0
2020-07-06,41.23,41.79,40.71,41.26,0.04,41.3,5629.0,52031.0
2020-07-07,41.05,41.59,40.79,41.05,0.01,41.29,3222.0,52218.0
2020-07-08,41.19,41.7,41.04,41.58,0.37,41.66,5903.0,52509.0
2020-07-09,41.44,41.68,40.42,40.72,0.91,40.75,5138.0,53148.0
2020-07-10,40.78,41.59,39.9,41.49,0.79,41.54,5594.0,53179.0
2020-07-13,41.32,41.55,40.59,40.59,0.45,41.09,4341.0,53072.0
2020-07-14,40.3,41.5,40.27,41.48,0.22,41.31,3600.0,53659.0
2020-07-15,41.59,42.06,41.2,41.79,0.72,42.03,8334.0,54692.0
2020-07-16,41.72,41.95,41.44,41.55,-0.38,41.65,8053.0,56590.0
2020-07-17,41.65,41.72,41.09,41.53,-0.07,41.58,4620.0,56691.0
2020-07-20,41.34,41.74,40.94,41.56,0.12,41.7,2802.0,57097.0
2020-07-21,41.61,43.03,41.55,42.27,0.74,42.44,8282.0,57432.0
2020-07-22,42.36,42.58,41.88,42.48,0.07,42.51,5074.0,57101.0
2020-07-23,42.34,42.93,41.61,41.73,-0.72,41.79,6314.0,57241.0
2020-07-24,41.78,42.28,41.48,42.04,0.39,42.18,7346.0,57193.0
2020-07-27,42.23,42.66,41.53,42.52,0.35,42.53,7083.0,57067.0
2020-07-28,42.58,42.68,41.97,42.19,-0.38,42.15,8743.0,56631.0
2020-07-29,42.1,42.61,42.09,42.47,0.3,42.45,9249.0,57380.0
2020-07-30,42.39,42.4,40.19,41.87,-1.01,41.44,9004.0,58020.0
2020-07-31,41.75,41.92,41.18,41.84,0.31,41.75,6971.0,59771.0
2020-08-03,41.67,42.67,41.19,42.23,0.81,42.56,11541.0,59667.0
2020-08-04,42.22,43.25,41.71,42.73,0.42,42.98,9354.0,58290.0
2020-08-05,42.71,44.47,42.69,43.55,0.58,43.56,15659.0,59036.0
2020-08-06,43.71,43.95,43.13,43.44,-0.1,43.46,10991.0,61063.0
2020-08-07,43.42,43.51,42.67,43.03,-0.7,42.76,7457.0,61567.0
2020-08-10,42.88,43.65,42.88,43.37,0.57,43.33,9496.0,62470.0
2020-08-11,43.52,44.14,42.92,43.06,-0.27,43.06,9122.0,63555.0
2020-08-12,43.11,44.19,43.0,43.93,0.95,44.01,11984.0,64700.0
2020-08-13,43.94,44.14,43.56,43.76,-0.31,43.7,14740.0,65477.0
2020-08-14,43.87,43.87,43.3,43.75,-0.12,43.58,12087.0,67918.0
2020-08-17,43.8,44.39,43.47,44.26,0.76,44.34,14786.0,69007.0
2020-08-18,44.23,44.41,43.74,43.98,-0.01,44.33,11436.0,69423.0
2020-08-19,44.1,44.34,43.82,44.12,-0.07,44.26,8753.0,70495.0
