Date,Open,High,Low,Last,Change,Settle,Volume,Previous Day Open Interest
2020-05-18,29.81,33.1,29.55,32.37,2.13,31.65,555932.0,308131.0
2020-05-19,32.39,32.91,31.13,31.86,0.31,31.96,422269.0,306243.0
2020-05-20,32.41,34.22,32.11,33.95,1.47,33.94,127115.0,240675.0
2020-05-21,33.93,35.05,33.78,34.35,0.4,34.34,124424.0,239349.0
2020-05-22,34.41,34.48,31.28,33.93,0.69,33.65,133388.0,240084.0
2020-05-26,33.77,35.16,32.9,34.57,1.12,34.77,136218.0,234055.0
2020-05-27,34.54,34.7,32.2,32.66,1.54,33.23,125257.0,228493.0
2020-05-28,32.48,34.57,31.63,34.0,0.83,34.06,138943.0,220772.0
2020-05-29,34.06,36.11,32.76,35.66,1.78,35.84,160326.0,229043.0
2020-06-01,35.62,36.23,34.65,35.9,0.05,35.79,139066.0,232268.0
2020-06-02,35.94,37.29,35.64,37.09,1.27,37.06,121657.0,236986.0
2020-06-03,37.09,38.4,36.24,37.03,0.53,37.59,158847.0,239411.0
2020-06-04,37.06,37.91,36.71,37.64,0.13,37.72,103049.0,241949.0
2020-06-05,37.64,39.89,37.35,39.21,2.08,39.8,138753.0,238866.0
2020-06-08,39.67,40.69,38.24,38.42,1.37,38.43,150006.0,238454.0
2020-06-09,38.51,39.31,37.33,38.61,0.73,39.16,139106.0,239387.0
2020-06-10,38.72,40.07,37.98,39.29,0.62,39.78,131755.0,245614.0
2020-06-11,39.25,39.25,35.68,36.42,3.21,36.57,228433.0,250273.0
2020-06-12,36.46,37.22,34.74,36.8,0.06,36.51,199956.0,256129.0
2020-06-15,36.26,37.54,34.66,37.38,0.92,37.43,257886.0,260956.0
2020-06-16,37.38,39.36,36.67,38.19,1.22,38.65,294832.0,274567.0
2020-06-17,38.21,39.01,37.48,37.98,0.44,38.21,287379.0,287693.0
2020-06-18,38.0,39.17,37.4,39.01,0.84,39.05,339754.0,305670.0
2020-06-19,39.03,40.6,38.51,39.5,0.78,39.83,493271.0,307691.0
2020-06-22,39.02,40.77,39.0,40.58,0.9,40.73,313926.0,304134.0
2020-06-23,40.68,41.63,39.76,40.02,0.36,40.37,367475.0,313893.0
2020-06-24,39.99,40.54,37.31,38.07,2.36,38.01,496732.0,312290.0
2020-06-25,38.05,39.23,37.08,39.04,0.71,38.72,447653.0,303081.0
2020-06-26,39.09,39.35,37.79,38.16,0.23,38.49,351351.0,301682.0
2020-06-29,37.96,39.89,37.5,39.63,1.21,39.7,340992.0,296643.0
2020-06-30,39.64,40.08,38.85,39.82,0.43,39.27,365360.0,287515.0
2020-07-01,39.84,40.58,39.05,39.72,0.55,39.82,400866.0,271877.0
2020-07-02,39.78,40.74,39.46,40.29,0.83,40.65,341574.0,262852.0
2020-07-06,40.31,41.08,39.84,40.59,0.02,40.63,286658.0,256332.0
2020-07-07,40.68,40.95,39.9,40.49,0.01,40.62,251836.0,245607.0
2020-07-08,40.48,41.08,40.3,40.88,0.28,40.9,282314.0,237472.0
2020-07-09,40.87,40.99,39.27,39.59,1.28,39.62,363375.0,216161.0
2020-07-10,39.58,40.77,38.54,40.59,0.93,40.55,386489.0,194651.0
2020-07-13,40.35,40.72,39.47,39.6,0.45,40.1,365903.0,169194.0
2020-07-14,39.6,40.57,39.07,40.44,0.19,40.29,417256.0,143723.0
2020-07-15,40.55,41.26,40.08,40.99,0.91,41.2,341787.0,128484.0
2020-07-16,40.97,41.18,40.52,40.73,-0.45,40.75,194818.0,108320.0
2020-07-17,40.72,40.9,40.02,40.57,-0.16,40.59,83232.0,68915.0
2020-07-20,40.64,40.91,39.83,40.69,0.22,40.81,56032.0,48675.0
2020-07-21,40.65,42.4,40.64,41.76,1.15,41.96,17724.0,17609.0
