Date,Open,High,Low,Last,Change,Settle,Volume,Previous Day Open Interest
2020-05-18,30.92,33.9,30.69,33.52,2.18,32.87,114562.0,304304.0
2020-05-19,33.56,33.9,32.4,32.9,0.14,33.01,81680.0,313882.0
2020-05-20,33.13,34.9,33.08,34.62,1.27,34.65,27604.0,114657.0
2020-05-21,34.63,35.62,34.52,35.12,0.47,35.12,37957.0,114722.0
2020-05-22,35.0,35.26,32.33,34.61,0.63,34.49,18556.0,110793.0
2020-05-26,34.2,35.89,33.95,35.47,1.07,35.56,41633.0,110765.0
2020-05-27,35.33,35.4,33.19,33.51,1.52,34.04,38043.0,115763.0
2020-05-28,33.65,35.29,32.66,34.56,0.77,34.81,30219.0,116576.0
2020-05-29,34.73,36.67,33.65,36.31,1.62,36.43,27182.0,115210.0
2020-06-01,36.0,36.7,35.34,36.51,0.03,36.4,26262.0,116641.0
2020-06-02,36.52,37.69,36.24,37.59,1.13,37.53,30795.0,115725.0
2020-06-03,37.54,38.69,36.85,37.46,0.52,38.05,36661.0,112268.0
2020-06-04,37.35,38.35,37.26,38.18,0.16,38.21,22729.0,110874.0
2020-06-05,38.25,40.26,37.91,39.63,1.94,40.15,42453.0,110390.0
2020-06-08,40.1,40.97,38.71,38.74,1.35,38.8,39557.0,115568.0
2020-06-09,38.82,39.68,37.84,38.95,0.73,39.53,33553.0,120281.0
2020-06-10,39.0,40.4,38.42,39.64,0.56,40.09,25274.0,122259.0
2020-06-11,39.31,39.35,36.21,36.87,3.09,37.0,47778.0,123133.0
2020-06-12,36.98,37.64,35.25,37.23,,37.0,29585.0,123843.0
2020-06-15,36.5,38.04,35.28,37.92,0.96,37.96,28449.0,123321.0
2020-06-16,37.88,39.79,37.24,38.61,1.13,39.09,27451.0,124775.0
2020-06-17,38.53,39.37,37.94,38.42,0.51,38.58,28006.0,123951.0
2020-06-18,38.4,39.48,37.86,39.28,0.8,39.38,34210.0,126607.0
2020-06-19,39.28,40.71,38.78,39.68,0.64,40.02,48724.0,129138.0
2020-06-22,39.32,41.0,39.26,40.8,0.93,40.95,37851.0,134964.0
2020-06-23,40.9,41.84,40.02,40.27,0.32,40.63,32828.0,137696.0
2020-06-24,40.28,40.8,37.71,38.45,2.24,38.39,52671.0,135454.0
2020-06-25,38.44,39.52,37.56,39.35,0.69,39.08,56005.0,130628.0
2020-06-26,39.36,39.64,38.15,38.52,0.28,38.8,38923.0,129694.0
2020-06-29,38.3,40.11,37.89,39.84,1.12,39.92,49581.0,133178.0
2020-06-30,39.86,40.23,39.1,39.97,0.44,39.48,130465.0,131321.0
2020-07-01,40.01,40.71,39.21,39.98,0.61,40.09,83895.0,149090.0
2020-07-02,40.05,40.99,39.74,40.53,0.82,40.91,67437.0,156113.0
2020-07-06,40.57,41.34,40.1,40.83,0.03,40.88,72694.0,160063.0
2020-07-07,40.86,41.16,40.17,40.72,0.04,40.84,41245.0,162619.0
2020-07-08,40.71,41.28,40.54,41.14,0.34,41.18,48306.0,165917.0
2020-07-09,41.16,41.25,39.64,39.98,1.16,40.02,65690.0,171326.0
2020-07-10,40.02,41.07,39.0,40.98,0.92,40.94,68196.0,174246.0
2020-07-13,40.77,41.06,39.9,40.01,0.45,40.49,76101.0,177952.0
2020-07-14,40.09,40.97,39.51,40.89,0.24,40.73,65211.0,181641.0
2020-07-15,40.97,41.61,40.51,41.36,0.84,41.57,71625.0,186093.0
2020-07-16,41.22,41.52,40.86,41.06,-0.47,41.1,49448.0,189816.0
2020-07-17,41.07,41.21,40.38,40.94,-0.16,40.94,56715.0,194681.0
2020-07-20,40.94,41.18,40.17,40.99,0.15,41.09,51708.0,196570.0
2020-07-21,40.95,42.64,40.93,41.7,0.97,42.06,94990.0,194453.0
2020-07-22,41.68,42.16,41.31,42.04,-0.02,42.04,91113.0,192103.0
2020-07-23,42.1,42.51,40.99,41.2,-0.83,41.21,102728.0,196881.0
2020-07-24,41.23,41.81,40.83,41.46,0.24,41.45,80503.0,196472.0
2020-07-27,41.45,41.99,40.69,41.85,0.35,41.8,118205.0,199708.0
2020-07-28,41.88,42.12,41.08,41.33,-0.52,41.28,72289.0,204441.0
2020-07-29,41.29,41.81,41.19,41.56,0.26,41.54,108859.0,203580.0
2020-07-30,41.59,41.64,39.0,40.64,-1.3,40.24,159153.0,204830.0
2020-07-31,40.65,40.86,39.96,40.69,0.33,40.57,96271.0,210896.0
2020-08-03,40.7,41.49,39.89,41.05,0.74,41.31,118161.0,220705.0
2020-08-04,41.08,42.28,40.43,41.7,0.6,41.91,187822.0,223613.0
2020-08-05,41.8,43.68,41.66,42.44,0.52,42.43,203576.0,231747.0
2020-08-06,42.42,42.87,41.89,42.2,-0.23,42.2,112811.0,227330.0
2020-08-07,42.19,42.44,41.33,41.82,-0.71,41.49,138526.0,229555.0
2020-08-10,41.63,42.54,41.43,42.19,0.68,42.17,139146.0,237605.0
2020-08-11,42.21,43.14,41.75,41.88,-0.3,41.87,159332.0,257714.0
2020-08-12,41.92,43.17,41.8,42.84,1.08,42.95,194911.0,272760.0
2020-08-13,42.88,43.1,42.37,42.62,-0.43,42.52,175328.0,291502.0
2020-08-14,42.62,42.84,41.93,42.51,-0.21,42.31,176715.0,323175.0
2020-08-17,42.45,43.25,42.09,43.09,0.86,43.17,187915.0,338286.0
2020-08-18,43.05,43.29,42.4,42.76,-0.05,43.12,282679.0,356497.0
2020-08-19,42.81,43.21,42.55,42.96,-0.01,43.11,300595.0,359803.0
2020-08-20,42.95,42.98,41.63,42.76,-0.29,42.82,372964.0,373131.0
2020-08-21,42.75,42.96,41.46,42.25,-0.48,42.34,342642.0,381581.0
2020-08-24,42.48,42.89,42.23,42.39,0.28,42.62,290235.0,376131.0
2020-08-25,42.36,43.57,42.31,43.4,0.73,43.35,326779.0,370481.0
2020-08-26,43.39,43.78,43.0,43.41,0.04,43.39,259101.0,378145.0
2020-08-27,43.45,43.5,42.36,43.02,-0.35,43.04,316564.0,379823.0
2020-08-28,42.98,43.42,42.69,42.93,-0.07,42.97,268351.0,372309.0
2020-08-31,42.91,43.57,42.56,42.82,-0.36,42.61,231997.0,362305.0
2020-09-01,42.83,43.43,42.72,43.0,0.15,42.76,280164.0,354093.0
2020-09-02,43.02,43.21,41.23,41.58,-1.25,41.51,413221.0,337933.0
2020-09-03,41.63,41.79,40.22,41.28,-0.14,41.37,407749.0,333973.0
2020-09-04,41.25,41.87,39.35,39.51,-1.6,39.77,436471.0,326799.0
2020-09-08,39.48,39.59,36.13,36.84,-3.01,36.76,711610.0,308567.0
2020-09-09,36.79,38.45,36.16,37.78,1.29,38.05,451571.0,269778.0
2020-09-10,37.8,38.18,36.93,37.0,-0.75,37.3,361035.0,247194.0
2020-09-11,37.01,37.82,36.67,37.39,0.03,37.33,358077.0,226703.0
2020-09-14,37.32,37.68,36.82,37.26,-0.07,37.26,340039.0,204256.0
2020-09-15,37.28,38.57,37.06,38.39,1.02,38.28,338553.0,174182.0
2020-09-16,38.35,40.34,38.35,40.17,1.88,40.16,358564.0,135057.0
2020-09-17,40.19,41.22,39.42,40.97,0.81,40.97,272198.0,99916.0
2020-09-18,40.97,41.49,40.3,40.97,0.14,41.11,83204.0,65762.0
2020-09-21,40.98,41.27,38.66,39.59,-1.8,39.31,61703.0,53422.0
2020-09-22,39.63,40.02,39.0,39.55,0.29,39.6,15651.0,18578.0
