Date,Open,High,Low,Last,Change,Settle,Volume,Previous Day Open Interest
2020-05-18,31.8,34.44,31.75,34.28,2.1,33.66,25808.0,124241.0
2020-05-19,34.15,34.51,33.29,33.6,0.11,33.77,14872.0,121863.0
2020-05-20,34.13,35.55,33.82,35.16,1.06,35.23,71531.0,326134.0
2020-05-21,35.18,36.08,35.06,35.67,0.47,35.7,81401.0,322520.0
2020-05-22,35.69,35.85,33.12,35.44,0.52,35.18,66962.0,323356.0
2020-05-26,35.2,36.52,34.53,36.0,1.03,36.21,68647.0,323911.0
2020-05-27,36.05,36.08,33.95,34.32,1.4,34.81,66953.0,323102.0
2020-05-28,34.25,35.91,33.53,35.4,0.68,35.49,70021.0,323048.0
2020-05-29,35.44,37.13,34.45,36.75,1.43,36.92,81763.0,323041.0
2020-06-01,36.46,37.21,35.87,36.99,0.02,36.9,86655.0,326676.0
2020-06-02,37.0,38.11,36.72,37.9,1.01,37.91,78448.0,321630.0
2020-06-03,37.91,38.98,37.37,37.95,0.53,38.44,86157.0,319420.0
2020-06-04,37.96,38.81,37.74,38.65,0.24,38.68,54946.0,319081.0
2020-06-05,38.61,40.64,38.38,39.77,1.74,40.42,105844.0,318989.0
2020-06-08,40.28,41.19,38.96,39.03,1.32,39.1,71508.0,321569.0
2020-06-09,39.07,39.96,38.23,39.28,0.72,39.82,66823.0,323044.0
2020-06-10,39.39,40.64,38.76,39.87,0.51,40.33,65241.0,322987.0
2020-06-11,39.83,39.85,36.67,37.24,2.93,37.4,114702.0,322247.0
2020-06-12,37.29,38.05,35.72,37.65,0.02,37.42,68920.0,322512.0
2020-06-15,37.29,38.5,35.81,38.39,1.01,38.43,72820.0,322152.0
2020-06-16,38.4,40.19,37.71,39.04,1.08,39.51,78924.0,319823.0
2020-06-17,39.08,39.76,38.41,38.77,0.61,38.9,65859.0,318698.0
2020-06-18,38.78,39.73,38.24,39.53,0.73,39.63,66141.0,317192.0
2020-06-19,39.5,40.82,39.02,39.86,0.56,40.19,95115.0,316635.0
2020-06-22,39.59,41.15,39.35,40.96,0.93,41.12,49206.0,314882.0
2020-06-23,41.05,41.98,40.25,40.47,0.3,40.82,57003.0,312988.0
2020-06-24,40.47,40.99,38.08,38.83,2.09,38.73,81068.0,313139.0
2020-06-25,38.78,39.83,38.02,39.66,0.7,39.43,79816.0,314311.0
2020-06-26,39.68,39.91,38.49,38.84,0.36,39.07,62761.0,317963.0
2020-06-29,38.62,40.35,38.27,40.09,1.1,40.17,64254.0,314298.0
2020-06-30,40.02,40.43,39.37,40.15,0.49,39.68,65813.0,311377.0
2020-07-01,40.09,40.82,39.38,40.2,0.66,40.34,90433.0,307241.0
2020-07-02,40.24,41.18,39.99,40.74,0.77,41.11,75068.0,298077.0
2020-07-06,40.88,41.61,40.33,41.07,0.01,41.1,68195.0,288281.0
2020-07-07,41.1,41.41,40.46,40.96,0.04,41.06,59217.0,282313.0
2020-07-08,40.91,41.49,40.79,41.37,0.35,41.41,66471.0,272855.0
2020-07-09,41.36,41.46,40.02,40.36,1.02,40.39,68540.0,266582.0
2020-07-10,40.37,41.34,39.46,41.31,0.86,41.25,81904.0,260959.0
2020-07-13,41.1,41.31,40.23,40.3,0.47,40.78,69051.0,253296.0
2020-07-14,40.3,41.25,39.87,41.14,0.24,41.02,65623.0,249501.0
2020-07-15,41.25,41.83,40.81,41.6,0.78,41.8,73735.0,248753.0
2020-07-16,41.58,41.74,41.14,41.32,-0.43,41.37,44752.0,243964.0
2020-07-17,41.33,41.46,40.74,41.25,-0.1,41.27,40524.0,244188.0
2020-07-20,41.2,41.48,40.55,41.28,0.12,41.39,49201.0,244237.0
2020-07-21,41.26,42.85,41.22,41.91,0.87,42.26,91436.0,244143.0
2020-07-22,41.91,42.39,41.61,42.27,0.02,42.28,48150.0,243443.0
2020-07-23,42.3,42.73,41.28,41.47,-0.77,41.51,76846.0,242215.0
2020-07-24,41.47,42.05,41.15,41.83,0.31,41.82,69367.0,238391.0
2020-07-27,41.82,42.33,41.1,42.22,0.36,42.18,69251.0,240402.0
2020-07-28,42.29,42.48,41.52,41.79,-0.44,41.74,49054.0,242553.0
2020-07-29,41.83,42.24,41.65,42.05,0.3,42.04,60798.0,241079.0
2020-07-30,42.07,42.12,39.63,41.29,-1.12,40.92,94780.0,238129.0
2020-07-31,41.39,41.49,40.63,41.33,0.3,41.22,60654.0,238503.0
2020-08-03,41.27,42.13,40.6,41.69,0.77,41.99,69286.0,239003.0
2020-08-04,41.67,42.78,41.12,42.22,0.47,42.46,91830.0,237979.0
2020-08-05,42.22,44.11,42.15,43.05,0.58,43.04,150575.0,238697.0
2020-08-06,43.02,43.47,42.56,42.86,-0.15,42.89,88029.0,255352.0
2020-08-07,42.86,43.09,42.03,42.48,-0.7,42.19,68090.0,256446.0
2020-08-10,42.32,43.15,42.11,42.8,0.61,42.8,56379.0,255936.0
2020-08-11,42.81,43.7,42.38,42.51,-0.29,42.51,77157.0,259339.0
2020-08-12,42.52,43.72,42.44,43.41,1.01,43.52,101915.0,259778.0
2020-08-13,43.4,43.68,43.0,43.24,-0.37,43.15,67518.0,255997.0
2020-08-14,43.27,43.46,42.65,43.16,-0.15,43.0,64931.0,256646.0
2020-08-17,43.24,43.86,42.82,43.7,0.78,43.78,73493.0,260240.0
2020-08-18,43.66,43.91,43.11,43.42,-0.02,43.76,64631.0,264099.0
2020-08-19,43.43,43.79,43.2,43.54,-0.07,43.69,64296.0,261921.0
2020-08-20,43.52,43.54,42.28,43.33,-0.3,43.39,81103.0,263199.0
2020-08-21,43.34,43.5,42.06,42.85,-0.46,42.93,91575.0,266522.0
2020-08-24,43.04,43.42,42.83,43.06,0.34,43.27,72552.0,266000.0
2020-08-25,43.06,44.16,42.99,43.99,0.67,43.94,114092.0,263689.0
