Date,Open,High,Low,Last,Change,Settle,Volume,Previous Day Open Interest
2020-05-18,,,,,18.3,1769.3,37.0,11.0
2020-05-19,,,,,12.5,1781.8,4.0,33.0
2020-05-20,,,,,7.8,1789.6,66.0,37.0
2020-05-21,,,,,31.8,1757.8,17.0,72.0
2020-05-22,,,,,14.4,1772.2,5.0,88.0
2020-05-26,,,,,25.7,1746.5,24.0,372.0
2020-05-27,,,,,0.9,1747.4,9.0,477.0
2020-05-28,,,,,3.5,1750.9,0.0,473.0
2020-05-29,,,,,23.7,1774.6,32.0,473.0
2020-06-01,,,,,0.1,1774.5,4.0,486.0
2020-06-02,,,,,13.6,1760.9,25.0,486.0
2020-06-03,,,,,27.0,1733.9,178.0,484.0
2020-06-04,,,,,26.6,1760.5,18.0,780.0
2020-06-05,,,,,43.2,1717.3,78.0,780.0
2020-06-08,,,,,22.6,1739.9,0.0,791.0
2020-06-09,,,,,16.3,1756.2,1306.0,791.0
2020-06-10,,,,,1.5,1754.7,269.0,1751.0
2020-06-11,1783.5,1783.5,1783.5,1783.5,17.7,1772.4,152.0,1915.0
2020-06-12,,,,,3.3,1769.1,145.0,1878.0
2020-06-15,,,,,9.5,1759.6,0.0,1948.0
2020-06-16,,,,,9.8,1769.4,23.0,1948.0
2020-06-17,,,,,0.8,1768.6,0.0,1948.0
2020-06-18,,,,,5.6,1763.0,58.0,1948.0
2020-06-19,,,,,20.2,1783.2,387.0,1948.0
2020-06-22,,,,,12.6,1795.8,135.0,1843.0
2020-06-23,,,,,15.0,1810.8,24.0,1713.0
2020-06-24,,,,,4.7,1806.1,170.0,1723.0
2020-06-25,,,,,4.1,1802.0,20.0,1874.0
2020-06-26,,,,,10.0,1812.0,70.0,1893.0
2020-06-29,1816.5,1816.5,1811.2,1811.2,1.8,1812.6,92.0,2466.0
2020-06-30,1816.9,1835.0,1813.9,1833.0,20.6,1833.2,36.0,2489.0
2020-07-01,1830.0,1838.0,1830.0,1835.0,18.4,1814.8,448.0,2492.0
2020-07-02,,,,,10.2,1825.0,174.0,2643.0
2020-07-06,,,,,5.8,1830.8,728.0,2697.0
2020-07-07,1833.9,1853.6,1833.9,1853.5,21.0,1851.8,302.0,2883.0
2020-07-08,1851.8,1867.6,1851.8,1867.6,19.4,1871.2,254.0,2848.0
2020-07-09,1871.9,1871.9,1871.9,1871.9,17.2,1854.0,119.0,2886.0
2020-07-10,1853.7,1853.7,1851.3,1852.0,2.0,1852.0,124.0,2965.0
2020-07-13,1857.3,1858.3,1857.3,1857.7,12.8,1864.8,96.0,2946.0
2020-07-14,1850.0,1863.9,1850.0,1859.7,2.1,1862.7,57.0,2983.0
2020-07-15,1862.3,1863.1,1854.3,1863.1,0.1,1862.8,72.0,2988.0
2020-07-16,1856.0,1856.0,1856.0,1856.0,-15.4,1847.4,24.0,3016.0
2020-07-17,,,,,6.9,1854.3,8.0,2996.0
2020-07-20,1862.0,1862.4,1862.0,1862.4,6.5,1860.8,31.0,2997.0
2020-07-21,1867.6,1891.3,1867.0,1888.5,31.1,1891.9,138.0,2995.0
2020-07-22,1909.5,1924.4,1906.4,1924.4,27.1,1919.0,134.0,3067.0
2020-07-23,1923.3,1945.0,1923.3,1939.0,28.2,1947.2,560.0,3096.0
2020-07-24,1941.8,1961.0,1941.0,1959.1,10.3,1957.5,205.0,3235.0
2020-07-27,1964.8,1999.9,1964.8,1995.3,30.8,1988.3,183.0,3355.0
2020-07-28,2008.1,2028.1,1967.2,2006.0,8.3,1996.6,163.0,3407.0
2020-07-29,2001.0,2025.0,2001.0,2017.1,11.1,2007.7,162.0,3425.0
2020-07-30,2008.4,2010.4,1980.3,1999.0,-10.1,1992.1,640.0,7287.0
2020-07-31,2000.9,2024.0,2000.9,2017.7,19.6,2011.7,702.0,7475.0
2020-08-03,2027.1,2027.1,2004.4,2019.1,0.5,2012.2,892.0,7347.0
2020-08-04,2019.3,2060.3,2010.1,2060.3,34.8,2047.0,499.0,7270.0
2020-08-05,2064.4,2096.1,2056.3,2080.2,28.8,2075.8,1090.0,7476.0
2020-08-06,2083.0,2108.3,2079.9,2102.2,21.2,2097.0,1308.0,7572.0
2020-08-07,2111.8,2112.7,2055.1,2073.5,-41.5,2055.5,1188.0,7458.0
2020-08-10,2069.1,2083.0,2058.2,2064.6,11.2,2066.7,505.0,7661.0
2020-08-11,2053.6,2053.6,1940.4,1942.6,-96.0,1970.7,735.0,7859.0
2020-08-12,1947.0,1980.7,1899.8,1954.4,0.4,1971.1,403.0,7976.0
2020-08-13,1969.8,1989.4,1966.6,1985.8,21.8,1992.9,209.0,7964.0
2020-08-14,1990.7,1990.7,1968.0,1976.3,-21.3,1971.6,200.0,7946.0
2020-08-17,1977.2,2017.1,1977.2,2010.3,45.7,2017.3,1516.0,7964.0
2020-08-18,2015.5,2041.2,2008.9,2033.0,14.7,2032.0,251.0,7920.0
2020-08-19,2012.1,2020.4,1955.0,1955.0,-43.5,1988.5,461.0,7892.0
2020-08-20,1954.4,1980.5,1949.1,1980.5,-23.1,1965.4,227.0,7900.0
2020-08-21,1969.5,1969.6,1938.8,1966.5,0.1,1965.5,197.0,7973.0
2020-08-24,1958.3,1976.3,1956.0,1967.7,-7.2,1958.3,483.0,8126.0
2020-08-25,1961.7,1961.7,1940.1,1952.5,-17.0,1941.3,179.0,8146.0
2020-08-26,1953.2,1980.7,1930.6,1980.7,29.2,1970.5,195.0,8224.0
2020-08-27,1977.2,1999.6,1934.6,1956.5,-21.2,1949.3,907.0,8084.0
2020-08-28,1949.0,1992.4,1942.8,1983.7,40.9,1986.1,1886.0,18514.0
2020-08-31,1993.6,1994.9,1975.0,1987.2,5.3,1991.4,1269.0,18724.0
2020-09-01,2001.0,2011.6,1983.6,1990.2,0.2,1991.6,740.0,18824.0
2020-09-02,1991.8,1991.8,1951.6,1962.0,-33.9,1957.7,1611.0,18895.0
2020-09-03,1963.4,1966.8,1940.0,1950.0,-7.7,1950.0,1028.0,19504.0
2020-09-04,1951.3,1966.4,1933.9,1951.6,-3.2,1946.8,561.0,19811.0
2020-09-08,1954.0,1960.1,1924.9,1951.2,9.0,1955.8,1410.0,19997.0
2020-09-09,1950.2,1970.0,1938.6,1967.7,11.1,1966.9,774.0,20222.0
2020-09-10,1967.4,1986.1,1962.9,1966.8,9.8,1976.7,741.0,20060.0
2020-09-11,1967.3,1974.0,1957.2,1961.3,-16.1,1960.6,692.0,19721.0
