Date,Open,High,Low,Last,Change,Settle,Volume,Previous Day Open Interest
2020-05-18,1806.0,1806.0,1774.0,1774.7,17.8,1771.2,15.0,2073.0
2020-05-19,1771.0,1784.1,1771.0,1784.1,12.5,1783.7,70.0,2069.0
2020-05-20,1791.8,1794.3,1783.0,1788.0,7.0,1790.7,180.0,2093.0
2020-05-21,1779.0,1779.0,1755.1,1757.2,31.6,1759.1,345.0,2141.0
2020-05-22,1765.6,1776.2,1765.6,1770.5,14.4,1773.5,1363.0,2288.0
2020-05-26,1763.7,1765.1,1745.5,1745.5,26.1,1747.4,1018.0,2845.0
2020-05-27,1732.6,1749.1,1727.4,1749.1,1.0,1748.4,105.0,3237.0
2020-05-28,1759.0,1762.3,1751.8,1751.8,3.5,1751.9,38.0,3249.0
2020-05-29,1763.4,1775.1,1762.1,1765.8,23.5,1775.4,102.0,3288.0
2020-06-01,1777.2,1784.8,1764.2,1770.0,0.3,1775.7,207.0,3314.0
2020-06-02,1771.5,1781.9,1757.5,1763.0,13.8,1761.9,46.0,3339.0
2020-06-03,1753.6,1760.0,1720.0,1720.0,27.1,1734.8,200.0,3372.0
2020-06-04,,1746.1,,1746.1,26.8,1761.6,14.0,3420.0
2020-06-05,1720.3,1722.0,1712.3,1722.0,43.0,1718.6,687.0,3560.0
2020-06-08,1731.5,1741.0,1731.5,1741.0,22.5,1741.1,52.0,3931.0
2020-06-09,1737.6,1760.7,1737.6,1754.8,16.4,1757.5,612.0,3954.0
2020-06-10,1758.4,1779.8,1755.5,1779.8,1.5,1756.0,240.0,3703.0
2020-06-11,1776.9,1786.3,1767.0,1767.0,17.6,1773.6,303.0,3905.0
2020-06-12,1780.0,1782.9,1772.2,1772.2,3.2,1770.4,146.0,4112.0
2020-06-15,1759.0,1759.0,1759.0,1759.0,9.5,1760.9,2.0,4220.0
2020-06-16,,,,,9.8,1770.7,25.0,4219.0
2020-06-17,,,,,0.8,1769.9,0.0,4226.0
2020-06-18,1764.0,1764.0,1764.0,1764.0,5.7,1764.2,52.0,4226.0
2020-06-19,1766.0,1790.5,1766.0,1787.2,20.2,1784.4,331.0,4218.0
2020-06-22,1793.5,1798.0,1792.8,1798.0,12.4,1796.8,160.0,4378.0
2020-06-23,1805.5,1813.6,1805.5,1811.0,14.9,1811.7,43.0,4511.0
2020-06-24,1820.0,1821.9,1806.3,1808.8,4.5,1807.2,88.0,4513.0
2020-06-25,,,,,4.2,1803.0,1.0,4520.0
2020-06-26,1794.5,1794.5,1794.5,1794.5,10.0,1813.0,93.0,4521.0
2020-06-29,,,,,1.7,1813.7,75.0,1823.0
2020-06-30,,,,,20.6,1834.3,0.0,1773.0
2020-07-01,,,,,18.5,1815.8,252.0,1773.0
2020-07-02,,,,,10.2,1826.0,54.0,1783.0
2020-07-06,1827.6,1827.6,1827.6,1827.6,6.1,1832.1,151.0,1883.0
2020-07-07,,,,,21.2,1853.3,60.0,2027.0
2020-07-08,,,,,20.1,1873.4,78.0,2087.0
2020-07-09,,,,,17.2,1856.2,4.0,2115.0
2020-07-10,1863.6,1863.6,1862.0,1862.0,2.0,1854.2,52.0,2115.0
2020-07-13,,,,,12.9,1867.1,2.0,2164.0
2020-07-14,,,,,2.1,1865.0,2.0,2164.0
2020-07-15,,,,,0.3,1865.3,0.0,2164.0
2020-07-16,1856.7,1856.7,1856.7,1856.7,-15.3,1850.0,1.0,2164.0
2020-07-17,,,,,6.9,1856.9,0.0,2164.0
2020-07-20,1855.3,1855.3,1855.3,1855.3,6.6,1863.5,12.0,2164.0
2020-07-21,1890.6,1892.6,1890.6,1892.6,31.0,1894.5,54.0,2164.0
2020-07-22,1911.7,1927.7,1911.7,1927.7,27.6,1922.1,63.0,2164.0
2020-07-23,1927.5,1940.1,1927.5,1940.1,28.4,1950.5,105.0,2164.0
2020-07-24,1945.5,1964.6,1945.5,1964.6,10.5,1961.0,96.0,2165.0
2020-07-27,1968.9,2003.9,1968.9,2000.4,31.1,1992.1,125.0,2164.0
2020-07-28,2021.0,2029.0,2021.0,2029.0,8.3,2000.4,33.0,2180.0
2020-07-29,,,,,11.2,2011.6,30.0,2178.0
2020-07-30,2016.0,2016.0,1988.9,2002.6,-10.0,1997.7,28.0,3419.0
2020-07-31,2005.2,2035.0,2005.2,2023.0,19.4,2017.1,265.0,3428.0
2020-08-03,2026.9,2040.0,2015.4,2024.4,0.6,2017.7,424.0,3464.0
2020-08-04,2024.6,2068.4,2018.7,2068.4,34.9,2052.6,371.0,3447.0
2020-08-05,2070.0,2100.0,2063.0,2085.0,29.1,2081.7,363.0,3482.0
2020-08-06,2086.7,2115.0,2085.9,2104.6,21.5,2103.2,402.0,3496.0
2020-08-07,2120.0,2120.0,2060.0,2077.1,-41.8,2061.4,370.0,3449.0
2020-08-10,2068.7,2080.0,2065.0,2070.4,11.0,2072.4,88.0,3561.0
2020-08-11,2056.5,2062.2,1953.5,1955.9,-96.3,1976.1,338.0,3598.0
2020-08-12,1955.6,1986.9,1913.0,1953.7,0.4,1976.5,109.0,3651.0
2020-08-13,1973.9,1993.9,1971.6,1991.6,21.8,1998.3,30.0,3664.0
2020-08-14,1996.3,1996.9,1971.0,1979.0,-21.5,1976.8,130.0,3666.0
2020-08-17,1981.7,2012.3,1971.6,2010.4,44.8,2021.6,109.0,3706.0
2020-08-18,2024.4,2041.1,2023.2,2034.0,14.6,2036.2,79.0,3725.0
2020-08-19,2036.0,2036.0,1952.4,1952.4,-43.7,1992.5,332.0,3779.0
2020-08-20,1955.6,1976.2,1955.5,1976.2,-23.0,1969.5,90.0,3840.0
2020-08-21,1982.3,1982.3,1959.9,1967.0,0.1,1969.6,122.0,3904.0
