Date,Open,High,Low,Last,Change,Settle,Volume,Previous Day Open Interest
2020-05-18,,,,,17.8,1780.1,0.0,43.0
2020-05-19,,,,,12.5,1792.6,0.0,43.0
2020-05-20,,,,,7.0,1799.6,0.0,43.0
2020-05-21,,,,,31.6,1768.0,0.0,43.0
2020-05-22,,,,,14.4,1782.4,0.0,43.0
2020-05-26,,,,,26.1,1756.3,0.0,43.0
2020-05-27,,,,,1.0,1757.3,0.0,43.0
2020-05-28,,,,,3.5,1760.8,0.0,43.0
2020-05-29,,,,,23.5,1784.3,0.0,43.0
2020-06-01,,,,,0.3,1784.6,0.0,43.0
2020-06-02,,,,,13.8,1770.8,0.0,43.0
2020-06-03,,,,,27.1,1743.7,0.0,43.0
2020-06-04,,,,,26.8,1770.5,0.0,43.0
2020-06-05,,,,,43.0,1727.5,0.0,43.0
2020-06-08,,,,,22.5,1750.0,0.0,43.0
2020-06-09,,,,,16.4,1766.4,0.0,43.0
2020-06-10,,,,,1.5,1764.9,0.0,43.0
2020-06-11,,,,,17.6,1782.5,0.0,43.0
2020-06-12,,,,,3.2,1779.3,0.0,43.0
2020-06-15,,,,,9.5,1769.8,0.0,43.0
2020-06-16,,,,,9.8,1779.6,0.0,43.0
2020-06-17,,,,,0.8,1778.8,0.0,43.0
2020-06-18,,,,,5.7,1773.1,0.0,43.0
2020-06-19,,,,,20.2,1793.3,0.0,43.0
2020-06-22,,,,,12.4,1805.7,0.0,43.0
2020-06-23,,,,,14.9,1820.6,0.0,64.0
2020-06-24,,,,,4.5,1816.1,0.0,64.0
2020-06-25,,,,,4.2,1811.9,0.0,64.0
2020-06-26,,,,,10.0,1821.9,0.0,64.0
2020-06-29,,,,,1.6,1816.0,0.0,1.0
2020-06-30,,,,,20.5,1836.5,0.0,1.0
2020-07-01,,,,,18.5,1818.0,0.0,1.0
2020-07-02,,,,,10.3,1828.3,0.0,1.0
2020-07-06,,,,,6.4,1834.7,0.0,1.0
2020-07-07,,,,,21.5,1856.2,0.0,1.0
2020-07-08,,,,,20.6,1876.8,0.0,1.0
2020-07-09,,,,,16.7,1860.1,0.0,1.0
2020-07-10,,,,,2.0,1858.1,0.0,1.0
2020-07-13,,,,,13.3,1871.4,0.0,1.0
2020-07-14,,,,,1.9,1869.5,0.0,1.0
2020-07-15,,,1863.7,1866.3,-0.1,1869.4,0.0,1.0
2020-07-16,,,1866.5,1866.5,-15.3,1854.1,0.0,1.0
2020-07-17,,1854.6,,1854.6,6.9,1861.0,0.0,1.0
2020-07-20,,,,,6.6,1867.6,0.0,1.0
2020-07-21,,,,,31.3,1898.9,0.0,1.0
2020-07-22,,1928.0,,1928.0,27.7,1926.6,0.0,1.0
2020-07-23,,1937.9,,1937.9,28.6,1955.2,0.0,1.0
2020-07-24,,,,,10.5,1965.7,0.0,1.0
2020-07-27,,,,,31.7,1997.4,0.0,1.0
2020-07-28,,,,,8.3,2005.7,0.0,1.0
2020-07-29,,,,,11.3,2017.0,1.0,1.0
2020-07-30,2021.3,2023.4,1992.3,2011.9,-10.3,2005.1,382.0,6216.0
2020-07-31,2021.4,2034.8,2017.9,2033.0,20.2,2025.3,626.0,6277.0
2020-08-03,2041.7,2041.7,2016.6,2033.0,1.0,2026.3,437.0,6336.0
2020-08-04,2032.5,2070.0,2028.0,2070.0,35.0,2061.3,189.0,6343.0
2020-08-05,2079.3,2105.7,2074.2,2096.1,30.4,2091.7,326.0,6376.0
2020-08-06,2094.2,2123.5,2094.2,2120.0,21.9,2113.6,464.0,6389.0
2020-08-07,2129.6,2129.6,2071.0,2089.2,-42.2,2071.4,454.0,6257.0
2020-08-10,2085.0,2098.7,2073.1,2076.6,11.2,2082.6,93.0,6279.0
2020-08-11,2071.7,2071.7,1955.2,1956.3,-96.7,1985.9,547.0,6293.0
2020-08-12,1962.1,1994.2,1915.0,1970.0,0.4,1986.3,131.0,6175.0
2020-08-13,1983.0,2001.2,1983.0,1998.0,21.8,2008.1,31.0,6186.0
2020-08-14,1996.9,2006.1,1986.7,1991.0,-21.9,1986.2,27.0,6202.0
2020-08-17,1990.6,2028.9,1976.0,2021.8,44.8,2031.0,202.0,6203.0
2020-08-18,2027.0,2048.5,2027.0,2046.8,14.0,2045.0,66.0,6208.0
2020-08-19,2036.1,2039.9,1973.5,1974.1,-44.1,2000.9,408.0,6235.0
2020-08-20,1967.6,1993.1,1964.2,1993.1,-23.4,1977.5,192.0,6221.0
2020-08-21,1989.5,1992.8,1952.3,1978.0,0.4,1977.9,71.0,6244.0
2020-08-24,1983.2,1989.6,1967.7,1967.7,-7.3,1970.6,65.0,6259.0
2020-08-25,1971.8,1974.0,1953.4,1965.3,-17.2,1953.4,55.0,6271.0
2020-08-26,1951.0,1993.0,1938.2,1993.0,29.2,1982.6,31.0,6300.0
2020-08-27,1981.0,1981.0,1943.5,1963.9,-21.7,1960.9,170.0,6307.0
2020-08-28,1965.7,2000.3,1964.0,1989.7,39.6,1996.6,149.0,2554.0
2020-08-31,2003.5,2004.5,1998.3,1998.3,6.1,2002.7,213.0,2597.0
2020-09-01,1997.4,2002.0,1997.4,2002.0,-0.2,2002.5,15.0,2453.0
2020-09-02,1986.9,1993.9,1963.0,1971.5,-34.4,1968.1,61.0,2459.0
2020-09-03,1975.8,1975.8,1949.7,1958.5,-8.9,1959.2,79.0,2485.0
2020-09-04,1961.6,1968.6,1949.0,1961.8,-3.2,1956.0,56.0,2502.0
2020-09-08,1960.6,1965.3,1950.3,1959.0,8.7,1964.7,81.0,2514.0
2020-09-09,1961.2,1977.0,1956.3,1977.0,11.2,1975.9,103.0,2523.0
2020-09-10,1986.3,1987.4,1986.3,1987.4,10.5,1986.4,48.0,2444.0
2020-09-11,1974.5,1974.5,1970.2,1972.9,-15.7,1970.7,20.0,2440.0
2020-09-14,1971.1,1990.1,1971.1,1990.1,16.5,1987.2,8.0,2444.0
2020-09-15,1990.6,2000.9,1985.5,1985.5,2.5,1989.7,22.0,2445.0
2020-09-16,1987.7,1997.3,1987.7,1989.9,4.2,1993.9,20.0,2452.0
2020-09-17,1975.9,1977.2,1975.0,1975.0,-21.5,1972.4,26.0,2459.0
2020-09-18,1983.5,1985.4,1982.6,1985.4,12.5,1984.9,24.0,2475.0
2020-09-21,1980.0,1983.4,1916.4,1939.7,-51.9,1933.0,61.0,2477.0
2020-09-22,1943.8,1945.8,1931.0,1933.4,-2.6,1930.4,30.0,2495.0
2020-09-23,1921.3,1921.3,1883.3,1887.5,-40.6,1889.8,316.0,2511.0
2020-09-24,1896.0,1897.0,1882.6,1897.0,7.7,1897.5,156.0,2417.0
2020-09-25,,,,,-10.1,1887.4,38.0,2467.0
2020-09-28,1889.0,1908.1,1875.1,1908.1,16.2,1903.6,224.0,2464.0
2020-09-29,1907.4,1923.4,1907.4,1921.8,21.1,1922.1,49.0,5151.0
2020-09-30,1915.3,1918.9,1905.2,1909.9,-7.5,1914.6,49.0,5164.0
2020-10-01,1927.6,1935.8,1921.2,1929.5,20.8,1935.4,175.0,5159.0
2020-10-02,1929.6,1934.0,1921.3,1922.4,-8.8,1926.6,124.0,5101.0
2020-10-05,1937.0,1937.0,1937.0,1943.1,12.4,1939.0,108.0,5146.0
2020-10-06,1937.2,1942.4,1900.5,1901.2,-10.7,1928.3,97.0,5104.0
