Date,Open,High,Low,Last,Change,Settle,Volume,Previous Day Open Interest
2020-05-18,63.925,65.725,63.925,65.325,2.0,65.525,166.0,2612.0
2020-05-19,64.925,66.0,64.375,64.425,0.775,64.75,209.0,2687.0
2020-05-20,64.35,66.45,64.275,66.45,1.35,66.1,473.0,2725.0
2020-05-21,66.65,67.225,64.9,65.3,0.625,65.475,282.0,2860.0
2020-05-22,65.6,65.6,64.1,64.175,1.375,64.1,187.0,2959.0
2020-05-26,64.1,65.15,63.425,64.9,0.575,64.675,258.0,2996.0
2020-05-27,65.25,66.125,64.95,65.875,1.025,65.7,246.0,3026.0
2020-05-28,65.3,65.575,63.575,63.9,1.525,64.175,288.0,3088.0
2020-05-29,63.775,65.1,63.225,64.825,0.725,64.9,458.0,3148.0
2020-06-01,62.8,63.4,61.25,63.375,2.025,62.875,738.0,3299.0
2020-06-02,63.425,64.675,62.825,64.025,1.275,64.15,530.0,3507.0
2020-06-03,64.0,65.175,63.6,65.15,1.0,65.15,914.0,3706.0
2020-06-04,65.2,66.325,64.425,66.125,0.925,66.075,667.0,3746.0
2020-06-05,66.2,67.8,66.075,67.5,1.625,67.7,522.0,4010.0
2020-06-08,67.125,68.075,66.85,67.525,0.05,67.65,450.0,4173.0
2020-06-09,67.25,68.7,67.25,68.525,0.875,68.525,734.0,4336.0
2020-06-10,68.125,68.125,65.6,65.7,2.4,66.125,686.0,4511.0
2020-06-11,65.65,66.025,65.1,65.575,0.325,65.8,663.0,4709.0
2020-06-12,65.875,67.0,65.875,66.675,0.875,66.675,718.0,4994.0
2020-06-15,66.5,67.0,65.7,67.0,0.3,66.975,579.0,5259.0
2020-06-16,66.9,66.9,65.05,65.275,1.175,65.8,747.0,5442.0
2020-06-17,65.0,65.525,64.525,65.25,0.4,65.4,838.0,5610.0
2020-06-18,64.9,65.9,64.7,65.625,0.225,65.625,427.0,5828.0
2020-06-19,65.875,66.05,65.1,65.5,0.15,65.475,1126.0,6000.0
2020-06-22,65.075,65.55,64.5,64.85,0.65,64.825,942.0,6240.0
2020-06-23,65.2,65.85,64.625,65.7,0.75,65.575,1335.0,6484.0
2020-06-24,65.225,65.75,64.975,65.65,0.05,65.625,2165.0,6775.0
2020-06-25,65.625,66.825,65.625,66.7,1.075,66.7,2785.0,7218.0
2020-06-26,65.4,65.4,64.075,65.025,1.7,65.0,2963.0,7990.0
2020-06-29,65.1,65.55,63.775,65.175,0.3,65.3,2309.0,8506.0
2020-06-30,64.95,66.7,64.95,66.325,1.225,66.525,1693.0,8810.0
2020-07-01,66.2,66.225,65.5,65.7,0.65,65.875,3588.0,9290.0
2020-07-02,66.025,66.825,65.375,66.55,0.675,66.55,1656.0,10517.0
2020-07-06,66.65,67.475,66.6,67.3,0.825,67.375,2366.0,11057.0
2020-07-07,66.925,67.275,66.575,67.125,0.35,67.025,2267.0,11949.0
2020-07-08,66.65,67.1,65.8,66.025,0.775,66.25,2324.0,12703.0
2020-07-09,66.5,66.65,65.8,66.275,0.075,66.175,2599.0,13082.0
2020-07-10,66.225,66.325,65.325,65.625,0.5,65.675,2071.0,13309.0
2020-07-13,65.95,66.425,65.4,66.1,0.35,66.025,2158.0,13752.0
2020-07-14,65.8,66.45,65.625,66.0,,66.025,1708.0,14274.0
2020-07-15,66.075,66.125,65.275,65.45,-0.65,65.375,1003.0,14697.0
2020-07-16,65.4,66.625,65.4,66.45,1.175,66.55,1635.0,14894.0
2020-07-17,66.35,66.55,65.875,66.45,-0.125,66.425,1168.0,15033.0
2020-07-20,66.55,66.75,65.85,65.925,-0.325,66.1,1919.0,15263.0
2020-07-21,66.1,66.75,65.75,66.75,0.525,66.625,1571.0,15680.0
2020-07-22,66.9,66.9,66.275,66.525,0.1,66.725,1780.0,16101.0
2020-07-23,66.525,67.075,66.4,66.85,0.125,66.85,2703.0,16466.0
2020-07-24,66.85,66.95,66.5,66.875,0.05,66.9,1866.0,16674.0
2020-07-27,66.9,67.0,65.85,66.325,-0.75,66.15,1583.0,17187.0
2020-07-28,66.0,66.925,65.95,66.825,0.6,66.75,1046.0,17331.0
2020-07-29,66.35,66.475,65.4,66.15,-0.675,66.075,1670.0,17501.0
2020-07-30,65.925,65.95,64.525,65.275,-0.775,65.3,1724.0,17902.0
2020-07-31,65.25,65.825,64.9,65.375,0.125,65.425,1553.0,18264.0
2020-08-03,64.925,65.45,64.25,65.0,-0.3,65.125,1968.0,18532.0
2020-08-04,64.975,64.975,64.1,64.6,-0.45,64.675,1678.0,18924.0
2020-08-05,64.325,65.725,64.275,65.5,1.0,65.675,1739.0,18910.0
2020-08-06,65.5,65.925,65.25,65.875,0.1,65.775,1207.0,19242.0
2020-08-07,65.875,66.5,65.625,65.625,0.15,65.925,2728.0,19422.0
2020-08-10,66.1,66.75,65.975,66.375,0.425,66.35,4031.0,19852.0
2020-08-11,66.25,66.325,65.15,65.4,-1.0,65.35,2462.0,19715.0
2020-08-12,65.275,65.975,65.15,65.375,0.2,65.55,2143.0,19672.0
2020-08-13,65.725,65.85,65.2,65.85,0.2,65.75,1800.0,19823.0
2020-08-14,65.625,66.7,65.6,66.35,0.85,66.6,1931.0,19906.0
2020-08-17,66.35,66.925,66.35,66.775,0.25,66.85,1643.0,20030.0
2020-08-18,66.625,66.8,66.075,66.375,-0.55,66.3,2288.0,20451.0
2020-08-19,66.4,66.8,66.0,66.5,0.225,66.525,1988.0,20673.0
2020-08-20,66.725,66.975,66.275,66.875,0.4,66.925,4434.0,20974.0
2020-08-21,66.8,66.875,66.2,66.375,-0.425,66.5,2270.0,21502.0
2020-08-24,66.575,67.0,66.25,66.25,-0.125,66.375,2053.0,21769.0
2020-08-25,66.725,67.15,66.475,67.125,0.725,67.1,2671.0,21547.0
2020-08-26,66.825,67.15,66.825,67.0,-0.1,67.0,2516.0,21441.0
2020-08-27,67.025,67.3,67.025,67.225,0.175,67.175,2026.0,21555.0
