Date,Open,High,Low,Last,Change,Settle,Volume,Previous Day Open Interest
2020-05-18,98.0,100.0,97.175,98.65,1.725,98.725,20547.0,46632.0
2020-05-19,98.6,99.25,97.425,99.175,0.05,98.775,9291.0,41956.0
2020-05-20,99.0,99.775,97.825,97.85,0.375,98.4,10995.0,39680.0
2020-05-21,98.775,99.2,97.975,98.65,0.4,98.8,6567.0,37912.0
2020-05-22,98.375,99.0,96.775,97.45,1.1,97.7,6802.0,36203.0
2020-05-26,98.375,99.825,97.85,99.775,1.7,99.4,5850.0,34171.0
2020-05-27,99.975,101.0,99.45,100.8,1.4,100.8,7072.0,32936.0
2020-05-28,100.8,101.6,100.4,101.6,0.675,101.475,6814.0,31376.0
2020-05-29,101.4,101.4,98.825,100.15,1.75,99.725,6175.0,29289.0
2020-06-01,99.2,99.475,97.1,98.45,1.425,98.3,6894.0,28382.0
2020-06-02,98.5,98.5,95.3,95.3,3.0,95.3,7663.0,26734.0
2020-06-03,95.025,95.75,94.0,95.55,0.15,95.45,6133.0,24255.0
2020-06-04,95.325,96.0,95.175,95.775,0.275,95.725,3718.0,22050.0
2020-06-05,95.75,95.95,93.35,94.325,1.825,93.9,7126.0,20686.0
2020-06-08,94.525,94.825,93.7,94.325,0.225,94.125,3280.0,14831.0
2020-06-09,93.75,96.8,93.75,96.55,2.2,96.325,2097.0,12940.0
2020-06-10,96.3,97.325,95.75,96.575,0.275,96.6,2831.0,12121.0
2020-06-11,96.4,97.375,95.375,96.85,0.225,96.825,2047.0,10967.0
2020-06-12,96.9,97.475,95.875,95.9,0.75,96.075,1535.0,9820.0
2020-06-15,95.375,96.5,93.925,96.425,,96.075,2149.0,8991.0
2020-06-16,96.55,97.375,95.775,96.3,0.25,96.325,1281.0,8230.0
2020-06-17,96.0,96.65,95.75,96.525,0.175,96.5,1423.0,7458.0
2020-06-18,96.5,96.625,95.75,95.975,0.425,96.075,1025.0,6433.0
2020-06-19,95.675,96.175,94.5,94.5,1.375,94.7,2070.0,5693.0
2020-06-22,94.025,94.55,93.8,94.4,0.3,94.4,763.0,4475.0
2020-06-23,94.325,95.225,93.4,93.575,0.875,93.525,2321.0,3874.0
2020-06-24,94.025,94.875,93.125,93.125,0.225,93.3,818.0,2591.0
2020-06-25,93.675,94.375,93.675,94.25,0.875,94.175,824.0,2120.0
2020-06-26,93.975,94.95,93.025,94.95,0.525,94.7,874.0,1813.0
2020-06-29,94.5,95.15,94.5,94.95,0.3,95.0,981.0,1187.0
2020-06-30,95.15,95.15,91.375,91.65,3.35,91.65,362.0,317.0
