Date,Open,High,Low,Last,Change,Settle,Volume,Previous Day Open Interest
2020-05-18,98.625,99.825,97.5,98.825,1.025,98.85,21868.0,103245.0
2020-05-19,98.325,99.35,97.525,99.275,0.225,99.075,14183.0,103564.0
2020-05-20,99.225,99.8,97.1,97.7,1.45,97.625,18271.0,104404.0
2020-05-21,97.85,98.325,96.875,98.25,0.6,98.225,11817.0,105384.0
2020-05-22,98.0,98.3,96.625,97.075,0.9,97.325,13432.0,106382.0
2020-05-26,97.65,99.675,97.2,99.675,1.925,99.25,17994.0,107178.0
2020-05-27,99.85,100.85,99.2,100.8,1.475,100.725,19179.0,108196.0
2020-05-28,100.725,101.3,100.125,100.575,0.45,101.175,17822.0,110708.0
2020-05-29,101.025,101.05,98.175,99.8,1.575,99.6,24604.0,115123.0
2020-06-01,99.0,99.975,96.925,99.225,0.625,98.975,23444.0,118536.0
2020-06-02,99.45,99.45,96.0,96.85,2.775,96.2,24794.0,120932.0
2020-06-03,96.6,97.625,95.825,97.5,1.15,97.35,25888.0,120667.0
2020-06-04,97.275,98.25,97.075,97.725,0.575,97.925,15796.0,124047.0
2020-06-05,98.0,98.225,95.7,96.75,1.75,96.175,30672.0,124845.0
2020-06-08,96.925,97.3,96.025,96.45,0.15,96.325,15651.0,125007.0
2020-06-09,96.025,98.325,95.6,97.975,1.475,97.8,19273.0,126452.0
2020-06-10,97.6,98.15,96.075,96.85,1.3,96.5,17658.0,127761.0
2020-06-11,96.35,96.75,95.35,96.125,0.05,96.45,18468.0,126684.0
2020-06-12,96.325,97.075,95.15,95.175,1.125,95.325,15761.0,127789.0
2020-06-15,94.275,96.5,93.575,96.425,0.675,96.0,20031.0,127566.0
2020-06-16,96.675,97.425,96.15,96.5,0.775,96.775,14840.0,129401.0
2020-06-17,96.275,96.95,95.75,96.7,0.075,96.85,11470.0,130246.0
2020-06-18,96.475,96.675,95.6,96.225,0.75,96.1,13303.0,131114.0
2020-06-19,96.05,96.55,95.225,95.225,0.7,95.4,14574.0,130653.0
2020-06-22,94.8,95.325,94.35,95.05,0.275,95.125,13671.0,130144.0
2020-06-23,95.575,98.125,94.75,97.575,2.075,97.2,26309.0,130561.0
2020-06-24,97.2,97.85,96.025,96.3,0.85,96.35,18411.0,132701.0
2020-06-25,96.2,96.825,95.875,96.25,0.275,96.075,14340.0,130299.0
2020-06-26,95.725,96.45,95.225,96.125,0.05,96.025,16206.0,129752.0
2020-06-29,96.0,96.75,95.075,96.625,0.45,96.475,16612.0,129371.0
2020-06-30,96.5,98.15,96.15,96.525,0.2,96.275,23462.0,129371.0
2020-07-01,96.7,97.8,96.2,97.5,1.025,97.3,21450.0,127734.0
2020-07-02,97.6,100.15,97.15,100.05,2.1,99.4,25171.0,125897.0
2020-07-06,100.25,101.425,99.725,100.275,0.7,100.1,25654.0,122413.0
2020-07-07,100.0,100.375,99.6,100.175,0.1,100.0,22185.0,116821.0
2020-07-08,100.0,100.125,98.925,99.275,0.85,99.15,35192.0,110260.0
2020-07-09,99.225,100.425,99.0,99.75,0.1,99.25,33221.0,96333.0
2020-07-10,99.525,100.225,99.175,100.175,0.75,100.0,26428.0,87256.0
2020-07-13,100.225,100.825,99.5,99.925,0.35,99.65,26232.0,78770.0
2020-07-14,99.575,99.95,98.55,98.95,0.85,98.8,30128.0,72176.0
2020-07-15,98.9,101.8,98.425,101.8,2.5,101.3,27520.0,63592.0
2020-07-16,101.575,103.875,101.25,103.425,1.975,103.275,24043.0,61146.0
2020-07-17,103.125,103.575,102.725,103.25,,103.275,12854.0,57914.0
2020-07-20,103.075,103.4,101.025,102.55,-1.0,102.275,17737.0,54792.0
2020-07-21,102.6,102.6,101.35,101.85,-0.425,101.85,13105.0,50232.0
2020-07-22,101.85,102.0,100.925,101.725,-0.35,101.5,10238.0,48164.0
2020-07-23,101.875,102.4,100.6,101.15,-0.65,100.85,9610.0,45924.0
2020-07-24,101.0,101.65,100.75,101.55,0.475,101.325,6589.0,44057.0
2020-07-27,102.5,102.675,100.35,100.65,-0.9,100.425,11919.0,42664.0
2020-07-28,100.35,101.45,100.3,101.325,0.475,100.9,8879.0,40370.0
2020-07-29,101.3,102.0,101.05,101.85,0.55,101.45,8838.0,37410.0
2020-07-30,101.725,102.175,101.0,102.175,0.275,101.725,9250.0,35087.0
2020-07-31,102.2,103.15,101.75,103.125,1.1,102.825,8950.0,32371.0
2020-08-03,103.1,103.425,102.55,103.05,0.2,103.025,9925.0,31282.0
2020-08-04,103.0,103.0,101.95,102.4,-0.75,102.275,7597.0,28830.0
2020-08-05,102.15,102.7,101.775,102.55,0.025,102.3,7725.0,27033.0
2020-08-06,102.775,103.425,102.25,102.575,0.325,102.625,8722.0,25047.0
2020-08-07,102.6,103.7,102.425,102.725,0.175,102.8,7381.0,23359.0
2020-08-10,102.8,103.85,102.575,103.7,0.8,103.6,3992.0,17079.0
