Date,Open,High,Low,Last,Change,Settle,Volume,Previous Day Open Interest
2020-05-18,103.9,104.65,103.225,104.0,1.05,104.225,8721.0,32725.0
2020-05-19,103.9,104.15,103.1,104.1,0.175,104.05,6906.0,33136.0
2020-05-20,104.05,104.375,102.125,102.75,1.325,102.725,7614.0,33425.0
2020-05-21,102.75,102.95,102.05,102.8,0.075,102.8,5511.0,34963.0
2020-05-22,102.6,103.075,102.25,102.6,0.05,102.75,6041.0,35132.0
2020-05-26,103.0,105.25,102.925,105.25,2.3,105.05,7049.0,35545.0
2020-05-27,105.3,106.025,105.075,106.0,0.925,105.975,7043.0,35847.0
2020-05-28,105.925,106.25,105.15,106.175,0.1,106.075,5546.0,36484.0
2020-05-29,106.0,106.0,103.65,104.975,1.375,104.7,7531.0,36882.0
2020-06-01,104.15,105.875,102.825,105.4,0.475,105.175,8558.0,37644.0
2020-06-02,105.6,105.6,103.3,103.875,1.725,103.45,8846.0,38522.0
2020-06-03,103.6,104.3,103.225,104.125,0.525,103.975,8554.0,38518.0
2020-06-04,103.8,105.2,103.725,104.9,1.05,105.025,5984.0,39028.0
2020-06-05,105.15,105.425,103.675,104.2,1.2,103.825,9922.0,39124.0
2020-06-08,104.1,104.4,103.35,103.75,0.15,103.675,6359.0,39307.0
2020-06-09,103.275,104.75,102.925,104.475,0.5,104.175,8229.0,40063.0
2020-06-10,104.175,104.7,102.825,103.25,1.25,102.925,7789.0,39941.0
2020-06-11,102.675,103.0,101.875,102.475,0.15,102.775,7026.0,40856.0
2020-06-12,102.775,103.475,101.925,102.0,0.725,102.05,5417.0,41343.0
2020-06-15,101.5,103.0,100.7,102.9,0.825,102.875,9349.0,41550.0
2020-06-16,103.0,103.925,103.0,103.675,1.0,103.875,5398.0,42318.0
2020-06-17,103.4,104.125,103.025,103.875,,103.875,4844.0,42301.0
2020-06-18,103.525,103.7,102.95,103.35,0.6,103.275,4342.0,42008.0
2020-06-19,103.275,103.55,102.7,102.75,0.425,102.85,6247.0,42181.0
2020-06-22,102.4,102.825,101.925,102.475,0.325,102.525,5735.0,42622.0
2020-06-23,102.75,104.45,102.1,103.725,1.0,103.525,9189.0,42839.0
2020-06-24,103.525,104.35,102.975,103.3,0.175,103.35,6937.0,42831.0
2020-06-25,103.1,103.925,103.0,103.55,0.2,103.55,5471.0,42911.0
2020-06-26,103.1,103.7,102.725,103.125,0.475,103.075,5850.0,42910.0
2020-06-29,103.0,104.0,102.4,103.75,0.7,103.775,5695.0,42989.0
2020-06-30,103.775,104.85,103.425,103.8,0.125,103.65,7522.0,42903.0
2020-07-01,103.675,104.925,103.325,104.6,0.85,104.5,7751.0,43420.0
2020-07-02,104.5,106.5,104.375,106.4,1.425,105.925,9846.0,43526.0
2020-07-06,106.375,107.55,106.025,107.1,1.125,107.05,10888.0,43863.0
2020-07-07,106.925,107.225,106.625,107.125,0.025,107.025,11811.0,44520.0
2020-07-08,106.95,107.125,106.0,106.675,0.35,106.675,15501.0,43445.0
2020-07-09,106.675,108.15,106.525,107.675,0.775,107.45,14289.0,42791.0
2020-07-10,107.45,108.5,107.275,108.325,0.95,108.4,10920.0,43057.0
2020-07-13,108.375,108.825,108.175,108.475,0.025,108.375,14222.0,43634.0
2020-07-14,108.1,108.375,107.0,107.025,1.225,107.15,12111.0,46032.0
2020-07-15,107.025,108.75,106.675,108.7,1.025,108.175,10780.0,48449.0
2020-07-16,108.3,110.675,108.05,110.175,1.925,110.1,13726.0,48190.0
2020-07-17,109.75,110.8,109.625,110.625,0.6,110.7,10201.0,49305.0
2020-07-20,110.25,110.675,109.125,110.65,-0.25,110.45,11113.0,50194.0
2020-07-21,110.55,110.775,109.775,110.175,-0.15,110.3,8643.0,51501.0
2020-07-22,110.25,110.425,109.55,110.325,-0.175,110.125,7174.0,52164.0
2020-07-23,110.325,110.325,108.875,109.125,-1.1,109.025,10147.0,52819.0
2020-07-24,109.0,109.8,108.8,109.475,0.3,109.325,6695.0,52967.0
2020-07-27,110.25,110.475,108.025,108.225,-1.25,108.075,9152.0,53834.0
2020-07-28,108.075,109.375,107.85,109.3,0.8,108.875,7176.0,53930.0
2020-07-29,109.175,110.275,109.0,110.25,1.075,109.95,9344.0,54656.0
2020-07-30,110.025,110.575,109.65,110.575,0.5,110.45,6508.0,54969.0
2020-07-31,110.5,111.65,110.15,111.5,1.1,111.55,9356.0,55669.0
2020-08-03,111.55,112.05,111.35,111.775,0.275,111.825,12424.0,56757.0
2020-08-04,111.675,111.9,111.1,111.6,-0.45,111.375,9036.0,58069.0
2020-08-05,111.325,111.8,111.075,111.7,0.275,111.65,8423.0,58815.0
2020-08-06,111.75,112.325,110.65,110.9,-0.7,110.95,10387.0,60041.0
2020-08-07,110.9,111.225,109.825,110.3,-0.875,110.075,14032.0,60904.0
2020-08-10,110.25,111.2,109.925,111.15,0.9,110.975,11915.0,60677.0
2020-08-11,111.1,112.275,110.9,111.85,0.7,111.675,15053.0,61307.0
2020-08-12,111.85,112.925,111.775,112.85,0.875,112.55,16340.0,61514.0
2020-08-13,112.8,113.225,112.4,113.0,0.275,112.825,16034.0,62117.0
2020-08-14,112.825,113.325,112.35,112.875,,112.825,13746.0,63009.0
2020-08-17,113.0,113.9,112.3,112.4,-0.25,112.575,12841.0,63734.0
2020-08-18,112.575,113.225,112.35,113.225,0.375,112.95,12397.0,64535.0
2020-08-19,113.2,114.025,112.95,113.875,0.85,113.8,11479.0,65382.0
2020-08-20,113.775,113.775,112.5,112.55,-0.95,112.85,9412.0,66724.0
2020-08-21,112.475,112.825,111.525,112.025,-1.075,111.775,8373.0,67010.0
2020-08-24,110.625,111.0,110.075,110.95,-0.95,110.825,12064.0,67090.0
2020-08-25,110.8,111.875,110.725,111.725,0.875,111.7,11054.0,67877.0
2020-08-26,111.7,112.0,109.925,110.45,-1.175,110.525,13841.0,69281.0
2020-08-27,110.4,110.5,108.325,109.625,-1.175,109.35,20295.0,69937.0
2020-08-28,109.4,109.575,108.125,108.45,-0.85,108.5,11330.0,69524.0
2020-08-31,108.1,109.725,108.05,108.85,0.475,108.975,12268.0,69054.0
2020-09-01,109.0,109.55,108.475,109.2,0.175,109.15,15279.0,70477.0
2020-09-02,109.1,109.35,107.25,108.875,-0.7,108.45,19480.0,72189.0
2020-09-03,108.775,109.125,107.45,107.975,-0.625,107.825,16657.0,73638.0
2020-09-04,107.925,108.775,107.575,108.75,0.65,108.475,16125.0,76246.0
2020-09-08,108.275,110.2,108.2,109.825,1.65,110.125,21108.0,78239.0
2020-09-09,109.65,109.85,108.125,109.5,-0.975,109.15,27350.0,82626.0
2020-09-10,109.1,110.25,109.1,109.575,0.275,109.425,26071.0,86079.0
2020-09-11,109.6,110.175,109.25,110.05,0.475,109.9,29394.0,91232.0
2020-09-14,110.2,111.925,110.175,111.4,1.8,111.7,35615.0,100320.0
2020-09-15,111.65,111.9,110.725,111.9,-0.125,111.575,24525.0,107616.0
2020-09-16,111.6,112.475,111.4,111.65,0.375,111.95,28835.0,110265.0
2020-09-17,111.575,111.85,110.875,111.35,-0.625,111.325,22066.0,113700.0
2020-09-18,111.4,112.525,111.025,112.05,0.525,111.85,20999.0,117064.0
2020-09-21,111.35,111.625,109.95,110.8,-1.25,110.6,27049.0,119650.0
2020-09-22,110.8,110.875,109.8,110.125,-0.425,110.175,19712.0,120427.0
2020-09-23,110.25,111.55,110.225,111.4,1.025,111.2,16970.0,119843.0
2020-09-24,111.275,112.575,110.975,112.15,1.075,112.275,21703.0,119626.0
2020-09-25,112.1,112.5,111.3,111.65,-0.875,111.4,16530.0,121205.0
2020-09-28,110.7,111.925,110.5,111.925,0.25,111.65,18034.0,122303.0
2020-09-29,112.075,113.55,111.975,113.1,1.475,113.125,27795.0,123276.0
2020-09-30,113.0,113.575,112.1,112.25,-0.775,112.35,24174.0,127486.0
2020-10-01,112.65,113.2,111.775,112.0,-0.525,111.825,22585.0,126462.0
2020-10-02,111.175,111.5,110.75,111.3,-0.725,111.1,21237.0,125234.0
2020-10-05,111.7,112.325,111.425,112.3,0.65,111.75,16799.0,123581.0
2020-10-06,111.75,112.95,111.75,111.65,0.2,111.95,18097.0,122632.0
2020-10-07,111.75,113.25,111.575,113.0,1.15,113.1,23251.0,121777.0
2020-10-08,113.0,113.3,112.525,112.625,-0.475,112.625,22142.0,121218.0
2020-10-09,112.65,113.25,112.075,112.9,-0.025,112.6,22405.0,118724.0
2020-10-12,112.875,112.875,110.3,110.825,-1.775,110.825,29602.0,118165.0
2020-10-13,111.275,111.575,109.65,111.075,0.4,111.225,25565.0,113574.0
2020-10-14,110.9,111.275,109.675,110.5,-0.95,110.275,22677.0,110969.0
2020-10-15,110.1,110.325,109.4,109.6,-0.725,109.55,20247.0,109741.0
2020-10-16,109.55,109.55,108.125,108.95,-0.925,108.625,22605.0,108235.0
2020-10-19,108.55,108.75,104.7,105.125,-3.475,105.15,35238.0,106919.0
2020-10-20,105.15,106.0,103.85,105.45,0.3,105.45,33692.0,107464.0
2020-10-21,105.55,106.175,104.25,104.85,-0.875,104.575,23561.0,107518.0
2020-10-22,104.85,104.9,103.15,103.35,-1.1,103.475,19529.0,107145.0
2020-10-23,103.775,104.5,103.275,103.8,0.1,103.575,18916.0,107215.0
2020-10-26,103.575,104.2,102.525,103.975,-0.175,103.4,25241.0,107725.0
2020-10-27,104.225,105.35,103.525,104.225,0.65,104.05,22997.0,108005.0
2020-10-28,103.475,105.025,102.85,104.8,0.625,104.675,23049.0,108575.0
2020-10-29,104.65,108.325,104.45,108.1,3.3,107.975,28827.0,107796.0
2020-10-30,108.1,108.6,107.55,108.45,0.325,108.3,25538.0,104076.0
2020-11-02,108.675,108.675,107.325,108.675,0.25,108.55,18608.0,100721.0
2020-11-03,108.675,108.7,107.575,107.625,-0.725,107.825,19104.0,99533.0
2020-11-04,107.45,108.125,106.875,108.075,0.05,107.875,18921.0,97099.0
2020-11-05,108.675,109.0,107.825,108.35,0.475,108.35,25099.0,95117.0
2020-11-06,108.175,109.125,108.075,108.625,0.3,108.65,26393.0,92045.0
2020-11-09,109.4,111.95,109.35,111.45,3.175,111.825,42461.0,85007.0
2020-11-10,111.425,112.3,111.4,111.775,0.05,111.875,34156.0,73737.0
2020-11-11,111.725,112.7,111.2,112.4,0.525,112.4,27992.0,63148.0
2020-11-12,112.3,112.525,111.7,112.075,-0.425,111.975,24912.0,55266.0
2020-11-13,111.625,112.025,109.775,110.1,-2.05,109.925,24311.0,47652.0
2020-11-16,110.35,110.7,109.8,110.575,0.5,110.425,15689.0,43032.0
2020-11-17,110.5,111.775,110.125,111.35,0.9,111.325,16101.0,40143.0
2020-11-18,111.35,111.525,110.45,110.45,-0.675,110.65,9546.0,36332.0
2020-11-19,110.5,110.625,107.675,108.275,-2.4,108.25,15589.0,34084.0
2020-11-20,108.3,108.65,106.6,108.0,-0.15,108.1,11327.0,31966.0
2020-11-23,108.55,110.7,108.525,110.175,1.9,110.0,9331.0,29905.0
2020-11-24,109.95,111.675,109.95,111.35,1.175,111.175,8823.0,26846.0
2020-11-25,111.525,111.65,110.875,111.25,0.2,111.375,6023.0,25497.0
2020-11-27,111.25,111.725,110.55,110.55,-0.75,110.625,3784.0,24197.0
2020-11-30,110.2,110.55,109.8,110.1,-0.45,110.175,6220.0,23353.0
2020-12-01,110.275,110.875,110.25,110.625,0.45,110.625,6062.0,22500.0
2020-12-02,110.2,110.8,109.75,110.425,0.075,110.7,6625.0,20408.0
2020-12-03,110.6,110.6,108.95,109.4,-1.1,109.6,6561.0,19012.0
2020-12-04,109.4,109.4,107.975,108.575,-0.725,108.875,7530.0,17138.0
2020-12-07,108.25,108.75,107.8,107.8,-0.875,108.0,3343.0,13711.0
2020-12-08,107.85,108.275,107.7,107.925,-0.15,107.85,2497.0,12477.0
2020-12-09,107.85,108.075,107.225,107.45,-0.475,107.375,2421.0,10951.0
2020-12-10,107.225,108.3,107.15,107.8,0.55,107.925,2088.0,10011.0
2020-12-11,107.8,109.175,107.8,108.85,0.825,108.75,3121.0,9238.0
2020-12-14,108.75,109.2,108.7,109.05,0.35,109.1,1016.0,8269.0
2020-12-15,108.8,109.325,108.4,108.5,-0.5,108.6,1395.0,7529.0
2020-12-16,108.35,108.85,108.15,108.775,0.175,108.775,1575.0,6832.0
2020-12-17,108.125,109.45,107.85,109.5,0.575,109.35,3988.0,6243.0
2020-12-18,109.5,110.5,109.3,110.45,1.125,110.475,1746.0,4864.0
2020-12-21,109.9,110.725,109.425,110.4,0.125,110.6,1340.0,3861.0
2020-12-22,110.45,110.5,110.2,110.275,-0.275,110.325,878.0,2987.0
2020-12-23,110.325,111.925,110.2,111.775,1.6,111.925,1078.0,2396.0
2020-12-24,111.925,112.175,111.8,112.15,0.225,112.15,278.0,1684.0
2020-12-28,112.0,113.375,112.0,112.875,0.9,113.05,872.0,1494.0
2020-12-29,113.2,113.55,111.9,111.925,-1.0,112.05,868.0,852.0
2020-12-30,112.425,112.5,111.55,112.5,0.075,112.125,220.0,227.0
