Date,Open,High,Low,Settle,Change,Wave,Volume,Prev. Day Open Interest,EFP Volume,EFS Volume,Block Volume
2020-05-18,,,,36.78,0.26,,620.0,21910.0,,,110.0
2020-05-19,,,,36.84,0.06,,470.0,21890.0,,,75.0
2020-05-20,,,,36.88,0.04,,640.0,21900.0,,,310.0
2020-05-21,35.75,35.75,35.75,35.53,-1.35,35.75,1010.0,22185.0,,,35.0
2020-05-22,,,,35.07,-0.46,,820.0,22160.0,,,360.0
2020-05-25,,,,35.07,0.0,,,22580.0,,,
2020-05-26,,,,35.6,0.53,,765.0,22585.0,,,30.0
2020-05-27,,,,35.21,-0.39,,495.0,22755.0,,,20.0
2020-05-28,35.05,35.05,35.05,34.9,-0.31,35.05,925.0,22915.0,,,70.0
2020-05-29,34.95,34.95,34.95,34.93,0.03,34.95,830.0,23305.0,,,100.0
2020-06-01,35.24,35.24,35.0,34.62,-0.31,35.12,730.0,23570.0,,,45.0
2020-06-02,,,,35.0,0.38,,1785.0,23695.0,,,80.0
2020-06-03,35.2,35.2,35.2,34.85,-0.15,35.2,1320.0,24725.0,,,40.0
2020-06-04,,,,35.31,0.46,,1065.0,25035.0,100.0,,
2020-06-05,36.15,36.15,36.15,36.19,0.88,36.15,1495.0,25405.0,,,
2020-06-08,35.8,35.8,35.3,35.8,-0.39,35.675,1500.0,25655.0,,,
2020-06-09,,,,35.16,-0.64,,985.0,25790.0,,,600.0
2020-06-10,,,,35.27,0.11,,795.0,25915.0,,,
2020-06-11,35.5,35.5,35.5,35.15,-0.12,35.5,735.0,26130.0,,,
2020-06-12,,,,34.89,-0.26,,895.0,26210.0,,,300.0
2020-06-15,,,,34.56,-0.33,,655.0,26450.0,,,60.0
2020-06-16,35.05,35.05,35.05,34.86,0.3,35.05,650.0,26610.0,,,120.0
2020-06-17,,,,35.14,0.28,,790.0,26685.0,,,50.0
2020-06-18,,,,36.09,0.95,,665.0,27215.0,1000.0,,50.0
2020-06-19,,,,37.03,0.94,,1335.0,26825.0,120.0,,10.0
2020-06-22,,,,36.81,-0.22,,950.0,27240.0,,,10.0
2020-06-23,,,,37.54,0.73,,800.0,27670.0,,,30.0
2020-06-24,37.55,37.6,37.0,36.97,-0.57,37.359,1045.0,27925.0,,,45.0
2020-06-25,36.03,36.03,36.03,36.28,-0.69,36.03,675.0,28355.0,,,50.0
2020-06-26,36.14,36.14,36.14,36.51,0.23,36.14,680.0,28455.0,,,
2020-06-29,,,,37.71,1.2,,895.0,28650.0,,,
2020-06-30,37.28,37.95,37.28,37.64,-0.07,37.54,1590.0,29325.0,,,370.0
2020-07-01,37.11,37.51,36.86,37.48,-0.16,37.243,845.0,29330.0,,,20.0
2020-07-02,37.65,37.83,37.65,37.72,0.24,37.714,640.0,29465.0,,,85.0
2020-07-03,38.3,38.3,38.3,38.22,0.5,38.3,1010.0,29625.0,,,100.0
2020-07-06,39.35,39.4,39.35,39.41,1.19,39.353,935.0,29575.0,,,140.0
2020-07-07,40.35,40.35,39.91,39.92,0.51,40.17,915.0,29460.0,,,70.0
2020-07-08,39.7,39.75,39.65,39.84,-0.08,39.683,825.0,29555.0,,,15.0
2020-07-09,39.71,39.71,39.5,39.58,-0.26,39.535,945.0,29710.0,,,70.0
2020-07-10,38.95,38.99,38.85,38.92,-0.66,38.902,945.0,30370.0,,,35.0
2020-07-13,,,,39.23,0.31,,805.0,30795.0,,,35.0
2020-07-14,,,,39.15,-0.08,,620.0,30815.0,,,280.0
2020-07-15,,,,39.07,-0.08,,1180.0,30925.0,,,200.0
2020-07-16,38.8,38.8,38.65,38.66,-0.41,38.706,755.0,31485.0,555.0,,300.0
