Date,Open,High,Low,Settle,Change,Wave,Volume,Prev. Day Open Interest,EFP Volume,EFS Volume,Block Volume
2020-05-18,,,,37.14,0.24,,620.0,21550.0,,,110.0
2020-05-19,,,,37.21,0.07,,470.0,21520.0,,,225.0
2020-05-20,,,,37.22,0.01,,670.0,21580.0,,,85.0
2020-05-21,36.05,36.05,36.05,35.92,-1.3,36.05,1015.0,21630.0,,,535.0
2020-05-22,,,,35.46,-0.46,,805.0,21620.0,,,100.0
2020-05-25,,,,35.46,0.0,,,21655.0,,,
2020-05-26,,,,35.97,0.51,,665.0,21660.0,,,30.0
2020-05-27,,,,35.57,-0.4,,495.0,21725.0,,,20.0
2020-05-28,35.4,35.4,35.4,35.23,-0.34,35.4,935.0,21860.0,,,70.0
2020-05-29,,,,35.57,0.34,,775.0,22305.0,,,100.0
2020-06-01,35.0,35.74,35.0,35.0,-0.57,35.485,740.0,22535.0,,,45.0
2020-06-02,35.45,35.45,35.45,35.47,0.47,35.45,1815.0,22685.0,,,80.0
2020-06-03,35.7,35.7,35.5,35.3,-0.17,35.525,1375.0,23710.0,,,40.0
2020-06-04,,,,35.68,0.38,,1065.0,24000.0,100.0,,
2020-06-05,,,,36.53,0.85,,1485.0,24380.0,,,
2020-06-08,,,,35.67,-0.86,,1460.0,24840.0,,,
2020-06-09,,,,35.18,-0.49,,985.0,25025.0,,,600.0
2020-06-10,35.1,35.1,35.1,35.43,0.25,35.1,820.0,25540.0,,,
2020-06-11,,,,35.36,-0.07,,730.0,25740.0,,,
2020-06-12,,,,35.14,-0.22,,895.0,25825.0,,,300.0
2020-06-15,,,,34.92,-0.22,,655.0,25850.0,,,60.0
2020-06-16,,,,35.23,0.31,,645.0,26005.0,,,120.0
2020-06-17,,,,35.61,0.38,,590.0,26115.0,,,50.0
2020-06-18,,,,36.63,1.02,,665.0,26450.0,1000.0,,50.0
2020-06-19,,,,37.36,0.73,,1335.0,26060.0,120.0,,10.0
2020-06-22,,,,37.06,-0.3,,950.0,26630.0,,,10.0
2020-06-23,37.8,37.8,37.8,37.95,0.89,37.8,810.0,27070.0,,,30.0
2020-06-24,37.8,37.8,37.8,37.52,-0.43,37.8,960.0,27410.0,,,45.0
