Date,Open,High,Low,Settle,Change,Wave,Volume,Prev. Day Open Interest,EFP Volume,EFS Volume,Block Volume
2020-05-18,,,,34.64,0.25,,620.0,21540.0,,,110.0
2020-05-19,,,,34.71,0.07,,470.0,21415.0,,,225.0
2020-05-20,,,,34.82,0.11,,660.0,21285.0,,,85.0
2020-05-21,33.9,33.9,33.9,33.93,-0.89,33.9,880.0,21350.0,,,535.0
2020-05-22,,,,33.31,-0.62,,770.0,21785.0,,,100.0
2020-05-25,,,,33.31,0.0,,,21930.0,,,
2020-05-26,33.75,33.75,33.75,33.74,0.43,33.75,675.0,21935.0,,,30.0
2020-05-27,,,,33.34,-0.4,,495.0,22030.0,,,20.0
2020-05-28,33.2,33.2,33.0,33.0,-0.34,33.171,925.0,22160.0,,,70.0
2020-05-29,33.35,33.35,33.35,33.23,0.23,33.35,780.0,22505.0,,,100.0
2020-06-01,,,,32.55,-0.68,,720.0,22715.0,,,45.0
2020-06-02,,,,32.84,0.29,,1785.0,23020.0,,,80.0
2020-06-03,,,,32.92,0.08,,1335.0,24055.0,,,40.0
2020-06-04,,,,33.34,0.42,,1065.0,24295.0,100.0,,
2020-06-05,,,,34.21,0.87,,1485.0,24640.0,,,
2020-06-08,,,,33.19,-1.02,,1460.0,24725.0,,,
2020-06-09,,,,32.85,-0.34,,995.0,25065.0,,,600.0
2020-06-10,,,,33.03,0.18,,820.0,25545.0,,,
2020-06-11,,,,32.96,-0.07,,730.0,25625.0,,,
2020-06-12,,,,32.75,-0.21,,895.0,25650.0,,,300.0
2020-06-15,,,,32.53,-0.22,,655.0,25510.0,,,60.0
2020-06-16,,,,32.83,0.3,,645.0,25630.0,,,120.0
2020-06-17,,,,32.95,0.12,,570.0,25675.0,,,50.0
2020-06-18,,,,34.43,1.48,,665.0,26025.0,1000.0,,50.0
2020-06-19,,,,35.13,0.7,,1310.0,25705.0,120.0,,10.0
2020-06-22,,,,34.83,-0.3,,950.0,25960.0,,,10.0
2020-06-23,35.4,35.4,35.4,35.39,0.56,35.4,835.0,26395.0,,,30.0
2020-06-24,,,,35.02,-0.37,,910.0,26680.0,,,45.0
2020-06-25,,,,34.44,-0.58,,690.0,27050.0,,,50.0
2020-06-26,,,,34.75,0.31,,670.0,27130.0,,,
2020-06-29,,,,35.92,1.17,,885.0,27390.0,,,
2020-06-30,,,,35.88,-0.04,,1555.0,28035.0,,,370.0
2020-07-01,,,,35.49,-0.39,,825.0,28005.0,,,20.0
2020-07-02,,,,35.64,0.15,,625.0,28165.0,,,85.0
2020-07-03,35.85,36.2,35.85,36.01,0.37,36.014,1420.0,28355.0,,,100.0
2020-07-06,37.3,37.3,37.3,37.24,1.23,37.3,835.0,28520.0,,,140.0
2020-07-07,38.21,38.21,38.21,37.62,0.38,38.21,780.0,28605.0,,,70.0
2020-07-08,,,,37.31,-0.31,,780.0,28745.0,,,15.0
2020-07-09,,,,37.22,-0.09,,925.0,28890.0,,,70.0
2020-07-10,37.0,37.0,36.95,36.94,-0.28,36.992,815.0,29375.0,,,35.0
2020-07-13,,,,37.35,0.41,,820.0,29665.0,,,35.0
2020-07-14,,,,37.2,-0.15,,745.0,29710.0,,,280.0
2020-07-15,36.9,36.9,36.9,37.04,-0.16,36.9,1060.0,29950.0,,,200.0
2020-07-16,36.65,36.89,36.65,36.59,-0.45,36.8,780.0,30525.0,555.0,,50.0
2020-07-17,36.79,36.8,36.65,36.66,0.07,36.747,1095.0,30120.0,,,25.0
2020-07-20,36.05,36.1,36.0,35.17,-1.49,36.043,1870.0,30485.0,,,340.0
2020-07-21,35.05,35.05,35.05,35.01,-0.16,35.05,1695.0,30560.0,,,85.0
2020-07-22,,,,35.25,0.24,,1010.0,31055.0,,,
2020-07-23,,,,35.44,0.19,,700.0,31225.0,,,100.0
2020-07-24,,,,34.94,-0.5,,645.0,31580.0,,,
2020-07-27,,,,34.25,-0.69,,480.0,31810.0,,,50.0
2020-07-28,34.44,34.44,34.44,34.59,0.34,34.44,550.0,32000.0,,,250.0
2020-07-29,35.05,35.05,34.68,35.06,0.47,34.865,980.0,32235.0,,,
2020-07-30,,,,34.27,-0.79,,735.0,32580.0,,,225.0
2020-07-31,33.91,33.95,33.91,34.06,-0.21,33.93,540.0,32835.0,,,35.0
2020-08-03,,,,34.79,0.73,,390.0,33080.0,,,
2020-08-04,,,,35.4,0.61,,1770.0,33180.0,,,85.0
2020-08-05,35.5,35.65,35.5,35.93,0.53,35.575,1950.0,33720.0,,,85.0
2020-08-06,,,,36.21,0.28,,1225.0,34405.0,,,40.0
2020-08-07,,,,36.34,0.13,,1145.0,34780.0,,,80.0
2020-08-10,36.19,36.19,36.19,36.02,-0.32,36.19,1030.0,35125.0,,,60.0
2020-08-11,36.38,36.4,36.35,36.29,0.27,36.378,1530.0,35600.0,,,35.0
2020-08-12,36.21,36.21,36.21,36.25,-0.04,36.21,980.0,36135.0,,,2035.0
2020-08-13,36.75,36.75,36.53,36.58,0.33,36.64,935.0,34100.0,,,40.0
2020-08-14,36.4,37.8,36.4,37.3,0.72,37.064,1615.0,34180.0,,,45.0
2020-08-17,37.61,37.61,37.12,37.4,0.1,37.365,765.0,34025.0,,,115.0
2020-08-18,37.55,37.93,37.55,37.72,0.32,37.73,1110.0,34290.0,,,300.0
2020-08-19,,,,38.0,0.28,,1275.0,34465.0,,,395.0
2020-08-20,37.75,37.75,37.74,37.85,-0.15,37.745,850.0,34460.0,,,245.0
2020-08-21,37.32,37.32,37.18,37.08,-0.77,37.25,790.0,34510.0,,,55.0
2020-08-24,37.93,37.99,37.93,38.1,1.02,37.96,770.0,34590.0,100.0,,195.0
2020-08-25,38.8,38.87,38.8,39.07,0.97,38.835,1755.0,35065.0,,,155.0
2020-08-26,40.09,40.09,40.09,39.66,0.59,40.09,995.0,35467.0,105.0,,160.0
2020-08-27,35.3,35.3,35.15,35.32,-0.63,35.292,635.0,14800.0,300.0,,40.0
2020-08-28,39.96,39.96,39.7,39.9,1.2,39.858,760.0,35320.0,,,75.0
2020-08-31,,,,39.9,0.0,,,35640.0,,,
2020-09-01,,,,40.36,0.46,,975.0,35640.0,,,80.0
2020-09-02,39.65,39.65,39.19,39.64,-0.72,39.42,920.0,35985.0,,,
2020-09-03,40.4,40.45,40.15,40.19,0.55,40.292,1520.0,35875.0,,,
2020-09-04,,,,39.99,-0.2,,915.0,36550.0,,,30.0
2020-09-07,39.47,39.47,38.8,38.69,-1.3,39.003,1005.0,36480.0,,,225.0
2020-09-08,38.41,38.41,38.41,38.05,-0.64,38.41,705.0,36605.0,,,
2020-09-09,38.2,38.36,38.2,38.09,0.04,38.22,635.0,36800.0,,,
2020-09-10,38.3,38.35,38.1,38.35,0.26,38.26,920.0,37065.0,,,50.0
2020-09-11,38.84,38.84,38.37,38.48,0.13,38.57,995.0,37330.0,,,60.0
2020-09-14,39.1,39.3,39.1,39.2,0.72,39.269,580.0,37830.0,,,35.0
2020-09-15,39.46,39.53,39.46,39.37,0.17,39.495,1005.0,37895.0,,,160.0
2020-09-16,39.6,40.05,39.59,39.54,0.17,39.738,2145.0,38705.0,,,
2020-09-17,39.7,39.7,39.48,39.12,-0.42,39.641,935.0,40090.0,,,100.0
2020-09-18,39.1,39.18,39.05,39.59,0.47,39.056,935.0,40645.0,,,250.0
2020-09-21,39.38,39.38,38.75,38.88,-0.71,38.923,905.0,40905.0,,,280.0
2020-09-22,38.62,39.06,38.3,38.94,0.06,38.498,2370.0,41135.0,,,395.0
2020-09-23,39.39,39.39,39.39,39.36,0.42,39.39,940.0,42530.0,,,15.0
2020-09-24,39.35,39.35,38.8,38.68,-0.68,38.879,840.0,42660.0,,,200.0
2020-09-25,38.8,39.25,38.8,39.1,0.42,39.088,2175.0,42595.0,,,25.0
2020-09-28,39.75,39.75,39.17,39.38,0.28,39.468,1235.0,43445.0,,,420.0
2020-09-29,39.75,40.45,39.56,39.59,0.21,39.893,1195.0,43740.0,,,
2020-09-30,39.2,39.25,38.55,38.79,-0.8,38.817,960.0,44185.0,,,
2020-10-01,38.32,38.69,38.31,38.41,-0.38,38.412,1050.0,44600.0,,,
2020-10-02,37.45,37.77,37.27,37.48,-0.93,37.502,2905.0,44690.0,,,10.0
2020-10-05,38.12,38.63,38.12,38.43,0.95,38.346,400.0,44890.0,,,
2020-10-06,38.06,38.61,38.06,38.41,-0.02,38.435,580.0,44910.0,,,450.0
2020-10-07,38.68,39.57,38.68,39.48,1.07,39.125,540.0,45055.0,,,275.0
2020-10-08,40.11,40.46,40.11,40.39,0.91,40.217,1205.0,45510.0,,,100.0
2020-10-09,40.02,40.04,39.75,39.79,-0.6,39.885,680.0,46120.0,,,50.0
2020-10-12,39.05,39.39,39.0,39.39,-0.4,39.179,1845.0,46375.0,,,
2020-10-13,38.86,39.27,38.86,39.17,-0.22,38.99,1045.0,46930.0,,,
2020-10-14,39.5,40.04,39.47,39.75,0.58,39.532,1905.0,47405.0,,,75.0
2020-10-15,39.9,40.83,39.9,40.63,0.88,40.316,655.0,48005.0,,,85.0
2020-10-16,40.86,41.4,40.86,41.39,0.76,41.173,965.0,48275.0,,,
2020-10-19,41.8,42.54,41.8,41.95,0.56,42.208,950.0,48245.0,,,200.0
2020-10-20,42.61,42.76,42.51,42.6,0.65,42.678,805.0,48810.0,,,
2020-10-21,41.7,41.87,41.7,41.81,-0.79,41.783,705.0,49030.0,,,10.0
2020-10-22,42.07,42.97,42.07,42.76,0.95,42.437,1365.0,49385.0,,,175.0
2020-10-23,43.5,43.96,43.04,43.31,0.55,43.54,1450.0,49850.0,,,50.0
2020-10-26,42.98,43.48,41.63,42.06,-1.25,42.523,635.0,49415.0,,,55.0
2020-10-27,40.75,41.9,40.75,41.58,-0.48,41.016,450.0,49590.0,,,
2020-10-28,41.3,41.3,41.3,40.69,-0.89,41.3,340.0,49715.0,,,
2020-10-29,39.84,40.28,39.33,39.99,-0.7,39.797,1050.0,49745.0,,,
2020-10-30,40.25,40.25,38.91,39.16,-0.83,39.371,655.0,49755.0,,,
2020-11-02,38.14,38.15,37.72,38.0,-1.16,37.949,1880.0,49910.0,,,
2020-11-03,38.24,38.46,37.57,37.8,-0.2,38.052,985.0,49394.0,,,30.0
2020-11-04,38.22,39.04,37.85,38.59,0.79,38.232,585.0,49430.0,,,
2020-11-05,39.89,40.68,39.89,40.15,1.56,40.254,1470.0,49730.0,,,
2020-11-06,39.17,39.61,38.86,39.0,-1.15,39.29,1635.0,49875.0,,,
2020-11-09,38.69,39.4,38.36,38.86,-0.14,39.034,2555.0,50395.0,,,
2020-11-10,38.6,39.19,38.24,38.98,0.12,38.718,1415.0,50795.0,,,
2020-11-11,39.51,39.67,38.98,39.03,0.05,39.324,1460.0,50755.0,,,25.0
2020-11-12,39.22,39.29,38.65,39.0,-0.03,38.923,1305.0,51005.0,,,
2020-11-13,39.69,39.77,39.42,39.52,0.52,39.579,680.0,51660.0,,,
2020-11-16,39.99,40.48,39.7,39.94,0.42,40.107,1240.0,51830.0,,,1000.0
2020-11-17,39.07,39.15,38.15,38.45,-1.49,38.634,615.0,52285.0,,,
2020-11-18,38.59,38.59,37.22,37.43,-1.02,38.121,2100.0,52450.0,,,500.0
2020-11-19,36.81,37.0,35.76,35.99,-1.44,36.672,1490.0,52560.0,,,390.0
2020-11-20,35.04,35.58,34.75,35.46,-0.53,35.092,1490.0,52795.0,,,1250.0
2020-11-23,36.5,37.02,36.44,36.78,1.32,36.74,1500.0,52265.0,,,150.0
2020-11-24,36.6,37.99,36.47,37.77,0.99,37.178,1540.0,51810.0,,,100.0
2020-11-25,38.33,38.84,37.53,37.8,0.03,38.348,1430.0,52120.0,,,100.0
2020-11-26,40.66,41.3,40.44,40.5,0.06,40.991,2995.0,54900.0,,,
2020-11-27,38.81,39.75,38.68,39.33,1.5,39.244,1920.0,52715.0,,,
