Date,Open,High,Low,Settle,Change,Wave,Volume,Prev. Day Open Interest,EFP Volume,EFS Volume,Block Volume
2020-05-18,17.85,17.88,17.15,17.31,-0.6,17.452,735.0,28595.0,,,15.0
2020-05-19,17.2,17.2,16.64,16.7,-0.61,16.842,500.0,28650.0,,,
2020-05-20,16.69,16.86,16.16,16.23,-0.47,16.591,1055.0,28595.0,,,325.0
2020-05-21,15.92,15.92,14.65,14.81,-1.42,15.188,800.0,28355.0,,,
2020-05-22,14.1,15.29,13.85,14.85,0.04,14.264,565.0,28450.0,,,15.0
2020-05-25,,,,14.85,0.0,,,28445.0,,,
2020-05-26,15.86,16.37,14.8,14.97,0.12,15.533,1280.0,28445.0,250.0,,20.0
2020-05-27,14.6,14.7,14.25,14.33,-0.64,14.357,1450.0,28305.0,,,20.0
2020-05-28,14.35,14.66,13.96,14.08,-0.25,14.219,1810.0,27655.0,,,50.0
2020-05-29,14.82,14.82,14.21,14.63,0.55,14.494,640.0,27630.0,,,
2020-06-01,15.0,15.0,13.62,13.69,-0.94,13.836,495.0,27470.0,,,40.0
2020-06-02,14.44,15.45,14.29,15.26,1.57,15.03,1120.0,27425.0,,,
2020-06-03,15.5,16.74,15.3,16.42,1.16,16.318,1960.0,27060.0,,,5000.0
2020-06-04,15.79,17.09,15.79,16.89,0.47,16.583,1200.0,24355.0,,,
2020-06-05,17.0,18.31,16.8,17.75,0.86,17.681,3065.0,23940.0,,,
2020-06-08,17.58,18.0,16.6,16.99,-0.76,17.382,2405.0,23465.0,,,
2020-06-09,16.93,16.93,15.9,15.98,-1.01,16.068,3275.0,23640.0,,,
2020-06-10,15.9,16.16,15.59,15.94,-0.04,15.836,2665.0,23250.0,,,
2020-06-11,15.95,16.6,15.81,16.44,0.5,16.326,2490.0,23280.0,,,235.0
2020-06-12,16.39,17.64,16.39,17.13,0.69,17.093,1105.0,22515.0,,,
2020-06-15,17.27,17.71,17.05,17.38,0.25,17.384,1680.0,22550.0,,,
2020-06-16,16.93,17.48,16.44,16.52,-0.86,16.726,1820.0,22760.0,,,110.0
2020-06-17,16.21,17.06,16.16,16.6,0.08,16.596,1215.0,23060.0,,,
2020-06-18,17.24,17.35,16.87,17.28,0.68,17.161,940.0,23295.0,1000.0,,
2020-06-19,17.35,18.01,17.32,17.73,0.45,17.591,3035.0,22365.0,,,
2020-06-22,17.21,17.66,16.97,17.1,-0.63,17.186,2580.0,23575.0,75.0,,
2020-06-23,17.02,18.2,17.02,17.95,0.85,17.83,880.0,23965.0,,,110.0
2020-06-24,18.3,18.37,17.45,17.64,-0.31,17.805,1315.0,24205.0,,,
2020-06-25,17.15,17.27,16.55,16.67,-0.97,16.896,875.0,24060.0,,,
