Date,Open,High,Low,Settle,Change,Wave,Volume,Prev. Day Open Interest,EFP Volume,EFS Volume,Block Volume
2020-05-18,21.75,21.9,21.3,21.3,-0.27,21.64,960.0,28376.0,,,185.0
2020-05-19,21.1,21.1,20.89,20.8,-0.5,21.03,1165.0,28710.0,,,75.0
2020-05-20,21.0,21.0,20.55,20.56,-0.24,20.701,1840.0,29065.0,,,580.0
2020-05-21,20.42,20.42,19.1,19.12,-1.44,20.005,1695.0,28730.0,,,270.0
2020-05-22,18.1,18.79,18.1,18.62,-0.5,18.214,1660.0,29065.0,,,115.0
2020-05-25,,,,18.62,0.0,,,29530.0,,,
2020-05-26,19.75,19.75,19.3,19.26,0.64,19.507,1035.0,29525.0,,,30.0
2020-05-27,18.6,18.6,18.6,18.66,-0.6,18.6,685.0,29630.0,,,20.0
2020-05-28,19.0,19.0,18.27,18.4,-0.26,18.703,2495.0,29775.0,,,50.0
2020-05-29,18.57,18.8,18.48,18.76,0.36,18.689,1105.0,30540.0,,,200.0
2020-06-01,18.26,18.26,18.22,17.92,-0.84,18.23,1165.0,30700.0,,,45.0
2020-06-02,18.54,19.25,18.4,19.19,1.27,18.812,1860.0,31170.0,,,80.0
2020-06-03,19.27,20.17,19.25,19.95,0.76,19.876,985.0,31970.0,,,340.0
2020-06-04,19.18,20.5,19.18,20.34,0.39,20.288,1105.0,31935.0,100.0,,
2020-06-05,20.39,21.5,20.39,21.13,0.79,21.204,1720.0,32145.0,,,
2020-06-08,21.1,21.22,20.0,20.5,-0.63,20.775,1335.0,32060.0,,,
2020-06-09,19.7,19.75,19.51,19.61,-0.89,19.654,1025.0,32155.0,,,600.0
2020-06-10,19.39,19.66,19.3,19.56,-0.05,19.396,1055.0,31700.0,,,
2020-06-11,19.83,20.11,19.67,19.85,0.29,19.871,975.0,32230.0,,,
2020-06-12,20.0,20.5,19.93,20.13,0.28,20.211,1110.0,32405.0,,,400.0
2020-06-15,20.55,20.55,20.14,20.3,0.17,20.272,795.0,32335.0,,,60.0
2020-06-16,20.3,20.45,19.9,19.99,-0.31,20.188,1890.0,32550.0,,,310.0
2020-06-17,20.19,20.8,19.81,20.18,0.19,20.285,1300.0,33150.0,,,50.0
2020-06-18,20.6,21.0,20.4,20.99,0.81,20.777,1060.0,33530.0,1000.0,,250.0
2020-06-19,21.6,21.7,21.29,21.56,0.57,21.541,1660.0,32775.0,120.0,,10.0
2020-06-22,21.16,21.6,20.98,21.22,-0.34,21.234,1865.0,33115.0,,,10.0
2020-06-23,21.84,22.2,21.75,22.04,0.82,21.993,1200.0,33120.0,,,40.0
2020-06-24,22.15,22.15,21.36,21.52,-0.52,21.753,1675.0,33485.0,,,45.0
2020-06-25,21.01,21.3,20.55,20.76,-0.76,20.869,1070.0,33735.0,,,150.0
2020-06-26,20.85,21.0,20.63,20.74,-0.02,20.741,1355.0,34000.0,,,
2020-06-29,20.85,21.96,20.85,21.87,1.13,21.448,1225.0,34380.0,,,
2020-06-30,22.1,22.46,21.72,21.86,-0.01,22.072,2845.0,34695.0,,,370.0
2020-07-01,21.87,21.87,21.25,21.39,-0.47,21.479,1340.0,34720.0,,,95.0
2020-07-02,21.25,21.63,21.0,21.32,-0.07,21.246,1595.0,34625.0,,,85.0
2020-07-03,21.2,21.87,21.2,21.75,0.43,21.605,1255.0,34680.0,,,100.0
2020-07-06,22.34,22.54,22.27,22.46,0.71,22.426,1870.0,34840.0,,,120.0
2020-07-07,22.45,23.02,22.45,22.58,0.12,22.78,1775.0,35210.0,,,50.0
2020-07-08,22.26,22.45,22.12,22.18,-0.4,22.26,2090.0,35585.0,,,
2020-07-09,21.8,22.17,21.8,21.86,-0.32,21.986,1595.0,35485.0,,,1200.0
2020-07-10,21.46,21.55,21.13,21.2,-0.66,21.302,1730.0,35825.0,,,35.0
2020-07-13,21.52,21.57,20.32,20.45,-0.75,21.012,2180.0,35760.0,,,35.0
2020-07-14,20.76,20.76,20.12,20.32,-0.13,20.346,2535.0,35885.0,,,205.0
2020-07-15,20.5,20.6,19.88,20.05,-0.27,20.247,3270.0,37010.0,,,200.0
2020-07-16,19.75,19.75,19.35,19.57,-0.48,19.581,2390.0,37450.0,445.0,,90.0
2020-07-17,19.55,19.61,19.28,19.38,-0.19,19.518,2460.0,37415.0,,,
2020-07-20,19.15,19.15,17.44,17.79,-1.59,18.098,3910.0,37745.0,,,340.0
2020-07-21,18.04,18.2,17.91,17.99,0.2,18.012,2690.0,38290.0,,,135.0
2020-07-22,18.18,18.58,17.95,18.18,0.19,18.142,2770.0,39160.0,,,
2020-07-23,18.61,18.78,18.5,18.56,0.38,18.675,2275.0,39320.0,,,125.0
2020-07-24,18.22,18.46,18.0,18.24,-0.32,18.207,2685.0,39970.0,,,135.0
2020-07-27,18.0,18.28,17.98,18.16,-0.08,18.151,1935.0,40380.0,,,150.0
2020-07-28,18.06,18.58,18.01,18.54,0.38,18.428,2040.0,40425.0,,,500.0
2020-07-29,18.8,19.35,18.74,19.04,0.5,19.065,1420.0,41660.0,,,50.0
2020-07-30,19.08,19.36,18.8,19.02,-0.02,19.077,2980.0,41755.0,,,125.0
