Date,Open,High,Low,Settle,Change,Wave,Volume,Prev. Day Open Interest,EFP Volume,EFS Volume,Block Volume
2020-05-18,,,,31.03,0.09,,830.0,27585.0,,,185.0
2020-05-19,30.85,30.85,30.85,30.77,-0.26,30.85,1095.0,27895.0,,,325.0
2020-05-20,30.75,30.75,30.65,30.58,-0.19,30.741,1410.0,28645.0,,,80.0
2020-05-21,30.15,30.15,29.4,29.35,-1.23,29.834,1505.0,29230.0,,,80.0
2020-05-22,28.25,28.33,28.25,28.68,-0.67,28.29,1015.0,29285.0,,,115.0
2020-05-25,,,,28.68,0.0,,,29430.0,,,
2020-05-26,29.5,29.55,29.01,29.54,0.86,29.513,945.0,29425.0,,,30.0
2020-05-27,29.25,29.25,29.02,28.98,-0.56,29.236,590.0,29715.0,,,20.0
2020-05-28,29.25,29.25,28.26,28.67,-0.31,28.763,1870.0,29880.0,,,50.0
2020-05-29,28.72,28.73,28.61,28.82,0.15,28.687,910.0,30390.0,,,200.0
2020-06-01,,,,28.04,-0.78,,1150.0,30605.0,,,45.0
2020-06-02,28.85,28.97,28.75,29.06,1.02,28.856,1560.0,31120.0,,,80.0
2020-06-03,29.2,29.44,29.2,29.44,0.38,29.28,825.0,31980.0,,,340.0
2020-06-04,29.25,29.75,29.25,29.63,0.19,29.288,1215.0,32080.0,100.0,,
2020-06-05,29.65,30.9,29.65,30.49,0.86,29.895,1635.0,32655.0,,,
2020-06-08,30.75,30.75,30.1,29.62,-0.87,30.568,1200.0,32810.0,,,
2020-06-09,29.25,29.3,29.11,29.21,-0.41,29.238,895.0,32845.0,,,600.0
2020-06-10,29.35,29.35,29.24,29.39,0.18,29.312,915.0,32180.0,,,
2020-06-11,29.35,29.65,29.35,29.42,0.03,29.494,940.0,32295.0,,,235.0
2020-06-12,29.62,29.62,29.2,29.32,-0.1,29.374,905.0,32625.0,,,300.0
2020-06-15,28.9,28.9,28.9,29.1,-0.22,28.9,640.0,32475.0,,,60.0
2020-06-16,29.25,29.4,28.94,29.14,0.04,29.185,1260.0,32655.0,,,410.0
2020-06-17,29.25,29.4,29.1,29.35,0.21,29.375,1305.0,33035.0,,,50.0
2020-06-18,29.7,30.3,29.7,30.25,0.9,29.978,1140.0,33555.0,1000.0,,400.0
2020-06-19,30.5,30.75,30.4,31.03,0.78,30.608,1515.0,32410.0,120.0,,10.0
2020-06-22,31.0,31.0,30.54,30.82,-0.21,30.733,1605.0,32765.0,,,10.0
2020-06-23,31.18,31.46,31.15,31.44,0.62,31.261,1415.0,33030.0,,,40.0
2020-06-24,31.2,31.4,31.09,31.12,-0.32,31.318,1210.0,33605.0,,,45.0
2020-06-25,30.9,30.9,30.3,30.34,-0.78,30.355,870.0,34060.0,,,
2020-06-26,30.81,30.81,30.81,30.52,0.18,30.81,870.0,34305.0,,,
2020-06-29,30.85,31.5,30.85,31.37,0.85,31.339,1110.0,34505.0,,,
2020-06-30,31.52,31.67,31.38,31.25,-0.12,31.53,1755.0,34940.0,,,370.0
2020-07-01,30.99,30.99,30.93,30.93,-0.32,30.949,735.0,35355.0,,,95.0
2020-07-02,30.91,31.44,30.84,30.85,-0.08,30.907,1590.0,35505.0,,,85.0
2020-07-03,30.49,31.35,30.49,31.21,0.36,31.152,1455.0,35265.0,,,100.0
2020-07-06,32.02,32.35,31.95,32.26,1.05,32.163,1475.0,35430.0,,,120.0
2020-07-07,32.7,33.11,32.53,32.61,0.35,32.818,1160.0,35515.0,,,50.0
2020-07-08,32.59,32.72,32.34,32.43,-0.18,32.495,1315.0,35375.0,,,
2020-07-09,32.29,32.36,31.84,31.89,-0.54,31.931,1500.0,35215.0,,,1200.0
