Date,Open,High,Low,Settle,Change,Wave,Volume,Prev. Day Open Interest,EFP Volume,EFS Volume,Block Volume
2020-05-18,35.1,35.1,35.04,35.2,0.26,35.085,810.0,25010.0,,,185.0
2020-05-19,35.15,35.15,35.15,35.05,-0.15,35.15,1150.0,25245.0,,,75.0
2020-05-20,35.3,35.3,34.76,34.9,-0.15,34.931,1470.0,25390.0,,,805.0
2020-05-21,34.65,34.65,33.92,33.8,-1.1,34.31,1315.0,26360.0,,,270.0
2020-05-22,32.6,32.71,32.6,33.07,-0.73,32.614,905.0,26910.0,,,375.0
2020-05-25,,,,33.07,0.0,,,26920.0,,,
2020-05-26,33.7,33.85,33.65,33.65,0.58,33.723,1005.0,26915.0,,,30.0
2020-05-27,33.2,33.2,33.05,33.23,-0.42,33.146,535.0,27100.0,,,20.0
2020-05-28,33.55,33.55,32.55,32.95,-0.28,33.07,1830.0,27255.0,,,50.0
2020-05-29,32.9,33.0,32.9,33.03,0.08,32.914,1015.0,28005.0,,,300.0
2020-06-01,32.4,32.79,32.4,32.4,-0.63,32.548,1180.0,28305.0,,,45.0
2020-06-02,32.75,33.11,32.75,32.95,0.55,32.946,1365.0,28545.0,,,80.0
2020-06-03,33.9,33.9,32.8,32.95,0.0,33.365,790.0,29145.0,,,340.0
2020-06-04,32.5,33.75,32.5,33.69,0.74,33.484,980.0,29195.0,100.0,,
2020-06-05,33.7,34.8,33.7,34.49,0.8,34.357,1305.0,29570.0,,,1050.0
2020-06-08,34.75,34.77,33.5,33.8,-0.69,33.942,1250.0,30805.0,,,
2020-06-09,33.5,33.5,33.19,33.12,-0.68,33.483,840.0,30715.0,,,600.0
2020-06-10,33.15,33.34,33.15,33.39,0.27,33.245,865.0,30910.0,,,
2020-06-11,33.55,33.85,33.4,33.42,0.03,33.588,750.0,31390.0,,,
2020-06-12,33.2,33.2,33.2,33.32,-0.1,33.2,795.0,31500.0,,,400.0
2020-06-15,33.0,33.0,32.49,32.8,-0.52,32.745,615.0,31545.0,,,60.0
2020-06-16,33.21,33.3,33.21,33.12,0.32,33.257,1000.0,31695.0,,,410.0
2020-06-17,33.5,33.5,33.5,33.34,0.22,33.5,1245.0,32235.0,,,50.0
2020-06-18,33.6,34.45,33.6,34.3,0.96,33.816,965.0,32875.0,1000.0,,250.0
2020-06-19,35.0,35.03,34.7,35.32,1.02,34.933,1370.0,32270.0,120.0,,10.0
2020-06-22,35.25,35.25,34.85,35.22,-0.1,35.128,1335.0,32525.0,,,10.0
2020-06-23,35.5,35.9,35.5,35.79,0.57,35.598,1000.0,33080.0,,,40.0
2020-06-24,35.8,35.85,35.4,35.44,-0.35,35.698,960.0,33375.0,,,45.0
2020-06-25,35.15,35.15,34.65,34.96,-0.48,34.807,915.0,33600.0,,,
2020-06-26,34.85,34.85,34.85,34.96,0.0,34.85,895.0,33980.0,,,
2020-06-29,35.5,36.2,35.5,36.12,1.16,36.028,1315.0,34105.0,,,
2020-06-30,36.08,36.37,36.08,36.0,-0.12,36.192,1630.0,34505.0,,,370.0
2020-07-01,35.75,35.81,35.7,35.78,-0.22,35.77,790.0,34680.0,,,95.0
2020-07-02,35.41,36.05,35.41,36.02,0.24,35.919,1290.0,34805.0,,,85.0
