Date,Open,High,Low,Last,Change,Settle,Volume,Previous Day Open Interest
2020-05-18,27.7,28.34,27.69,28.27,0.75,28.29,1787.0,16921.0
2020-05-19,28.29,28.52,27.92,28.07,0.22,28.07,2191.0,16513.0
2020-05-20,28.03,28.33,27.91,28.29,0.25,28.32,1323.0,16666.0
2020-05-21,28.27,28.48,28.01,28.08,0.23,28.09,1804.0,16644.0
2020-05-22,28.1,28.12,27.6,27.73,0.4,27.69,2443.0,16723.0
2020-05-26,27.77,28.42,27.77,28.31,0.65,28.34,1229.0,16913.0
2020-05-27,28.32,28.76,28.16,28.61,0.31,28.65,1742.0,16892.0
2020-05-28,28.61,28.7,28.04,28.37,0.22,28.43,2098.0,16974.0
2020-05-29,28.36,28.52,28.14,28.42,0.05,28.38,2422.0,17218.0
2020-06-01,28.35,28.79,28.15,28.64,0.25,28.63,2270.0,17377.0
2020-06-02,28.64,29.03,28.52,28.97,0.33,28.96,1806.0,18207.0
2020-06-03,29.0,29.19,28.79,28.9,0.09,28.87,1573.0,18168.0
2020-06-04,28.81,28.92,28.53,28.86,0.02,28.89,1944.0,18119.0
2020-06-05,28.81,29.49,28.78,29.38,0.37,29.26,1989.0,18434.0
2020-06-08,29.36,29.48,29.13,29.16,0.01,29.25,1929.0,18543.0
2020-06-09,29.22,29.49,29.1,29.4,0.13,29.38,3265.0,18897.0
2020-06-10,29.37,29.57,29.06,29.22,0.23,29.15,1733.0,19835.0
2020-06-11,29.27,29.27,28.62,28.64,0.47,28.68,2774.0,20413.0
2020-06-12,28.64,28.91,28.48,28.68,0.03,28.65,1962.0,21128.0
2020-06-15,28.55,28.85,28.15,28.84,0.19,28.84,3892.0,21540.0
2020-06-16,28.9,29.33,28.87,29.01,0.19,29.03,2908.0,22188.0
2020-06-17,29.01,29.29,28.82,29.13,0.12,29.15,2851.0,22432.0
2020-06-18,28.98,29.24,28.9,29.12,0.03,29.12,3041.0,23293.0
2020-06-19,29.15,29.73,29.05,29.46,0.44,29.56,3947.0,24312.0
2020-06-22,29.58,29.66,29.39,29.46,0.09,29.47,4403.0,25133.0
2020-06-23,29.45,29.53,28.99,29.27,0.18,29.29,5402.0,26645.0
2020-06-24,29.23,29.38,28.71,28.72,0.55,28.74,4788.0,28256.0
2020-06-25,28.72,28.75,28.44,28.6,0.1,28.64,5390.0,28016.0
2020-06-26,28.61,28.88,28.19,28.42,0.36,28.28,3886.0,27483.0
2020-06-29,28.26,28.8,27.94,28.61,0.38,28.66,4522.0,27588.0
2020-06-30,28.65,29.37,28.38,28.91,0.35,29.01,5970.0,27293.0
2020-07-01,28.96,29.26,28.9,29.19,0.2,29.21,6026.0,27182.0
2020-07-02,29.2,29.48,28.91,28.93,0.23,28.98,4541.0,28502.0
2020-07-06,29.09,29.61,29.08,29.42,0.48,29.46,2977.0,28280.0
2020-07-07,29.46,29.85,29.06,29.76,0.32,29.78,6212.0,28957.0
2020-07-08,29.76,29.81,29.29,29.47,0.32,29.46,7270.0,30339.0
2020-07-09,29.46,29.67,29.09,29.15,0.3,29.16,6419.0,31164.0
2020-07-10,29.14,29.4,28.89,29.06,0.07,29.09,4599.0,32229.0
2020-07-13,28.94,29.13,28.7,28.93,0.14,28.95,5047.0,32968.0
2020-07-14,28.98,29.46,28.64,29.38,0.38,29.33,5394.0,33034.0
2020-07-15,29.5,29.8,29.49,29.76,0.24,29.74,3173.0,44549.0
2020-07-16,29.61,30.18,29.54,30.01,0.45,30.04,8595.0,35129.0
2020-07-17,30.05,30.83,30.05,30.79,0.7,30.74,8108.0,36668.0
2020-07-20,30.84,31.26,30.63,30.63,,30.74,4251.0,37483.0
2020-07-21,30.67,31.04,30.57,30.86,0.15,30.89,3636.0,36989.0
2020-07-22,30.76,31.24,30.4,30.73,-0.15,30.74,3063.0,36432.0
2020-07-23,30.76,30.99,30.44,30.58,-0.16,30.58,3773.0,36317.0
2020-07-24,30.55,30.82,30.37,30.54,0.02,30.6,6679.0,37293.0
2020-07-27,30.48,30.71,30.15,30.37,-0.23,30.37,5287.0,38545.0
2020-07-28,30.22,30.25,29.78,30.12,-0.24,30.13,6841.0,38648.0
2020-07-29,30.16,30.5,30.06,30.28,0.13,30.26,3607.0,38777.0
2020-07-30,30.33,30.58,30.01,30.4,0.07,30.33,9927.0,38718.0
2020-07-31,30.35,30.97,30.31,30.89,0.6,30.93,8129.0,38998.0
2020-08-03,30.93,31.58,30.84,31.5,0.56,31.49,9675.0,39801.0
2020-08-04,31.5,31.91,31.16,31.22,-0.28,31.21,8363.0,40381.0
2020-08-05,31.28,31.42,30.99,31.23,0.09,31.3,13737.0,41009.0
2020-08-06,31.26,31.76,31.15,31.46,0.13,31.43,14180.0,44695.0
2020-08-07,31.52,31.57,30.87,30.95,-0.52,30.91,7345.0,47774.0
2020-08-10,30.87,31.13,30.69,30.94,,30.91,5526.0,48658.0
2020-08-11,30.73,31.05,30.6,30.72,-0.23,30.68,7541.0,49642.0
2020-08-12,30.61,31.76,30.47,31.68,1.03,31.71,9486.0,50309.0
2020-08-13,31.62,31.95,31.31,31.32,-0.36,31.35,5873.0,52173.0
2020-08-14,31.32,31.45,31.11,31.32,-0.11,31.24,3773.0,53023.0
