Date,Open,High,Low,Last,Change,Settle,Volume,Previous Day Open Interest
2020-05-18,27.76,28.45,27.73,28.4,0.75,28.42,2409.0,31178.0
2020-05-19,28.42,28.65,28.03,28.19,0.25,28.17,3199.0,31415.0
2020-05-20,28.12,28.45,28.03,28.4,0.25,28.42,1461.0,32561.0
2020-05-21,28.36,28.6,28.14,28.19,0.21,28.21,1149.0,32891.0
2020-05-22,28.15,28.22,27.73,27.87,0.37,27.84,2529.0,33174.0
2020-05-26,28.06,28.55,28.06,28.44,0.63,28.47,688.0,33710.0
2020-05-27,28.48,28.89,28.29,28.75,0.31,28.78,2048.0,33655.0
2020-05-28,28.72,28.83,28.18,28.49,0.24,28.54,1582.0,33351.0
2020-05-29,28.48,28.64,28.27,28.54,0.03,28.51,1029.0,33745.0
2020-06-01,28.61,28.92,28.3,28.78,0.26,28.77,2175.0,33784.0
2020-06-02,28.77,29.19,28.67,29.14,0.34,29.11,1964.0,33574.0
2020-06-03,29.24,29.33,28.94,29.05,0.08,29.03,1119.0,33776.0
2020-06-04,28.75,29.09,28.69,29.02,0.04,29.07,2404.0,33910.0
2020-06-05,29.25,29.64,29.0,29.56,0.36,29.43,1588.0,34377.0
2020-06-08,29.47,29.65,29.3,29.34,,29.43,1722.0,34482.0
2020-06-09,29.4,29.63,29.28,29.57,0.13,29.56,3060.0,34948.0
2020-06-10,29.58,29.73,29.24,29.39,0.23,29.33,910.0,35296.0
2020-06-11,29.38,29.39,28.8,28.82,0.47,28.86,1820.0,35236.0
2020-06-12,28.91,29.08,28.67,28.86,0.02,28.84,1154.0,35387.0
2020-06-15,28.74,29.02,28.36,29.0,0.17,29.01,2067.0,35460.0
2020-06-16,29.04,29.48,29.04,29.18,0.18,29.19,2403.0,35477.0
2020-06-17,29.18,29.46,28.97,29.29,0.12,29.31,2252.0,36058.0
2020-06-18,29.27,29.4,29.08,29.29,0.03,29.28,2255.0,36641.0
2020-06-19,29.33,29.87,29.21,29.64,0.44,29.72,2814.0,37305.0
2020-06-22,29.75,29.82,29.56,29.6,0.09,29.63,1663.0,37274.0
2020-06-23,29.61,29.68,29.13,29.41,0.19,29.44,3069.0,36991.0
2020-06-24,29.5,29.53,28.9,28.91,0.51,28.93,2821.0,37568.0
2020-06-25,28.9,28.92,28.62,28.79,0.11,28.82,2518.0,37966.0
2020-06-26,28.85,29.07,28.35,28.59,0.36,28.46,2248.0,37489.0
2020-06-29,28.46,28.97,28.14,28.78,0.38,28.84,2725.0,37656.0
2020-06-30,28.82,29.53,28.55,29.04,0.32,29.16,6752.0,37656.0
2020-07-01,29.09,29.39,29.05,29.3,0.17,29.33,5140.0,37538.0
2020-07-02,29.33,29.6,29.08,29.1,0.19,29.14,6186.0,37974.0
2020-07-06,29.31,29.76,29.24,29.56,0.46,29.6,4420.0,38535.0
2020-07-07,29.59,29.97,29.21,29.88,0.32,29.92,4865.0,38271.0
2020-07-08,29.77,29.95,29.45,29.63,0.28,29.64,8193.0,38819.0
2020-07-09,29.64,29.85,29.26,29.32,0.3,29.34,8045.0,40970.0
2020-07-10,29.26,29.56,29.07,29.23,0.07,29.27,5286.0,41308.0
2020-07-13,29.11,29.3,28.88,29.1,0.16,29.11,6851.0,41822.0
2020-07-14,29.11,29.63,28.81,29.53,0.39,29.5,5955.0,43279.0
2020-07-15,29.61,29.92,29.61,29.87,0.23,29.86,2527.0,31829.0
2020-07-16,29.78,30.31,29.67,30.14,0.44,30.18,6626.0,44505.0
2020-07-17,30.19,30.95,30.18,30.89,0.68,30.86,3946.0,45018.0
2020-07-20,31.06,31.39,30.8,30.8,0.04,30.9,3802.0,45190.0
2020-07-21,30.83,31.18,30.73,31.0,0.15,31.05,3540.0,45823.0
2020-07-22,30.97,31.39,30.57,30.88,-0.16,30.89,3466.0,46677.0
2020-07-23,30.9,31.15,30.57,30.74,-0.16,30.73,2173.0,47220.0
2020-07-24,30.75,30.97,30.53,29.77,,30.73,3744.0,47483.0
2020-07-27,30.6,30.87,30.27,30.51,-0.22,30.51,4047.0,48209.0
2020-07-28,30.31,30.4,29.91,30.25,-0.25,30.26,4516.0,48727.0
2020-07-29,30.29,30.63,30.16,30.43,0.14,30.4,3291.0,49174.0
2020-07-30,30.48,30.71,30.15,30.51,0.05,30.45,7932.0,49492.0
2020-07-31,30.49,31.08,30.43,31.01,0.59,31.04,5810.0,50898.0
2020-08-03,31.04,31.69,30.94,31.62,0.56,31.6,6993.0,50956.0
2020-08-04,31.6,32.0,31.25,31.31,-0.3,31.3,9432.0,51521.0
2020-08-05,31.36,31.5,31.08,31.32,0.07,31.37,8155.0,51636.0
2020-08-06,31.32,31.8,31.21,31.53,0.11,31.48,10529.0,51994.0
2020-08-07,31.55,31.64,30.94,31.03,-0.49,30.99,8152.0,52289.0
2020-08-10,30.97,31.2,30.75,31.01,,30.99,4840.0,53878.0
2020-08-11,30.89,31.14,30.69,30.82,-0.21,30.78,5494.0,53791.0
2020-08-12,30.78,31.83,30.59,31.75,1.01,31.79,7629.0,54079.0
2020-08-13,31.7,32.03,31.38,31.38,-0.37,31.42,4256.0,55020.0
2020-08-14,31.42,31.52,31.2,31.37,-0.11,31.31,2941.0,55086.0
2020-08-17,31.31,31.97,31.31,31.67,0.47,31.78,6085.0,55054.0
2020-08-18,31.68,32.2,31.62,32.14,0.38,32.16,6430.0,55342.0
2020-08-19,32.13,32.46,32.05,32.24,0.09,32.25,5465.0,56310.0
2020-08-20,32.26,32.26,31.69,31.76,-0.43,31.82,3776.0,56601.0
2020-08-21,31.67,31.97,31.59,31.93,0.11,31.93,4034.0,56702.0
2020-08-24,31.97,32.33,31.8,32.13,0.24,32.17,5690.0,57239.0
2020-08-25,32.17,32.63,31.98,32.49,0.35,32.52,5230.0,57850.0
2020-08-26,32.52,32.93,32.48,32.69,0.21,32.73,6144.0,59079.0
2020-08-27,32.8,33.95,32.7,33.62,0.93,33.66,7597.0,60356.0
2020-08-28,33.89,34.01,33.12,33.32,-0.26,33.4,8129.0,60285.0
2020-08-31,33.5,34.16,33.02,33.1,-0.29,33.11,8917.0,60825.0
2020-09-01,33.15,33.67,32.94,33.11,0.02,33.13,8603.0,61323.0
2020-09-02,33.24,33.8,32.96,33.8,0.63,33.76,8115.0,62521.0
2020-09-03,33.76,34.13,33.35,33.58,-0.2,33.56,7892.0,64168.0
2020-09-04,33.51,33.72,33.05,33.08,-0.4,33.16,10161.0,65847.0
2020-09-08,33.44,34.0,33.08,33.76,0.54,33.7,15718.0,67240.0
2020-09-09,,33.84,33.36,33.53,-0.16,33.54,13565.0,68048.0
2020-09-10,33.45,33.72,33.38,33.52,-0.03,33.51,10916.0,68230.0
2020-09-11,33.6,34.12,33.44,34.03,0.46,33.97,14866.0,68296.0
2020-09-14,33.78,34.78,33.73,34.53,0.55,34.52,14876.0,69881.0
2020-09-15,34.52,34.91,34.27,34.26,-0.18,34.34,8441.0,71098.0
2020-09-16,34.36,35.11,34.19,34.92,0.64,34.98,13212.0,71539.0
2020-09-17,34.95,35.24,34.81,34.96,0.01,34.99,12474.0,71559.0
2020-09-18,34.99,35.64,34.81,35.06,0.08,35.07,15986.0,71397.0
2020-09-21,35.0,35.35,34.14,34.2,-0.79,34.28,15047.0,72406.0
2020-09-22,34.24,34.51,33.65,33.78,-0.51,33.77,12177.0,72483.0
2020-09-23,33.77,33.9,32.77,32.95,-0.8,32.97,11761.0,72962.0
2020-09-24,32.97,33.02,32.24,32.58,-0.37,32.6,8603.0,73598.0
2020-09-25,32.62,33.15,32.43,32.88,0.34,32.94,8135.0,73726.0
2020-09-28,32.84,33.25,32.57,33.14,0.24,33.18,7517.0,73521.0
2020-09-29,33.09,33.31,32.44,32.82,-0.36,32.82,8555.0,72708.0
2020-09-30,32.9,33.5,32.3,33.28,0.45,33.27,16794.0,73647.0
2020-10-01,33.36,33.54,32.54,32.62,-0.65,32.62,11441.0,73920.0
2020-10-02,32.64,32.66,31.75,31.84,-0.72,31.9,10749.0,74774.0
2020-10-05,31.88,32.78,31.71,32.78,0.82,32.72,7999.0,74799.0
2020-10-06,32.79,33.38,32.79,33.14,0.45,33.17,15580.0,75149.0
2020-10-07,33.08,33.45,32.86,32.97,-0.18,32.99,23214.0,74908.0
2020-10-08,32.98,33.33,32.75,33.25,-0.01,32.98,21523.0,75312.0
2020-10-09,32.78,34.22,32.77,33.98,0.96,33.94,21478.0,75579.0
2020-10-12,33.95,34.39,33.12,33.19,-0.76,33.18,10057.0,76991.0
2020-10-13,33.55,33.69,33.05,33.62,0.44,33.62,10021.0,77607.0
2020-10-14,33.62,33.95,33.39,33.79,0.17,33.79,12711.0,78980.0
2020-10-15,33.88,33.99,32.77,33.07,-0.69,33.1,11219.0,78377.0
2020-10-16,33.08,33.55,32.91,32.95,-0.14,32.96,14199.0,77992.0
2020-10-19,33.02,33.08,32.31,32.75,-0.42,32.54,12562.0,78819.0
2020-10-20,32.56,33.41,32.33,33.3,0.76,33.3,9270.0,78074.0
2020-10-21,33.41,33.75,33.01,33.06,-0.22,33.08,11843.0,78877.0
2020-10-22,33.05,33.51,32.56,33.65,0.35,33.43,26841.0,78802.0
2020-10-23,33.54,33.87,33.21,33.8,0.34,33.77,16314.0,79872.0
2020-10-26,33.8,34.42,33.69,33.9,0.19,33.96,18735.0,81006.0
2020-10-27,33.85,34.12,33.6,33.95,-0.29,33.67,10557.0,82161.0
2020-10-28,33.68,33.72,32.96,33.04,-0.59,33.08,17164.0,82147.0
2020-10-29,33.08,33.22,32.59,32.87,-0.37,32.71,13191.0,81349.0
2020-10-30,32.77,33.34,32.61,33.33,0.53,33.24,13968.0,81389.0
2020-11-02,33.16,33.16,32.71,32.95,-0.35,32.89,13058.0,82207.0
2020-11-03,32.93,33.66,32.88,33.59,0.57,33.46,10460.0,81631.0
2020-11-04,33.43,34.22,33.1,34.13,0.67,34.13,14358.0,81909.0
2020-11-05,34.15,35.23,34.08,34.97,0.84,34.97,23767.0,81551.0
2020-11-06,34.97,35.32,34.66,35.03,0.02,34.99,22066.0,82043.0
2020-11-09,35.09,35.85,34.85,35.26,0.27,35.26,26962.0,82118.0
2020-11-10,35.31,35.88,35.01,36.16,0.58,35.84,25804.0,85188.0
2020-11-11,35.94,36.94,35.86,36.79,0.97,36.81,29936.0,86607.0
2020-11-12,36.81,36.92,36.34,36.65,-0.16,36.65,19901.0,86742.0
2020-11-13,36.65,37.1,36.22,36.64,0.04,36.69,23662.0,87449.0
2020-11-16,36.71,37.15,36.43,37.03,0.33,37.02,16570.0,89417.0
2020-11-17,37.06,37.52,36.92,37.02,0.02,37.04,22014.0,91646.0
2020-11-18,37.05,38.18,36.97,37.82,0.82,37.86,28534.0,91963.0
2020-11-19,37.77,38.28,37.36,38.4,0.27,38.13,23336.0,96350.0
2020-11-20,38.33,38.6,37.72,38.26,-0.14,37.99,25490.0,97713.0
2020-11-23,38.18,38.52,37.78,38.21,0.22,38.21,31299.0,99735.0
2020-11-24,38.29,38.32,37.21,37.88,-0.6,37.61,39300.0,105609.0
2020-11-25,37.91,38.07,37.51,37.6,0.04,37.65,39442.0,107536.0
2020-11-27,37.81,38.38,37.69,38.2,0.54,38.19,18562.0,114001.0
2020-11-30,38.37,38.38,37.21,37.31,-0.92,37.27,29134.0,115375.0
2020-12-01,37.36,37.74,36.79,37.15,-0.41,36.86,30274.0,116385.0
2020-12-02,36.95,37.09,36.42,36.99,-0.09,36.77,35115.0,119343.0
2020-12-03,36.9,37.58,36.73,37.4,0.74,37.51,28513.0,120226.0
2020-12-04,37.42,38.27,37.34,38.3,0.62,38.13,32944.0,123176.0
2020-12-07,38.16,38.16,37.53,37.84,-0.28,37.85,34076.0,127578.0
2020-12-08,37.86,37.87,37.15,37.5,-0.56,37.29,39173.0,133644.0
2020-12-09,37.26,37.78,37.25,37.73,0.43,37.72,47864.0,139819.0
2020-12-10,37.73,38.59,37.64,37.67,0.21,37.93,51273.0,155576.0
2020-12-11,37.92,38.35,37.82,38.34,0.13,38.06,36520.0,169265.0
2020-12-14,38.11,38.76,38.11,38.76,0.46,38.52,33281.0,181162.0
2020-12-15,38.35,38.66,37.84,38.63,0.32,38.6,16297.0,86985.0
2020-12-16,38.93,39.06,38.58,38.7,-0.19,38.72,39199.0,185326.0
2020-12-17,38.72,39.53,38.64,39.57,0.78,39.5,54920.0,189703.0
2020-12-18,39.48,39.86,39.32,39.57,0.17,39.67,49974.0,192341.0
2020-12-21,39.63,39.81,38.72,39.49,-0.12,39.55,68104.0,197917.0
2020-12-22,39.6,40.1,39.23,40.1,0.41,39.96,62918.0,200346.0
2020-12-23,40.05,41.0,39.7,40.6,0.65,40.61,74043.0,202328.0
2020-12-24,40.59,41.25,40.54,41.09,0.52,41.13,39464.0,204864.0
2020-12-28,41.36,41.39,40.56,41.05,-0.08,41.05,62651.0,205824.0
2020-12-29,41.0,41.94,40.64,41.89,0.7,41.75,64441.0,208191.0
2020-12-30,41.86,41.98,41.25,42.09,0.11,41.86,63567.0,211099.0
2020-12-31,41.86,42.65,41.72,42.44,0.54,42.4,46370.0,211263.0
2021-01-04,42.5,44.07,41.75,42.37,-0.27,42.13,108233.0,212138.0
2021-01-05,42.23,43.99,42.13,43.82,1.47,43.6,83722.0,210327.0
2021-01-06,43.84,44.69,43.65,43.99,0.24,43.84,77391.0,209136.0
2021-01-07,43.93,44.18,43.09,43.79,-0.05,43.79,65475.0,204562.0
2021-01-08,43.79,44.18,43.43,43.67,-0.2,43.59,58535.0,202898.0
2021-01-11,43.66,44.05,42.5,42.79,-0.96,42.63,67207.0,201554.0
2021-01-12,42.67,43.05,41.85,42.63,,42.63,71239.0,195297.0
2021-01-13,42.65,43.43,41.96,42.25,-0.45,42.18,48046.0,196881.0
2021-01-14,42.2,43.21,41.3,43.11,0.93,43.11,73191.0,194216.0
2021-01-15,43.17,43.32,41.48,42.15,-1.26,41.85,76694.0,190312.0
2021-01-19,41.99,42.31,41.01,41.7,-0.15,41.7,64324.0,188973.0
2021-01-20,41.72,42.67,41.03,42.67,0.84,42.54,63026.0,185212.0
2021-01-21,42.52,43.53,42.32,43.3,0.89,43.43,50959.0,182742.0
2021-01-22,43.3,43.46,42.08,42.21,-1.16,42.27,64138.0,180728.0
2021-01-25,42.15,43.68,41.92,43.17,0.67,42.94,63422.0,179477.0
2021-01-26,43.09,44.23,42.65,43.91,0.97,43.91,52259.0,182077.0
2021-01-27,44.07,45.43,44.05,44.75,0.61,44.52,61565.0,178953.0
2021-01-28,44.57,45.33,44.01,44.82,0.13,44.65,66972.0,177510.0
2021-01-29,44.76,45.58,44.23,44.85,-0.03,44.62,65108.0,172553.0
2021-02-01,44.75,45.38,44.13,45.03,0.35,44.97,55314.0,169084.0
2021-02-02,45.4,45.47,44.23,44.54,-0.65,44.32,48949.0,164105.0
2021-02-03,44.4,44.57,43.33,44.54,0.16,44.48,51517.0,161296.0
2021-02-04,44.48,45.22,44.19,44.92,0.46,44.94,41219.0,158706.0
2021-02-05,44.83,45.18,44.54,44.95,-0.28,44.66,51720.0,155449.0
2021-02-08,44.89,45.77,44.66,45.7,0.97,45.63,58497.0,143166.0
2021-02-09,45.67,46.67,45.6,46.52,0.89,46.52,69086.0,126891.0
2021-02-10,46.58,46.66,45.51,45.84,-0.83,45.69,62567.0,108578.0
