Date,Open,High,Low,Last,Change,Settle,Volume,Previous Day Open Interest
2020-05-18,26.61,27.4,26.61,27.33,0.74,27.32,54155.0,177486.0
2020-05-19,27.33,27.56,26.95,27.12,0.23,27.09,51297.0,177435.0
2020-05-20,27.07,27.4,26.92,27.36,0.27,27.36,47012.0,172944.0
2020-05-21,27.25,27.55,27.05,27.12,0.25,27.11,48451.0,171578.0
2020-05-22,27.14,27.14,26.58,26.69,0.47,26.64,49531.0,169145.0
2020-05-26,26.74,27.36,26.71,27.24,0.63,27.27,56596.0,166400.0
2020-05-27,27.22,27.74,27.06,27.59,0.33,27.6,62544.0,165343.0
2020-05-28,27.57,27.66,26.99,27.35,0.21,27.39,52245.0,163359.0
2020-05-29,27.35,27.51,27.14,27.48,0.01,27.38,48311.0,158776.0
2020-06-01,27.36,27.8,27.12,27.61,0.22,27.6,63122.0,157139.0
2020-06-02,27.6,28.01,27.48,27.96,0.34,27.94,51067.0,158657.0
2020-06-03,27.97,28.2,27.78,27.9,0.08,27.86,42557.0,158006.0
2020-06-04,27.84,27.86,27.5,27.8,0.04,27.82,44134.0,154414.0
2020-06-05,27.72,28.4,27.67,28.26,0.32,28.14,60930.0,150442.0
2020-06-08,28.27,28.36,27.98,28.1,0.04,28.1,46241.0,146426.0
2020-06-09,28.02,28.36,27.94,28.29,0.13,28.23,55187.0,136354.0
2020-06-10,28.24,28.47,27.91,28.08,0.23,28.0,52817.0,121868.0
2020-06-11,28.06,28.13,27.46,27.49,0.5,27.5,61265.0,116829.0
2020-06-12,27.5,27.78,27.3,27.54,,27.5,58677.0,107128.0
2020-06-15,27.4,27.77,27.01,27.77,0.24,27.74,54265.0,98379.0
2020-06-16,27.8,28.28,27.76,28.14,0.25,27.99,60565.0,93333.0
2020-06-17,27.96,28.27,27.75,28.09,0.11,28.1,48227.0,80389.0
2020-06-18,28.06,28.2,27.81,28.11,0.04,28.06,43139.0,74875.0
2020-06-19,28.14,28.68,28.01,28.44,0.46,28.52,54886.0,70513.0
2020-06-22,28.52,28.63,28.31,28.34,0.17,28.35,30404.0,65405.0
2020-06-23,28.35,28.42,27.89,28.2,0.18,28.17,50226.0,59848.0
2020-06-24,28.19,28.28,27.62,27.65,0.52,27.65,43263.0,53945.0
2020-06-25,27.64,27.67,27.36,27.54,0.11,27.54,49361.0,45191.0
2020-06-26,27.56,27.8,27.11,27.34,0.34,27.2,48522.0,33087.0
2020-06-29,27.21,27.72,26.87,27.6,0.42,27.62,32128.0,20373.0
2020-06-30,27.62,28.31,27.4,27.91,0.36,27.98,3325.0,5023.0
2020-07-01,27.89,28.25,27.89,28.19,0.23,28.21,1261.0,2177.0
2020-07-02,28.21,28.45,27.91,27.93,0.25,27.96,948.0,1320.0
2020-07-06,28.07,28.52,28.07,28.47,0.46,28.42,236.0,1032.0
2020-07-07,28.27,28.8,28.27,28.8,0.34,28.76,150.0,622.0
2020-07-08,28.78,28.82,28.41,28.46,0.3,28.46,406.0,486.0
2020-07-09,,28.57,28.24,28.24,0.27,28.19,98.0,193.0
2020-07-10,,28.28,28.04,28.07,0.08,28.11,2.0,69.0
2020-07-13,27.88,27.88,27.76,27.78,0.14,27.97,57.0,53.0
2020-07-14,,,,,0.51,28.48,250.0,25.0
2020-07-15,28.46,28.83,28.46,28.83,0.34,28.8,32776.0,49209.0
