Date,Open,High,Low,Last,Change,Settle,Volume,Previous Day Open Interest
2020-05-18,26.83,27.57,26.81,27.51,0.75,27.51,13278.0,51562.0
2020-05-19,27.53,27.74,27.14,27.3,0.23,27.28,5806.0,50228.0
2020-05-20,27.28,27.57,27.11,27.52,0.25,27.53,9312.0,50110.0
2020-05-21,27.38,27.72,27.23,27.3,0.23,27.3,6182.0,52722.0
2020-05-22,27.3,27.32,26.77,26.87,0.48,26.82,9404.0,52738.0
2020-05-26,26.95,27.54,26.92,27.42,0.63,27.45,9046.0,52909.0
2020-05-27,27.41,27.91,27.25,27.76,0.34,27.79,9715.0,52476.0
2020-05-28,27.75,27.85,27.18,27.53,0.22,27.57,13941.0,52099.0
2020-05-29,27.53,27.68,27.31,27.58,0.02,27.55,9033.0,55406.0
2020-06-01,27.54,27.96,27.3,27.75,0.23,27.78,18468.0,55567.0
2020-06-02,27.79,28.19,27.66,28.14,0.34,28.12,11532.0,54359.0
2020-06-03,28.18,28.36,27.97,28.08,0.07,28.05,10156.0,53225.0
2020-06-04,28.01,28.03,27.68,27.99,0.04,28.01,7686.0,52993.0
2020-06-05,27.91,28.59,27.86,28.46,0.32,28.33,11504.0,51823.0
2020-06-08,28.46,28.56,28.18,28.22,0.04,28.29,5986.0,52483.0
2020-06-09,28.22,28.55,28.14,28.46,0.12,28.41,12565.0,52414.0
2020-06-10,28.41,28.64,28.11,28.25,0.22,28.19,9557.0,51383.0
2020-06-11,28.25,28.32,27.66,27.7,0.5,27.69,11531.0,52946.0
2020-06-12,27.77,27.97,27.5,27.75,0.01,27.7,22289.0,54504.0
2020-06-15,27.66,27.96,27.22,27.97,0.24,27.94,16387.0,54791.0
2020-06-16,27.97,28.47,27.96,28.3,0.24,28.18,25189.0,55239.0
2020-06-17,28.14,28.45,27.94,28.26,0.1,28.28,13352.0,56535.0
2020-06-18,28.27,28.38,28.01,28.3,0.03,28.25,12756.0,54398.0
2020-06-19,28.32,28.87,28.2,28.61,0.45,28.7,20032.0,53451.0
2020-06-22,28.77,28.81,28.5,28.53,0.15,28.55,17588.0,54614.0
2020-06-23,28.53,28.61,28.07,28.36,0.18,28.37,31590.0,56130.0
2020-06-24,28.36,28.47,27.81,27.85,0.52,27.85,31254.0,57665.0
2020-06-25,27.85,27.87,27.55,27.74,0.11,27.74,39654.0,56119.0
2020-06-26,27.73,28.0,27.32,27.55,0.33,27.41,38999.0,57376.0
2020-06-29,27.44,27.92,27.07,27.76,0.37,27.78,41692.0,55907.0
2020-06-30,27.73,28.53,27.52,28.08,0.36,28.14,39432.0,61080.0
2020-07-01,28.14,28.43,28.0,28.35,0.22,28.36,26182.0,59891.0
2020-07-02,28.35,28.62,28.01,28.07,0.27,28.09,18179.0,57531.0
2020-07-06,28.19,28.7,28.18,28.52,0.45,28.54,18910.0,56599.0
2020-07-07,28.5,28.95,28.17,28.86,0.33,28.87,21049.0,55636.0
2020-07-08,28.85,28.93,28.39,28.56,0.32,28.55,21330.0,55070.0
2020-07-09,28.57,28.77,28.23,28.29,0.26,28.29,17092.0,54529.0
2020-07-10,28.26,28.51,28.03,28.19,0.07,28.22,17624.0,54888.0
2020-07-13,28.09,28.26,27.83,28.12,0.14,28.08,19243.0,54048.0
2020-07-14,28.12,28.61,27.78,28.54,0.38,28.46,22683.0,51982.0
2020-07-15,28.62,28.98,28.62,28.95,0.33,28.94,24353.0,49210.0
2020-07-16,28.8,29.4,28.75,29.25,0.47,29.27,27023.0,49047.0
2020-07-17,29.27,30.0,29.26,29.95,0.65,29.92,32301.0,45367.0
2020-07-20,30.1,30.44,29.81,29.87,0.01,29.93,24442.0,41979.0
2020-07-21,29.86,30.21,29.75,30.05,0.14,30.07,22775.0,39123.0
2020-07-22,29.91,30.44,29.6,29.95,-0.14,29.93,21778.0,36417.0
2020-07-23,29.93,30.2,29.62,29.78,-0.14,29.79,13191.0,34963.0
2020-07-24,29.76,30.06,29.58,29.75,0.01,29.8,21679.0,34894.0
2020-07-27,29.69,29.95,29.36,29.6,-0.2,29.6,28184.0,30091.0
2020-07-28,29.47,29.5,29.04,29.4,-0.18,29.42,28684.0,23306.0
2020-07-29,29.4,29.78,29.31,29.77,0.25,29.67,31300.0,15713.0
2020-07-30,29.82,30.23,29.59,30.2,0.31,29.98,7953.0,6858.0
2020-07-31,30.26,30.94,30.21,30.9,0.93,30.91,1716.0,3562.0
2020-08-03,30.9,31.74,30.9,31.73,0.76,31.67,1086.0,1836.0
2020-08-04,31.67,31.74,31.38,31.55,-0.14,31.53,309.0,1062.0
2020-08-05,31.7,31.7,31.37,31.67,0.17,31.7,259.0,862.0
2020-08-06,31.49,31.86,31.46,31.53,-0.18,31.52,108.0,583.0
2020-08-07,31.03,31.46,31.03,31.46,-0.17,31.35,88.0,491.0
2020-08-10,31.27,31.36,31.27,31.28,-0.16,31.19,32.0,382.0
2020-08-11,31.19,31.19,31.09,31.12,-0.13,31.06,24.0,380.0
2020-08-12,31.62,31.62,31.62,31.62,0.94,32.0,2.0,370.0
2020-08-13,31.75,31.92,31.75,31.86,-0.4,31.6,11.0,370.0
2020-08-14,,,,,-0.07,31.53,34.0,370.0
