Date,Open,High,Low,Last,Change,Settle,Volume,Previous Day Open Interest
2020-05-18,27.15,27.87,27.12,27.8,0.74,27.8,2656.0,21323.0
2020-05-19,27.83,28.03,27.45,27.59,0.22,27.58,2658.0,21232.0
2020-05-20,27.58,27.86,27.44,27.82,0.26,27.84,3008.0,21460.0
2020-05-21,27.76,28.03,27.53,27.6,0.23,27.61,3010.0,21747.0
2020-05-22,27.64,27.64,27.09,27.18,0.46,27.15,3764.0,22660.0
2020-05-26,27.27,27.86,27.26,27.75,0.64,27.79,4004.0,23101.0
2020-05-27,27.75,28.22,27.62,28.08,0.33,28.12,2976.0,23314.0
2020-05-28,28.14,28.15,27.51,27.84,0.23,27.89,2463.0,23295.0
2020-05-29,27.88,28.0,27.66,27.88,0.02,27.87,2437.0,22828.0
2020-06-01,27.86,28.28,27.63,28.14,0.25,28.12,4705.0,22629.0
2020-06-02,28.01,28.53,28.0,28.46,0.33,28.45,2151.0,23750.0
2020-06-03,28.55,28.69,28.12,28.41,0.08,28.37,4617.0,23817.0
2020-06-04,28.2,28.37,28.02,28.31,0.02,28.35,2978.0,23356.0
2020-06-05,28.3,28.94,28.29,28.8,0.35,28.7,3906.0,23042.0
2020-06-08,28.76,28.89,28.55,28.59,0.04,28.66,1750.0,22377.0
2020-06-09,28.64,28.9,28.51,28.81,0.11,28.77,3710.0,21943.0
2020-06-10,28.8,28.99,28.48,28.62,0.21,28.56,4274.0,22614.0
2020-06-11,28.66,28.68,28.03,28.04,0.5,28.06,4029.0,22161.0
2020-06-12,28.13,28.32,27.88,28.07,0.01,28.05,5698.0,22596.0
2020-06-15,27.96,28.28,27.58,28.28,0.21,28.26,6548.0,22893.0
2020-06-16,28.31,28.77,28.3,29.09,0.22,28.48,3712.0,22807.0
2020-06-17,28.47,28.73,28.27,28.57,0.1,28.58,6693.0,22908.0
2020-06-18,28.57,28.67,28.33,27.6,0.03,28.55,4535.0,23735.0
2020-06-19,28.53,29.16,28.51,28.91,0.45,29.0,3778.0,23777.0
2020-06-22,29.03,29.07,28.81,28.86,0.12,28.88,4485.0,23360.0
2020-06-23,28.86,28.92,28.44,28.69,0.18,28.7,6458.0,24224.0
2020-06-24,28.66,28.79,28.15,28.16,0.52,28.18,3388.0,23996.0
2020-06-25,28.18,28.2,27.89,28.06,0.09,28.09,5257.0,24519.0
2020-06-26,28.07,28.33,27.67,27.88,0.34,27.75,5144.0,25097.0
2020-06-29,27.75,28.26,27.42,28.08,0.37,28.12,4515.0,25089.0
2020-06-30,28.12,28.86,27.85,28.39,0.35,28.47,4317.0,25103.0
2020-07-01,28.41,28.74,28.37,28.64,0.22,28.69,4809.0,25350.0
2020-07-02,28.67,28.95,28.35,28.39,0.27,28.42,3344.0,26268.0
2020-07-06,28.59,29.04,28.5,28.84,0.46,28.88,4187.0,26467.0
2020-07-07,28.84,29.29,28.49,29.2,0.34,29.22,8670.0,26704.0
2020-07-08,29.15,29.27,28.73,28.87,0.34,28.88,4297.0,28808.0
2020-07-09,28.89,29.09,28.55,28.6,0.28,28.6,4118.0,28838.0
2020-07-10,28.55,28.83,28.33,28.5,0.07,28.53,4120.0,29189.0
2020-07-13,28.39,28.57,28.13,28.38,0.15,28.38,3742.0,29123.0
2020-07-14,28.31,28.91,28.09,28.83,0.39,28.77,4663.0,29617.0
2020-07-15,29.09,29.42,29.07,29.39,0.28,29.37,50866.0,163780.0
2020-07-16,29.09,29.68,29.02,29.53,0.47,29.54,6916.0,28840.0
2020-07-17,29.57,30.31,29.56,30.27,0.69,30.23,10324.0,29863.0
2020-07-20,30.37,30.75,30.11,30.11,-0.01,30.22,5689.0,30026.0
2020-07-21,30.18,30.51,30.05,30.32,0.14,30.36,11040.0,29862.0
2020-07-22,30.19,30.71,29.87,30.19,-0.15,30.21,5983.0,32314.0
2020-07-23,30.21,30.47,29.9,30.03,-0.16,30.05,7022.0,32506.0
2020-07-24,30.01,30.3,29.84,30.0,-0.01,30.04,7639.0,33181.0
2020-07-27,29.95,30.21,29.6,29.81,-0.21,29.83,7349.0,34545.0
2020-07-28,29.65,29.74,29.26,29.6,-0.2,29.63,7947.0,35179.0
2020-07-29,29.67,30.0,29.53,29.83,0.14,29.77,12289.0,34321.0
2020-07-30,29.92,30.16,29.6,30.0,0.15,29.92,15477.0,36728.0
2020-07-31,29.85,30.55,29.85,30.47,0.59,30.51,12963.0,34258.0
2020-08-03,30.48,31.26,30.39,31.18,0.64,31.15,20139.0,35606.0
2020-08-04,31.1,31.62,30.85,30.9,-0.25,30.9,11960.0,35360.0
2020-08-05,30.98,31.1,30.68,31.0,0.1,31.0,11613.0,35704.0
2020-08-06,31.0,31.49,30.82,31.19,0.16,31.16,13214.0,35730.0
2020-08-07,31.21,31.3,30.59,30.74,-0.45,30.71,9753.0,35469.0
2020-08-10,30.71,30.87,30.48,30.79,-0.07,30.64,9270.0,35521.0
2020-08-11,30.57,30.83,30.37,30.49,-0.18,30.46,10635.0,34586.0
2020-08-12,30.49,31.47,30.25,31.42,0.97,31.43,10780.0,34964.0
2020-08-13,31.39,31.69,31.04,31.04,-0.35,31.08,10006.0,34479.0
2020-08-14,31.07,31.18,30.84,31.05,-0.11,30.97,4299.0,35081.0
2020-08-17,31.07,31.5,31.01,31.21,0.34,31.31,12750.0,35152.0
2020-08-18,31.22,31.69,31.18,31.64,0.34,31.65,9296.0,36392.0
2020-08-19,31.63,31.95,31.55,31.7,0.07,31.72,7428.0,39016.0
2020-08-20,31.72,31.75,31.18,31.28,-0.4,31.32,9580.0,39792.0
2020-08-21,31.26,31.48,31.13,31.48,0.14,31.46,7527.0,39806.0
2020-08-24,31.49,31.89,31.33,31.92,0.28,31.74,12377.0,40490.0
2020-08-25,31.73,32.2,31.58,32.06,0.33,32.07,14241.0,42039.0
2020-08-26,32.06,32.51,32.04,32.27,0.23,32.3,17448.0,43869.0
2020-08-27,32.37,33.62,32.27,33.31,1.01,33.31,32680.0,45360.0
2020-08-28,33.4,33.69,32.79,33.25,-0.21,33.1,21808.0,48617.0
2020-08-31,33.18,33.94,32.64,32.93,-0.37,32.73,16840.0,53437.0
2020-09-01,32.79,33.3,32.54,32.81,0.03,32.76,11645.0,53185.0
2020-09-02,32.93,33.44,32.6,33.41,0.63,33.39,7867.0,51998.0
2020-09-03,33.41,33.79,32.98,33.24,-0.25,33.14,12985.0,52044.0
2020-09-04,33.14,33.36,32.65,32.69,-0.37,32.77,9633.0,52366.0
2020-09-08,33.07,33.62,32.67,33.36,0.5,33.27,10031.0,51940.0
2020-09-09,,33.4,32.85,33.04,-0.27,33.0,13742.0,50017.0
2020-09-10,32.95,33.22,32.88,33.1,0.03,33.03,8462.0,46171.0
2020-09-11,33.13,33.73,32.96,33.66,0.58,33.61,12942.0,43888.0
2020-09-14,33.47,34.52,33.38,34.3,0.62,34.23,10643.0,42802.0
2020-09-15,34.34,34.63,33.96,34.15,-0.15,34.08,7841.0,40103.0
2020-09-16,34.11,35.09,33.91,34.93,0.86,34.94,17926.0,38795.0
2020-09-17,34.94,35.2,34.71,34.92,-0.03,34.91,11182.0,35929.0
2020-09-18,34.91,35.52,34.68,35.23,0.32,35.23,16061.0,32849.0
2020-09-21,35.17,35.46,34.24,34.34,-0.96,34.27,10914.0,28864.0
2020-09-22,34.3,34.55,33.57,33.72,-0.6,33.67,11459.0,26556.0
2020-09-23,33.74,33.83,32.66,32.9,-0.98,32.69,17262.0,22606.0
2020-09-24,32.7,32.71,32.02,32.6,-0.33,32.36,10818.0,19291.0
2020-09-25,32.41,33.05,32.22,32.82,0.48,32.84,14483.0,16326.0
2020-09-28,32.77,33.34,32.56,33.23,0.45,33.29,10833.0,9021.0
2020-09-29,33.23,33.34,32.5,32.76,-0.42,32.87,6325.0,4433.0
2020-09-30,32.87,33.52,32.45,33.25,0.5,33.37,1488.0,1877.0
2020-10-01,33.45,33.49,32.51,32.67,-0.72,32.65,222.0,772.0
2020-10-02,32.7,32.7,31.81,31.95,-0.71,31.94,156.0,580.0
2020-10-05,32.1,32.8,32.1,32.75,0.87,32.81,81.0,429.0
2020-10-06,33.4,33.45,32.93,33.32,0.48,33.29,143.0,375.0
2020-10-07,33.12,33.62,33.1,33.23,0.02,33.31,83.0,238.0
2020-10-08,33.3,33.3,33.26,33.25,-0.07,33.24,35.0,160.0
2020-10-09,34.24,34.24,34.24,34.13,0.91,34.15,18.0,125.0
2020-10-12,34.02,34.02,33.28,33.27,-1.01,33.14,43.0,107.0
2020-10-13,33.28,34.32,33.25,34.32,0.58,33.72,107.0,84.0
2020-10-14,,,,34.02,,33.72,1.0,1.0
