Date,Open,High,Low,Last,Change,Settle,Volume,Previous Day Open Interest
2020-07-16,59.575,60.775,59.3,60.6,1.475,60.675,3603.0,19629.0
2020-07-17,60.35,60.65,59.975,60.35,-0.3,60.375,2222.0,19685.0
2020-07-20,60.475,60.95,59.625,59.75,-0.525,59.85,3972.0,20145.0
2020-07-21,59.85,60.475,59.55,60.475,0.45,60.3,2890.0,20677.0
2020-07-22,60.8,60.8,59.85,60.075,0.05,60.35,3128.0,21461.0
2020-07-23,60.475,60.925,60.15,60.65,0.425,60.775,4330.0,21983.0
2020-07-24,60.8,60.925,60.375,60.9,0.125,60.9,4496.0,22586.0
2020-07-27,60.9,61.1,59.725,60.3,-0.7,60.2,3671.0,23402.0
2020-07-28,59.95,60.825,59.95,60.675,0.45,60.65,2820.0,23996.0
2020-07-29,60.275,60.55,59.25,60.0,-0.675,59.975,3290.0,24412.0
2020-07-30,59.825,59.875,58.375,58.925,-0.95,59.025,3409.0,25149.0
2020-07-31,58.975,59.825,58.75,59.25,0.275,59.3,4554.0,25974.0
2020-08-03,59.0,59.4,58.25,59.05,-0.25,59.05,5250.0,26595.0
2020-08-04,58.95,58.95,58.25,58.85,-0.175,58.875,5069.0,27444.0
2020-08-05,58.55,60.125,58.5,59.85,1.15,60.025,5423.0,27602.0
2020-08-06,59.85,60.375,59.65,60.275,0.175,60.2,3323.0,28527.0
2020-08-07,60.275,61.5,60.25,60.75,0.775,60.975,6080.0,29117.0
2020-08-10,61.15,62.125,61.075,61.725,0.775,61.75,8821.0,29202.0
2020-08-11,61.725,61.725,60.525,60.55,-1.15,60.6,6450.0,28700.0
2020-08-12,60.425,61.25,60.25,60.775,0.3,60.9,5210.0,28314.0
2020-08-13,61.075,61.625,60.575,61.45,0.575,61.475,3341.0,29044.0
2020-08-14,61.325,62.15,61.175,61.825,0.425,61.9,3397.0,28947.0
2020-08-17,61.6,62.25,61.6,62.15,0.2,62.1,3194.0,28668.0
2020-08-18,61.95,62.2,60.9,61.1,-0.975,61.125,3822.0,28614.0
2020-08-19,61.25,61.75,60.7,61.175,0.025,61.15,4003.0,28723.0
2020-08-20,61.725,62.5,61.675,62.225,1.0,62.15,7819.0,28456.0
2020-08-21,62.075,62.5,61.65,61.8,-0.275,61.875,4870.0,28216.0
2020-08-24,61.85,62.475,61.675,61.725,,61.875,3454.0,28603.0
2020-08-25,62.225,62.85,61.925,62.85,0.9,62.775,4462.0,29040.0
2020-08-26,62.5,62.9,62.35,62.85,-0.05,62.725,5675.0,29360.0
2020-08-27,62.725,63.0,62.65,62.875,0.125,62.85,3856.0,29382.0
2020-08-28,62.7,62.725,61.475,61.9,-0.875,61.975,3726.0,29085.0
2020-08-31,61.85,62.375,61.475,61.5,-0.4,61.575,3506.0,28993.0
2020-09-01,61.725,62.65,61.575,61.925,0.5,62.075,4945.0,28864.0
2020-09-02,62.075,62.65,61.55,62.575,0.3,62.375,5794.0,28778.0
2020-09-03,62.6,63.175,62.525,62.6,0.45,62.825,11369.0,29675.0
2020-09-04,63.0,63.225,62.5,63.05,0.2,63.025,8265.0,29079.0
