Date,Open,High,Low,Last,Change,Settle,Volume,Previous Day Open Interest
2020-07-16,50.55,53.8,50.5,53.675,3.5,53.65,28188.0,51023.0
2020-07-17,53.2,53.625,52.325,52.5,-0.85,52.8,14182.0,50760.0
2020-07-20,52.825,53.275,50.2,50.4,-2.4,50.4,16125.0,47350.0
2020-07-21,50.525,51.65,50.5,51.6,1.075,51.475,10352.0,44287.0
2020-07-22,52.75,53.05,52.0,52.475,1.175,52.65,10220.0,41326.0
2020-07-23,53.1,54.95,52.925,54.4,1.825,54.475,10764.0,39011.0
2020-07-24,54.025,54.2,52.775,53.85,-0.475,54.0,8484.0,37698.0
2020-07-27,54.25,54.925,53.675,54.85,0.55,54.55,9150.0,35465.0
2020-07-28,54.75,55.275,54.025,54.1,-0.35,54.2,7600.0,33505.0
2020-07-29,53.8,53.8,52.5,53.05,-1.125,53.075,8735.0,31589.0
2020-07-30,53.05,53.125,51.025,51.025,-1.65,51.425,7787.0,28541.0
2020-07-31,51.25,52.1,51.1,52.0,0.575,52.0,5689.0,26451.0
2020-08-03,51.275,51.5,49.65,49.875,-2.125,49.875,8904.0,24511.0
2020-08-04,49.9,50.475,49.55,49.675,-0.175,49.7,6672.0,21095.0
2020-08-05,49.325,49.7,49.2,49.475,-0.25,49.45,8512.0,18114.0
2020-08-06,49.45,50.0,49.45,49.9,0.3,49.75,3797.0,14602.0
2020-08-07,50.5,51.2,50.5,51.0,1.25,51.0,5070.0,12953.0
2020-08-10,51.85,53.425,51.65,53.425,2.125,53.125,6282.0,11464.0
2020-08-11,53.375,53.675,52.95,53.025,-0.05,53.075,3558.0,9331.0
2020-08-12,52.825,53.075,52.6,52.75,-0.175,52.9,3698.0,8459.0
2020-08-13,53.05,53.825,53.025,53.75,0.8,53.7,1872.0,7039.0
2020-08-14,53.8,53.975,53.7,53.9,0.125,53.825,867.0,6839.0
