date,open,high,low,close,volume,open_interest,contract,unadjusted_close
1977-01-03,88.9563038,89.39236412,88.60745555,89.39236412,5,457,197703,51.25
1977-01-04,89.13072793,90.3516968,89.13072793,90.3516968,4,457,197703,51.8
1977-01-05,89.30515205,89.39236412,89.30515205,89.39236412,5,439,197703,51.25
1977-01-06,90.26448474,90.52612093,90.26448474,90.52612093,10,450,197703,51.9
1977-01-07,92.4447863,92.4447863,92.4447863,92.4447863,5,450,197703,53
1977-01-10,91.57266568,91.57266568,90.70054505,90.70054505,3,447,197703,52
1977-01-11,90.70054505,90.70054505,90.70054505,90.70054505,2,445,197703,52
1977-01-12,91.13660537,91.13660537,91.13660537,91.13660537,1,448,197703,52.25
1977-01-13,93.31690693,93.31690693,92.00872599,93.31690693,83,534,197703,53.5
1977-01-14,92.53199837,95.06114818,92.53199837,95.06114818,58,541,197703,54.5
1977-01-17,95.06114818,95.58442056,95.06114818,95.58442056,0,552,197703,54.8
1977-01-18,95.67163262,96.28211706,95.40999643,95.93326881,27,571,197703,55
1977-01-19,95.75884468,96.80538943,95.75884468,96.80538943,97,555,197703,55.5
1977-01-20,98.54963068,100.2938719,98.54963068,100.2938719,25,561,197703,57.5
1977-01-21,101.1659926,102.0381132,100.2938719,101.1659926,38,549,197703,58
1977-01-24,101.3404167,103.7823544,101.3404167,102.0381132,61,575,197703,58.5
1977-01-25,102.0381132,102.9102338,101.1659926,102.9102338,31,580,197703,59
1977-01-26,101.5148408,102.9102338,101.2532046,102.9102338,39,583,197703,59
1977-01-27,102.9102338,102.9102338,102.5613856,102.9102338,12,587,197703,59
1977-01-28,101.8636891,102.0381132,101.1659926,102.0381132,19,590,197703,58.5
1977-01-31,93.05527074,98.54963068,93.05527074,98.54963068,1,599,197703,56.5
1977-02-01,101.8636891,101.8636891,99.6833875,101.1659926,56,576,197703,58
1977-02-02,101.3404167,101.3404167,101.3404167,101.3404167,40,584,197703,58.1
1977-02-03,102.0381132,103.7823544,102.0381132,103.7823544,36,585,197703,59.5
1977-02-04,102.9102338,103.0846579,102.9102338,102.9974459,10,573,197703,59.05
1977-02-07,103.6079303,103.7823544,103.3462941,103.3462941,18,586,197703,59.25
1977-02-08,102.9102338,103.3462941,102.4741735,103.3462941,12,586,197703,59.25
1977-02-09,104.3056268,104.3056268,103.3462941,103.3462941,16,589,197703,59.25
1977-02-10,102.9102338,102.9102338,102.0381132,102.8230218,11,593,197703,58.95
1977-02-11,102.2125373,102.2125373,101.5148408,102.0381132,23,581,197703,58.5
1977-02-14,102.0381132,102.0381132,101.776477,101.776477,2,585,197703,58.35
1977-02-15,101.6020529,101.6020529,100.8171443,100.8171443,53,604,197703,57.8
1977-02-16,100.8171443,100.9915684,99.94502368,100.9915684,38,592,197703,57.9
1977-02-17,100.6427202,101.6020529,100.6427202,101.6020529,12,600,197703,58.25
1977-02-18,101.4276288,101.4276288,101.4276288,101.4276288,0,600,197703,58.15
1977-02-22,101.776477,101.8636891,101.6020529,101.6020529,21,600,197703,58.25
1977-02-23,101.6020529,102.3869614,101.6020529,102.2125373,31,609,197703,58.6
1977-02-24,102.0381132,102.3869614,101.1659926,102.1253253,20,610,197703,58.55
1977-02-25,101.8636891,102.0381132,101.4276288,102.0381132,13,621,197703,58.5
1977-02-28,102.2125373,103.4335062,102.2125373,103.4335062,39,654,197703,59.3
1977-03-01,102.5567214,102.5567214,101.9509011,101.9509011,5,660,197706,58.9
1977-03-02,102.9894502,103.5087247,102.1239926,102.1239926,20,662,197706,59
1977-03-03,102.1239926,102.2105384,101.6047181,102.2105384,48,676,197706,59.05
1977-03-04,102.2105384,102.2970842,102.2105384,102.2970842,0,685,197706,59.1
1977-03-07,102.2970842,102.4701757,101.7778096,101.7778096,33,695,197706,58.8
1977-03-08,102.4701757,102.4701757,101.2585351,101.2585351,19,680,197706,58.5
1977-03-09,101.0854436,101.0854436,100.912352,100.912352,5,684,197706,58.3
1977-03-10,100.9988978,100.9988978,99.78725721,99.96034872,27,686,197706,57.75
1977-03-11,99.52761994,99.87380297,97.19088452,97.27743027,53,672,197706,56.2
1977-03-14,97.10433876,98.22943359,97.10433876,98.22943359,40,649,197706,56.75
1977-03-15,98.83525389,98.83525389,98.83525389,98.83525389,4,558,197706,57.1
1977-03-16,98.83525389,98.83525389,98.57561662,98.66216238,8,557,197706,57
1977-03-17,98.66216238,98.66216238,98.31597935,98.31597935,3,561,197706,56.8
1977-03-18,98.66216238,99.18143692,98.66216238,98.66216238,5,575,197706,57
1977-03-21,98.22943359,98.40252511,98.22943359,98.40252511,3,583,197706,56.85
1977-03-22,98.66216238,98.66216238,98.66216238,98.66216238,11,590,197706,57
1977-03-23,98.40252511,98.40252511,98.40252511,98.40252511,2,594,197706,56.85
1977-03-24,98.40252511,98.66216238,98.40252511,98.57561662,7,590,197706,56.95
1977-03-25,98.66216238,98.66216238,97.79670481,97.79670481,9,598,197706,56.5
1977-03-28,97.017793,97.017793,96.93124725,96.93124725,7,596,197706,56
1977-03-29,96.06578968,96.06578968,95.28687787,95.54651514,16,596,197706,55.2
1977-03-30,95.71960666,95.71960666,95.71960666,95.71960666,9,587,197706,55.3
1977-03-31,95.71960666,96.2388812,95.71960666,96.2388812,4,588,197706,55.6
1977-04-01,95.6330609,97.27743027,95.6330609,96.49851846,2,592,197706,55.75
1977-04-04,96.06578968,96.2388812,96.06578968,96.2388812,2,596,197706,55.6
1977-04-05,95.37342363,96.75815573,95.37342363,96.49851846,6,598,197706,55.75
1977-04-06,97.36397603,97.36397603,95.20033212,95.20033212,8,596,197706,55
1977-04-07,94.76760334,94.76760334,93.81560001,93.98869153,7,591,197706,54.3
1977-04-11,95.20033212,95.20033212,94.33487455,94.50796607,6,598,197706,54.6
1977-04-12,94.68105758,95.28687787,94.68105758,95.11378636,8,602,197706,54.95
1977-04-13,95.20033212,95.71960666,95.20033212,95.37342363,3,606,197706,55.1
1977-04-14,95.20033212,95.54651514,94.85414909,94.85414909,39,619,197706,54.8
1977-04-15,94.85414909,95.20033212,94.76760334,95.20033212,8,621,197706,55
1977-04-18,94.33487455,95.20033212,94.33487455,94.94069485,15,615,197706,54.85
1977-04-19,95.20033212,95.20033212,94.76760334,94.85414909,6,615,197706,54.8
1977-04-20,93.98869153,93.98869153,93.81560001,93.81560001,2,615,197706,54.2
1977-04-21,91.73850186,93.46941699,91.73850186,92.43086791,8,614,197706,53.4
1977-04-22,93.81560001,93.81560001,93.03668821,93.20977972,15,610,197706,53.85
1977-04-25,93.29632548,93.29632548,92.60395942,92.60395942,7,606,197706,53.5
1977-04-26,91.82504762,92.08468488,91.82504762,91.91159337,23,590,197706,53.1
1977-04-27,91.91159337,92.2577764,91.91159337,92.2577764,11,590,197706,53.3
1977-04-28,91.82504762,92.95014245,91.82504762,92.95014245,13,590,197706,53.7
1977-04-29,93.03668821,93.03668821,92.77705094,93.03668821,4,590,197706,53.75
1977-05-02,92.77705094,92.77705094,92.77705094,92.77705094,0,592,197706,53.6
1977-05-03,92.86359669,93.12323396,92.86359669,93.12323396,9,593,197706,53.8
1977-05-04,93.12323396,93.20977972,92.60395942,92.86359669,11,587,197706,53.65
1977-05-05,92.51741367,92.51741367,92.15392149,92.15392149,18,587,197706,53.24
1977-05-06,92.60395942,92.60395942,91.99813913,92.17123064,26,576,197706,53.25
1977-05-09,91.82504762,92.43086791,91.82504762,92.17123064,4,576,197706,53.25
1977-05-10,91.82504762,91.82504762,91.82504762,91.82504762,1,570,197712,54.5
1977-05-11,91.82504762,91.82504762,91.82504762,91.82504762,0,573,197712,54.5
1977-05-12,91.99353394,91.99353394,91.99353394,91.99353394,0,561,197712,54.6
1977-05-13,91.65656129,91.65656129,91.65656129,91.65656129,1,561,197712,54.4
1977-05-16,91.31958864,91.31958864,90.98261599,91.31958864,3,581,197712,54.2
1977-05-17,90.05594119,90.30867068,90.05594119,90.30867068,1,585,197712,53.6
1977-05-18,88.11834845,88.87653691,88.11834845,88.4553211,38,585,197712,52.5
1977-05-19,87.61288947,87.61288947,86.60197151,86.60197151,1,602,197712,51.4
1977-05-20,85.42256723,85.42256723,85.42256723,85.42256723,0,605,197712,50.7
1977-05-23,84.74862193,84.74862193,82.55829969,82.89527234,4,611,197712,49.2
1977-05-24,82.89527234,84.07467662,82.89527234,84.07467662,7,602,197712,49.9
1977-05-25,84.41164928,85.25408091,84.41164928,85.25408091,5,598,197712,50.6
1977-05-26,84.24316295,84.41164928,84.24316295,84.41164928,7,600,197712,50.1
1977-05-27,84.74862193,84.74862193,84.74862193,84.74862193,1,597,197712,50.3
1977-05-31,83.48497448,83.9061903,83.40073132,83.9061903,2,598,197712,49.8
1977-06-01,84.74862193,84.74862193,83.73770397,83.73770397,54,586,197712,49.7
1977-06-02,81.80011122,81.80011122,81.80011122,81.80011122,0,598,197712,48.55
1977-06-03,80.87343643,81.6316249,80.19949113,80.19949113,6,604,197712,47.6
1977-06-06,77.58795308,77.58795308,77.58795308,77.58795308,0,607,197712,46.05
1977-06-07,76.15581931,76.15581931,75.31338768,76.15581931,16,635,197712,45.2
1977-06-08,74.97641503,75.14490135,74.47095605,74.63944237,32,644,197712,44.3
1977-06-09,70.51152739,72.44912014,69.92182525,72.44912014,29,657,197712,43
1977-06-10,74.1339834,76.66127828,74.1339834,76.66127828,33,647,197712,45.5
1977-06-13,74.8079287,74.89217186,72.19639065,72.19639065,22,657,197712,42.85
1977-06-14,72.19639065,72.95457911,72.19639065,72.95457911,14,665,197712,43.3
1977-06-15,74.47095605,75.39763084,74.47095605,75.39763084,10,569,197712,44.75
1977-06-16,78.00916889,78.34614154,76.66127828,78.34614154,13,601,197712,46.5
1977-06-17,76.4085488,76.91400777,75.81884665,76.91400777,10,606,197712,45.65
1977-06-20,76.66127828,76.66127828,76.66127828,76.66127828,11,617,197712,45.5
1977-06-21,77.16673726,77.41946675,76.82976461,77.41946675,12,612,197712,45.95
1977-06-22,77.50370991,77.50370991,77.50370991,77.50370991,0,637,197712,46
1977-06-23,77.41946675,77.41946675,77.41946675,77.41946675,0,624,197712,45.95
1977-06-24,77.84068257,77.84068257,77.84068257,77.84068257,0,629,197712,46.2
1977-06-27,77.92492573,78.51462787,77.92492573,78.51462787,3,639,197712,46.6
1977-06-28,77.92492573,77.92492573,77.92492573,77.92492573,0,638,197712,46.25
1977-06-29,78.43038471,78.43038471,78.43038471,78.43038471,0,644,197712,46.55
1977-06-30,78.76735736,78.76735736,78.76735736,78.76735736,0,650,197712,46.75
1977-07-01,77.50370991,77.50370991,77.50370991,77.50370991,3,650,197712,46
1977-07-05,77.58795308,77.58795308,77.58795308,77.58795308,0,650,197712,46.05
1977-07-06,77.33522359,77.33522359,77.16673726,77.16673726,0,652,197712,45.8
1977-07-07,76.66127828,76.66127828,76.66127828,76.66127828,1,656,197712,45.5
1977-07-08,76.49279196,76.49279196,76.49279196,76.49279196,0,655,197712,45.4
1977-07-11,75.81884665,76.15581931,75.481874,76.15581931,1,651,197712,45.2
1977-07-12,75.481874,75.65036033,75.481874,75.65036033,1,652,197712,44.9
1977-07-13,75.39763084,75.481874,73.71276758,74.97641503,8,661,197712,44.5
1977-07-15,75.481874,75.81884665,75.481874,75.81884665,1,664,197712,45
1977-07-18,75.65036033,75.65036033,75.481874,75.481874,1,654,197712,44.8
1977-07-19,75.81884665,75.98733298,75.81884665,75.81884665,3,648,197712,45
1977-07-20,75.81884665,75.81884665,75.81884665,75.81884665,1,645,197712,45
1977-07-21,74.97641503,75.39763084,74.97641503,75.14490135,11,644,197712,44.6
1977-07-22,74.1339834,75.14490135,74.1339834,75.14490135,9,651,197712,44.6
1977-07-25,75.98733298,75.98733298,75.14490135,75.56611717,14,661,197712,44.85
1977-07-26,75.22914451,75.22914451,75.14490135,75.14490135,1,661,197712,44.6
1977-07-27,74.30246972,74.47095605,73.71276758,73.71276758,12,648,197712,43.75
1977-07-28,73.62852442,73.62852442,73.62852442,73.62852442,2,648,197712,43.7
1977-07-29,73.62852442,73.62852442,73.46003809,73.62852442,4,650,197712,43.7
1977-08-01,72.87033595,72.87033595,72.78609279,72.78609279,2,644,197712,43.2
1977-08-02,72.44912014,72.61760646,72.44912014,72.44912014,2,645,197712,43
1977-08-03,73.12306544,73.12306544,73.12306544,73.12306544,2,635,197712,43.4
1977-08-04,72.44912014,73.12306544,72.44912014,72.44912014,1,646,197712,43
1977-08-05,72.87033595,73.62852442,72.87033595,72.87033595,1,652,197712,43.25
1977-08-08,72.70184963,72.70184963,72.70184963,72.70184963,1,652,197712,43.15
1977-08-09,72.44912014,72.44912014,72.44912014,72.44912014,1,649,197712,43
1977-08-10,72.44912014,72.44912014,72.44912014,72.44912014,3,650,197712,43
1977-08-11,71.77517483,72.78609279,71.35395902,72.78609279,7,655,197712,43.2
1977-08-12,71.60668851,71.60668851,71.60668851,71.60668851,0,657,197712,42.5
1977-08-15,71.60668851,72.28063381,71.10122953,71.10122953,33,641,197712,42.2
1977-08-16,70.9327432,70.9327432,70.9327432,70.9327432,33,652,197712,42.1
1977-08-17,70.9327432,71.18547269,70.9327432,71.10122953,3,644,197712,42.2
1977-08-18,70.76425688,71.10122953,70.76425688,71.10122953,6,648,197712,42.2
1977-08-19,71.10122953,71.26971586,70.9327432,70.9327432,13,653,197712,42.1
1977-08-22,70.76425688,70.84850004,70.76425688,70.84850004,1,668,197712,42.05
1977-08-23,71.10122953,71.10122953,71.10122953,71.10122953,5,677,197712,42.2
1977-08-24,70.9327432,71.26971586,70.9327432,71.26971586,19,688,197712,42.3
1977-08-25,70.84850004,71.60668851,70.84850004,71.60668851,31,697,197712,42.5
1977-08-26,71.77517483,71.77517483,71.10122953,71.10122953,20,694,197712,42.2
1977-08-29,70.9327432,70.9327432,70.9327432,70.9327432,4,686,197712,42.1
1977-08-30,71.26971586,71.26971586,71.26971586,71.26971586,5,691,197712,42.3
1977-08-31,71.43820218,71.60668851,71.43820218,71.60668851,5,690,197712,42.5
1977-09-01,71.43820218,71.60668851,71.43820218,71.60668851,5,712,197712,42.5
1977-09-02,71.18547269,72.87033595,71.18547269,72.87033595,3,775,197712,43.25
1977-09-06,72.87033595,72.87033595,71.94366116,72.28063381,28,795,197712,42.9
1977-09-07,72.28063381,73.03882228,72.02790432,72.44912014,21,769,197712,43
1977-09-08,72.11214749,72.44912014,72.11214749,72.11214749,2,774,197712,42.8
1977-09-09,72.11214749,73.12306544,72.11214749,72.95457911,40,818,197712,43.3
1977-09-12,72.44912014,72.44912014,71.859418,71.859418,2,820,197712,42.65
1977-09-13,71.10122953,71.10122953,70.42728423,71.01698637,6,830,197712,42.15
