Date,Open,High,Low,Close
1/4/2010,15.24,15.75,15.12,15.69
1/5/2010,15.74,16.21,15.7,16.2
1/6/2010,16.21,16.54,16.03,16.39
1/7/2010,16.68,17.185,16.51,16.93
1/8/2010,16.98,17.1,16.63,16.78
1/11/2010,16.99,17.14,16.72,16.93
1/12/2010,16.72,16.75,16.17,16.36
1/13/2010,16.43,16.78,16.149,16.62
1/14/2010,16.63,16.92,16.605,16.82
1/15/2010,16.64,16.65,16.23,16.26
1/19/2010,16.059,16.47,15.84,16.32
1/20/2010,16.219,16.63,16.18,16.49
1/21/2010,16.46,16.66,15.2,15.47
1/22/2010,15.26,15.52,14.71,14.9
1/25/2010,15.16,15.27,14.77,14.98
1/26/2010,14.94,15.17,14.72,14.77
1/27/2010,14.71,15.29,14.68,15.19
1/28/2010,15.4,15.59,15.01,15.37
1/29/2010,15.49,15.55,15.09,15.18
2/1/2010,15.26,15.44,15.13,15.42
2/2/2010,15.45,15.68,15.31,15.6
2/3/2010,15.57,15.8,15.52,15.53
2/4/2010,15.35,15.43,14.73,14.75
2/5/2010,14.84,15.06,14.31,15
2/8/2010,14.94,14.96,14.45,14.48
2/9/2010,14.67,14.78,14.25,14.47
2/10/2010,14.51,14.91,14.46,14.67
2/11/2010,14.67,14.8,14.54,14.63
2/12/2010,14.47,14.54,14.28,14.45
2/16/2010,14.66,15.31,14.62,15.16
2/17/2010,15.35,15.88,15.25,15.66
2/18/2010,15.52,16,15.5,15.88
2/19/2010,15.73,16.04,15.71,15.88
2/22/2010,15.96,16.4,15.96,16.21
2/23/2010,16.12,16.379,15.79,15.94
2/24/2010,15.98,16.36,15.96,16.329
2/25/2010,16.05,16.57,15.95,16.55
2/26/2010,16.57,16.84,16.41,16.66
3/1/2010,16.66,16.86,16.57,16.71
3/2/2010,16.7,16.8,16.39,16.45
3/3/2010,16.47,16.62,16.329,16.37
3/4/2010,16.37,16.5,16.03,16.4
3/5/2010,16.52,16.75,16.45,16.7
3/8/2010,16.75,16.91,16.69,16.74
3/9/2010,16.63,16.99,16.54,16.8
3/10/2010,17.01,17.35,16.985,17.11
3/11/2010,17.18,17.28,17.06,17.12
3/12/2010,17.26,17.3,16.68,16.85
3/15/2010,16.74,16.91,16.59,16.85
3/16/2010,16.97,17.07,16.9,17.03
3/17/2010,17.17,17.3,17.025,17.27
3/18/2010,17.29,17.32,16.98,17.08
3/19/2010,17.16,17.23,16.74,16.82
3/22/2010,16.62,16.97,16.6,16.96
3/23/2010,17.08,17.22,16.94,17.13
3/24/2010,17.12,17.73,17.1,17.57
3/25/2010,17.84,18.35,17.7,17.74
3/26/2010,17.98,18.23,17.75,17.9
3/29/2010,18.17,18.2,17.77,18.04
3/30/2010,18.06,18.12,17.67,17.76
3/31/2010,17.69,17.98,17.67,17.85
4/1/2010,18.02,18.1,17.89,18.04
4/5/2010,18.16,18.25,18.02,18.13
4/6/2010,18.16,18.54,18.1,18.49
4/7/2010,18.58,18.86,18.53,18.62
4/8/2010,18.59,18.84,18.31,18.65
4/9/2010,18.82,18.85,18.5,18.59
4/12/2010,18.68,18.82,18.6,18.66
4/13/2010,18.61,18.72,18.49,18.67
4/14/2010,18.98,19.42,18.92,19.4
4/15/2010,19.63,19.864,19.36,19.48
4/16/2010,19.47,19.48,18.05,18.41
4/19/2010,18.41,18.65,17.87,18.39
4/20/2010,18.79,18.83,18.44,18.61
4/21/2010,18.67,18.91,18.11,18.28
4/22/2010,18.03,18.6,17.95,18.54
4/23/2010,18.4,18.53,18.28,18.43
4/26/2010,18.41,18.44,18.025,18.05
4/27/2010,17.91,18.18,17.41,17.47
4/28/2010,17.65,17.96,17.51,17.78
4/29/2010,18.04,18.4,17.99,18.3
4/30/2010,18.28,18.3,17.61,17.83
5/3/2010,17.88,18.15,17.78,18.06
5/4/2010,17.77,17.91,17.48,17.56
5/5/2010,17.2,17.84,16.89,17.53
5/6/2010,17.48,17.61,15.5,16.28
5/7/2010,16.48,16.79,15.95,16.18
5/10/2010,17.225,17.39,17.01,17.3
5/11/2010,17.08,17.49,16.97,17.16
5/12/2010,17.27,17.33,16.99,17.07
5/13/2010,17.03,17.18,16.85,16.87
5/14/2010,16.71,16.72,16.12,16.34
5/17/2010,16.39,16.45,15.85,16.35
5/18/2010,16.71,16.75,15.67,15.95
5/19/2010,15.8,16.46,15.8,16.309
5/20/2010,15.96,16.05,15.28,15.3
5/21/2010,14.96,16,14.95,15.99
5/24/2010,15.98,16.079,15.39,15.4
5/25/2010,14.91,15.54,14.8,15.49
5/26/2010,15.91,16.1,15.38,15.47
5/27/2010,15.81,16.2,15.59,16.18
5/28/2010,16.17,16.18,15.71,15.74
6/1/2010,15.58,15.98,15.4,15.44
6/2/2010,15.58,15.92,15.35,15.89
6/3/2010,15.96,16.07,15.69,15.81
6/4/2010,15.5,15.73,15.25,15.35
