Date,Close,High,Low,Open
1/4/2010,28.29,28.44,27.93,28.19
1/5/2010,28.59,28.64,27.75,27.95
1/6/2010,28.16,28.51,28.09,28.48
1/7/2010,29.35,29.49,27.91,28.08
1/8/2010,29.53,29.55,28.98,29.28
1/11/2010,29.02,29.68,28.79,29.65
1/12/2010,29.07,29.32,28.79,28.88
1/13/2010,29.29,29.46,28.87,29.07
1/14/2010,29.25,29.46,28.91,29.26
1/15/2010,29.03,29.39,28.9,29.15
1/19/2010,29.53,29.61,28.89,29.01
1/20/2010,30.96,31.23,29.79,29.89
1/21/2010,30.67,31.3,30.55,30.91
1/22/2010,29.27,31.14,29.13,30.65
1/25/2010,29.76,30.03,29.5,29.55
1/26/2010,29.27,29.88,29.22,29.58
1/27/2010,29.76,29.94,29.09,29.25
1/28/2010,29.17,29.93,28.77,29.93
1/29/2010,29.09,29.665,28.99,29.28
2/1/2010,29.58,29.87,29.2,29.29
2/2/2010,29.26,29.56,28.98,29.56
2/3/2010,28.57,29.17,28.51,29.09
2/4/2010,27.29,28.7,27.25,28.47
2/5/2010,27.14,27.79,26.35,27.38
2/8/2010,26.86,27.55,26.83,27.15
2/9/2010,27.06,27.39,26.76,27.06
2/10/2010,27.39,27.69,26.95,27.09
2/11/2010,27.46,27.65,27.11,27.3
2/12/2010,27.05,27.31,26.7,27.18
2/16/2010,27.73,27.77,27.11,27.2
2/17/2010,27.71,27.91,27.53,27.66
2/18/2010,27.69,27.76,27.42,27.56
2/19/2010,28.66,29.18,27.65,27.65
2/22/2010,28.84,29.09,28.425,28.78
2/23/2010,28.12,28.84,28.01,28.73
2/24/2010,28.63,28.815,28.02,28.14
2/25/2010,28.39,28.43,27.91,28.35
2/26/2010,28.52,28.55,28.11,28.46
3/1/2010,28.42,28.63,28.235,28.63
3/2/2010,28.69,29.15,28.34,28.45
3/3/2010,28.69,28.87,28.51,28.65
3/4/2010,28.89,28.975,28.58,28.69
3/5/2010,29.7,29.73,28.94,29.06
3/8/2010,29.62,29.73,29.26,29.6
3/9/2010,29.81,29.89,29.33,29.33
3/10/2010,29.62,29.91,29.47,29.91
3/11/2010,29.67,29.67,29.16,29.62
3/12/2010,29.72,29.96,29.6,29.78
3/15/2010,29.94,30.01,29.56,29.57
3/16/2010,30.25,30.29,29.83,30.06
3/17/2010,30.69,30.76,30.19,30.37
3/18/2010,30.82,30.85,30.3,30.63
3/19/2010,30.64,31.07,30.55,30.84
3/22/2010,30.83,30.94,30.41,30.44
3/23/2010,31.35,31.37,30.78,30.83
3/24/2010,30.68,31.25,30.58,31.19
3/25/2010,30.84,31.46,30.76,30.9
3/26/2010,30.9,31.295,30.65,30.86
3/29/2010,30.96,31.22,30.68,31.09
3/30/2010,30.72,30.97,30.61,30.88
3/31/2010,30.88,31.05,30.42,30.56
4/1/2010,31.26,31.29,30.91,31.14
4/5/2010,31.5,31.59,31.18,31.4
4/6/2010,31.7,31.75,31.17,31.39
4/7/2010,31.46,31.89,31.33,31.71
4/8/2010,31.85,31.91,31.32,31.38
4/9/2010,31.95,32.07,31.69,31.87
4/12/2010,32.54,32.645,32.1,32.1
4/13/2010,32.47,32.65,32.06,32.479
4/14/2010,32.18,32.5,31.58,32.31
4/15/2010,32.02,32.49,31.91,32.25
4/16/2010,31.57,32.04,30.77,31.87
4/19/2010,32.14,32.18,31.39,31.75
4/20/2010,32.15,32.32,31.54,31.91
4/21/2010,32.22,32.45,31.95,32.11
4/22/2010,32.42,32.42,31.75,31.94
4/23/2010,31.95,32.33,31.77,32.33
4/26/2010,31.65,32.03,31.64,31.87
4/27/2010,30.87,31.8,30.81,31.4
4/28/2010,31.24,31.5,30.95,31.13
4/29/2010,31.97,32.165,31.37,31.56
4/30/2010,31.13,31.92,31.09,31.82
5/3/2010,31.33,31.48,31.03,31.16
5/4/2010,30.61,31.08,30.45,31.015
5/5/2010,31.18,31.71,30.05,30.2
5/6/2010,30.22,31.53,29,31.01
5/7/2010,30.06,31.04,29.9,30.33
5/10/2010,31.57,31.69,30.64,31.34
5/11/2010,30.98,31.48,30.6,31.27
5/12/2010,30.92,31.23,30.755,31.17
5/13/2010,29.98,30.82,29.9,30.76
5/14/2010,29.7,30.02,29.51,29.91
5/17/2010,29.8,29.85,29.24,29.68
5/18/2010,29.16,30.08,29,30.08
5/19/2010,28.78,29.37,28.56,29.01
5/20/2010,27.65,28.45,27.64,28.14
5/21/2010,27.82,27.91,26.63,26.68
5/24/2010,27.17,27.93,27.15,27.66
5/25/2010,27.19,27.19,26.25,26.59
5/26/2010,27.34,27.97,27.24,27.55
5/27/2010,28.03,28.1,27.63,27.96
5/28/2010,27.2,27.98,27.12,27.95
6/1/2010,26.5,27.185,26.48,27.05
6/2/2010,27.29,27.32,26.62,26.64
6/3/2010,27.28,27.43,26.97,27.31
6/4/2010,26,26.69,25.9,26.38
6/7/2010,25.62,26.29,25.61,26.17
6/8/2010,25.41,25.77,24.9,25.71
