Date,Close,High,Low,Open
1/4/2010,42.85,42.99,41.67,41.79
1/5/2010,43.68,43.84,42.78,42.79
1/6/2010,43.92,44.09,43.31,43.45
1/7/2010,44.79,45.12,43.61,43.79
1/8/2010,44.68,44.7,44.08,44.37
1/11/2010,44.53,45.19,44.31,45.12
1/12/2010,43.49,44.15,42.94,43.99
1/13/2010,44.25,44.53,42.87,43.55
1/14/2010,44.69,44.79,44.1,44.2
1/15/2010,43.68,44.43,43.34,44.3
1/19/2010,43.28,43.75,42.9,43.4
1/20/2010,43.4,43.68,42.71,43.01
1/21/2010,40.54,43.15,40.32,43.04
1/22/2010,39.16,41.195,38.82,40.65
1/25/2010,39.21,39.89,38.84,39.76
1/26/2010,38.44,39.835,38.28,39
1/27/2010,39.33,39.49,38.07,38.35
1/28/2010,39.48,40.04,38.72,39.68
1/29/2010,38.94,39.85,38.8,39.65
2/1/2010,39.63,39.93,38.95,39.1
2/2/2010,40.55,40.68,39.7,39.8
2/3/2010,40.29,41.1,40.17,40.58
2/4/2010,38.35,39.92,38.35,39.79
2/5/2010,38.3,38.88,37.025,38.64
2/8/2010,37.7,38.29,37.32,38.29
2/9/2010,38.39,38.7,37.84,38.19
2/10/2010,38.87,39.5,38.52,38.64
2/11/2010,39.02,39.37,38.36,38.84
2/12/2010,38.95,39.18,38.36,38.67
2/16/2010,40.07,40.14,38.75,38.95
2/17/2010,40.04,40.45,39.76,40.26
2/18/2010,40.41,40.51,39.77,39.94
2/19/2010,40.03,40.7,39.9,40.11
2/22/2010,40.85,41.3,40.25,40.4
2/23/2010,39.88,41.25,39.76,40.9
2/24/2010,40.85,40.97,40,40.05
2/25/2010,40.64,40.69,39.7,40.16
2/26/2010,41.97,42.305,40.6,40.69
3/1/2010,41.83,42.18,41.41,42.03
3/2/2010,41.62,42.4,41.361,41.98
3/3/2010,41.53,42.06,41.34,41.65
3/4/2010,41.92,42.08,41.66,41.91
3/5/2010,42.81,42.87,42.19,42.32
3/8/2010,42.59,43.03,42.47,42.85
3/9/2010,42.42,42.82,42.05,42.39
3/10/2010,42.93,43.49,42.81,42.87
3/11/2010,43.18,43.2,42.8,42.91
3/12/2010,43.15,43.54,42.85,43.34
3/15/2010,43.07,43.21,42.6,42.92
3/16/2010,43.24,43.38,42.69,43.35
3/17/2010,43.79,44.11,43.265,43.31
3/18/2010,43.64,43.79,43.15,43.75
3/19/2010,43.45,43.89,43.13,43.72
3/22/2010,43.74,43.79,43.04,43.07
3/23/2010,44.58,44.74,43.78,43.85
3/24/2010,44.94,44.97,44.2,44.44
3/25/2010,44.94,46.05,44.89,44.98
3/26/2010,45.02,45.89,44.795,45.04
3/29/2010,44.86,45.38,44.46,45.25
3/30/2010,44.58,45.05,44.358,44.9
3/31/2010,44.7,45,44.25,44.31
4/1/2010,45.18,45.31,44.99,45.03
4/5/2010,45.34,45.4,44.79,45.28
4/6/2010,45.84,45.94,45.15,45.23
4/7/2010,45.32,46.047,45.02,45.83
4/8/2010,45.76,45.97,44.81,45.16
