Date,Open,High,Low,Close,USDGBP,SP500,adjustment_factor,relative_open,relative_high,relative_low,relative_close,rebased_open,rebased_high,rebased_low,rebased_close
2010-01-04,15.24,15.75,15.12,15.69,0.62,113.33,70.35,0.22,0.22,0.21,0.22,15.24,15.75,15.12,15.69
2010-01-05,15.74,16.21,15.7,16.2,0.63,113.63,71.06,0.22,0.23,0.22,0.23,15.58,16.05,15.54,16.04
2010-01-06,16.21,16.54,16.03,16.39,0.62,113.71,70.98,0.23,0.23,0.23,0.23,16.07,16.39,15.89,16.24
2010-01-07,16.68,17.18,16.51,16.93,0.63,114.19,71.68,0.23,0.24,0.23,0.24,16.37,16.87,16.2,16.61
2010-01-08,16.98,17.1,16.63,16.78,0.62,114.57,71.52,0.24,0.24,0.23,0.23,16.7,16.82,16.36,16.51
2010-01-11,16.99,17.14,16.72,16.93,0.62,114.73,71.22,0.24,0.24,0.23,0.24,16.78,16.93,16.52,16.72
2010-01-12,16.72,16.75,16.17,16.36,0.62,113.66,70.38,0.24,0.24,0.23,0.23,16.71,16.74,16.16,16.35
2010-01-13,16.43,16.78,16.15,16.62,0.61,114.62,70.41,0.23,0.24,0.23,0.24,16.42,16.77,16.14,16.61
2010-01-14,16.63,16.92,16.6,16.82,0.61,114.93,70.38,0.24,0.24,0.24,0.24,16.62,16.91,16.6,16.81
2010-01-15,16.64,16.65,16.23,16.26,0.62,113.64,69.93,0.24,0.24,0.23,0.23,16.74,16.75,16.33,16.36
2010-01-19,16.06,16.47,15.84,16.32,0.61,115.06,70.37,0.23,0.23,0.23,0.23,16.05,16.46,15.83,16.31
2010-01-20,16.22,16.63,16.18,16.49,0.61,113.89,69.87,0.23,0.24,0.23,0.24,16.33,16.74,16.29,16.6
2010-01-21,16.46,16.66,15.2,15.47,0.62,111.7,68.95,0.24,0.24,0.22,0.22,16.79,17.0,15.51,15.78
2010-01-22,15.26,15.52,14.71,14.9,0.62,109.21,67.79,0.23,0.23,0.22,0.22,15.84,16.11,15.26,15.46
2010-01-25,15.16,15.27,14.77,14.98,0.62,109.77,67.59,0.22,0.23,0.22,0.22,15.78,15.89,15.37,15.59
2010-01-26,14.94,15.17,14.72,14.77,0.62,109.31,67.73,0.22,0.22,0.22,0.22,15.52,15.76,15.29,15.34
2010-01-27,14.71,15.29,14.68,15.19,0.62,109.83,67.92,0.22,0.23,0.22,0.22,15.24,15.84,15.2,15.73
2010-01-28,15.4,15.59,15.01,15.37,0.62,108.57,67.27,0.23,0.23,0.22,0.23,16.11,16.3,15.7,16.07
2010-01-29,15.49,15.55,15.09,15.18,0.63,107.39,67.2,0.23,0.23,0.22,0.23,16.21,16.28,15.8,15.89
