Date,SP500
1/4/2010,113.33
1/5/2010,113.63
1/6/2010,113.71
1/7/2010,114.19
1/8/2010,114.57
1/11/2010,114.73
1/12/2010,113.66
1/13/2010,114.62
1/14/2010,114.93
1/15/2010,113.64
1/19/2010,115.06
1/20/2010,113.89
1/21/2010,111.7
1/22/2010,109.21
1/25/2010,109.77
1/26/2010,109.31
1/27/2010,109.83
1/28/2010,108.57
1/29/2010,107.39
2/1/2010,109.06
2/2/2010,110.38
2/3/2010,109.83
2/4/2010,106.44
2/5/2010,106.66
2/8/2010,105.89
2/9/2010,107.22
2/10/2010,107.01
2/11/2010,108.13
2/12/2010,108.04
2/16/2010,109.74
2/17/2010,110.26
2/18/2010,110.91
2/19/2010,111.14
2/22/2010,111.16
2/23/2010,109.81
2/24/2010,110.82
2/25/2010,110.67
2/26/2010,110.74
3/1/2010,111.89
3/2/2010,112.2
3/3/2010,112.3
3/4/2010,112.641
3/5/2010,114.25
3/8/2010,114.27
3/9/2010,114.46
3/10/2010,114.97
3/11/2010,115.45
3/12/2010,115.46
3/15/2010,115.49
3/16/2010,116.41
3/17/2010,117.1
3/18/2010,117.037
3/19/2010,115.97
3/22/2010,116.592
3/23/2010,117.41
3/24/2010,116.84
3/25/2010,116.65
3/26/2010,116.582
3/29/2010,117.32
3/30/2010,117.4
3/31/2010,117
4/1/2010,117.8
4/5/2010,118.76
4/6/2010,119.04
4/7/2010,118.36
4/8/2010,118.772
4/9/2010,119.55
4/12/2010,119.74
4/13/2010,119.83
4/14/2010,121.19
4/15/2010,121.29
4/16/2010,119.36
4/19/2010,119.81
4/20/2010,120.88
4/21/2010,120.66
4/22/2010,121.02
4/23/2010,121.812
4/26/2010,121.35
4/27/2010,118.48
4/28/2010,119.38
4/29/2010,120.857
4/30/2010,118.812
5/3/2010,120.35
5/4/2010,117.52
5/5/2010,116.82
5/6/2010,112.942
5/7/2010,111.26
5/10/2010,116.16
5/11/2010,115.83
5/12/2010,117.45
5/13/2010,115.99
5/14/2010,113.89
5/17/2010,113.95
5/18/2010,112.4
5/19/2010,111.76
5/20/2010,107.54
5/21/2010,109.115
5/24/2010,107.71
5/25/2010,107.818
5/26/2010,107.17
5/27/2010,110.76
5/28/2010,109.369
6/1/2010,107.53
6/2/2010,110.33
6/3/2010,110.71
6/4/2010,106.82
6/7/2010,105.49
6/8/2010,106.62
6/9/2010,106.05
6/10/2010,109.15
6/11/2010,109.68
6/14/2010,109.509
6/15/2010,112
6/16/2010,111.96
6/17/2010,112.14
6/18/2010,111.729
6/21/2010,111.41
6/22/2010,109.57
6/23/2010,109.23
6/24/2010,107.42
6/25/2010,107.867
6/28/2010,107.53
6/29/2010,104.21
6/30/2010,103.22
7/1/2010,102.76
7/2/2010,102.2
7/6/2010,102.87
7/7/2010,106.107
7/8/2010,107.16
7/9/2010,107.96
7/12/2010,108.03
7/13/2010,109.66
7/14/2010,109.651
7/15/2010,109.68
7/16/2010,106.66
7/19/2010,107.29
7/20/2010,108.48
7/21/2010,107.07
7/22/2010,109.461
7/23/2010,110.41
7/26/2010,111.56
7/27/2010,111.55
7/28/2010,110.83
7/29/2010,110.29
7/30/2010,110.27
8/2/2010,112.76
8/3/2010,112.22
8/4/2010,112.97
8/5/2010,112.85
8/6/2010,112.392
8/9/2010,112.992
8/10/2010,112.375
8/11/2010,109.3
8/12/2010,108.63
8/13/2010,108.31
8/16/2010,108.26
8/17/2010,109.59
8/18/2010,109.79
8/19/2010,107.88
8/20/2010,107.53
8/23/2010,107.123
8/24/2010,105.53
8/25/2010,105.94
8/26/2010,105.23
8/27/2010,106.86
8/30/2010,105.311
8/31/2010,105.31
9/1/2010,108.46
9/2/2010,109.47
9/3/2010,110.89
9/7/2010,109.64
9/8/2010,110.41
9/9/2010,110.92
9/10/2010,111.482
9/13/2010,112.72
9/14/2010,112.65
9/15/2010,113.08
9/16/2010,113.05
9/17/2010,112.49
9/20/2010,114.21
9/21/2010,113.98
9/22/2010,113.42
9/23/2010,112.497
9/24/2010,114.82
9/27/2010,114.27
9/28/2010,114.67
9/29/2010,114.47
9/30/2010,114.13
10/1/2010,114.61
10/4/2010,113.75
10/5/2010,116.04
10/6/2010,116.03
10/7/2010,115.89
10/8/2010,116.537
10/11/2010,116.65
10/12/2010,117.01
10/13/2010,117.92
10/14/2010,117.46
10/15/2010,117.7
10/18/2010,118.28
10/19/2010,116.73
10/20/2010,117.87
10/21/2010,118.13
10/22/2010,118.347
10/25/2010,118.7
10/26/2010,118.72
10/27/2010,118.38
10/28/2010,118.4
10/29/2010,118.49
11/1/2010,118.53
11/2/2010,119.475
11/3/2010,119.95
11/4/2010,122.26
11/5/2010,122.725
11/8/2010,122.49
11/9/2010,121.61
11/10/2010,122.1
11/11/2010,121.635
11/12/2010,120.198
11/15/2010,120.03
11/16/2010,118.16
11/17/2010,118.217
11/18/2010,119.957
11/19/2010,120.29
11/22/2010,120.19
11/23/2010,118.447
11/24/2010,120.2
11/26/2010,118.8
11/29/2010,119.162
11/30/2010,118.492
12/1/2010,121.01
12/2/2010,122.56
12/3/2010,122.89
12/6/2010,122.76
12/7/2010,122.83
12/8/2010,123.28
12/9/2010,123.76
12/10/2010,124.48
12/13/2010,124.56
12/14/2010,124.67
12/15/2010,124.098
12/16/2010,124.82
12/17/2010,124.3
12/20/2010,124.6
12/21/2010,125.39
12/22/2010,125.78
12/23/2010,125.6
12/27/2010,125.65
12/28/2010,125.83
12/29/2010,125.92
12/30/2010,125.72
12/31/2010,125.75
1/3/2011,127.05
1/4/2011,126.98
1/5/2011,127.64
1/6/2011,127.39
1/7/2011,127.14
