Date,Close,High,Low,Open
1/4/2010,27.32,27.48,26.82,27.02
1/5/2010,28.07,28.24,27.24,27.27
1/6/2010,28.11,28.33,27.79,28.03
1/7/2010,29.13,29.43,27.92,28.12
1/8/2010,28.86,29.35,28.6,28.9
1/11/2010,28.8,29.17,28.58,29.09
1/12/2010,28.08,28.55,27.5,28.47
1/13/2010,28.58,28.76,27.8,27.99
1/14/2010,28.99,29.21,28.5,28.5
1/15/2010,28.08,28.9,27.88,28.82
1/19/2010,28.28,28.47,27.61,27.93
1/20/2010,27.82,28.65,27.7,28.02
1/21/2010,28,28.5,27.18,27.98
1/22/2010,27.26,28.41,27.17,27.97
1/25/2010,27.66,28.05,27.19,27.45
1/26/2010,26.99,28.35,26.92,27.45
1/27/2010,28.2,28.24,26.88,26.9
1/28/2010,28.45,28.77,27.72,28.28
1/29/2010,28.43,29.17,28.38,28.44
2/1/2010,28.93,29.09,28.51,28.6
2/2/2010,28.79,29.13,28.51,28.96
2/3/2010,28.14,28.78,27.98,28.57
2/4/2010,27.06,28.08,27,27.95
2/5/2010,27.42,27.71,26.62,27.3
2/8/2010,26.43,27.41,26.4,27.23
2/9/2010,26.71,27.14,26.37,26.89
2/10/2010,27.18,27.56,26.55,26.61
2/11/2010,27.08,27.24,26.71,27.15
2/12/2010,26.88,27.04,26.47,26.79
2/16/2010,27.39,27.39,26.94,27.19
2/17/2010,27.33,27.64,27.09,27.59
2/18/2010,27.34,27.57,27.16,27.3
2/19/2010,27.37,27.48,27.07,27.08
2/22/2010,28.01,28.15,27.38,27.48
2/23/2010,27.29,28,27.18,27.95
2/24/2010,27.66,27.77,27.18,27.45
2/25/2010,27.44,27.48,27.04,27.17
2/26/2010,27.34,27.5,26.93,27.49
3/1/2010,27.35,27.59,27.15,27.34
3/2/2010,27.87,28.21,27.37,27.4
3/3/2010,28.2,28.45,27.94,27.95
3/4/2010,28.43,28.57,28.21,28.35
3/5/2010,29.15,29.27,28.55,28.63
3/8/2010,28.89,29.35,28.82,29.13
3/9/2010,28.98,29.22,28.47,28.78
3/10/2010,29.57,29.83,29.1,29.13
3/11/2010,29.76,29.76,29.24,29.53
3/12/2010,29.63,29.94,29.49,29.83
3/15/2010,29.89,29.89,29.26,29.48
3/16/2010,30.28,30.32,29.74,29.93
3/17/2010,30.55,30.67,30.26,30.41
3/18/2010,30.29,30.564,29.85,30.47
3/19/2010,30.38,30.535,29.96,30.5
3/22/2010,30.41,30.59,30.05,30.09
3/23/2010,31.08,31.12,30.38,30.47
3/24/2010,30.86,31.28,30.67,30.84
3/25/2010,31.06,31.99,30.9,31.03
3/26/2010,31.22,31.77,31,31.21
3/29/2010,31.1,31.45,30.9,31.35
3/30/2010,30.84,31.3,30.8,31.1
3/31/2010,31.12,31.16,30.58,30.58
4/1/2010,31.37,31.6,31.13,31.4
4/5/2010,31.51,31.75,31.26,31.49
4/6/2010,32.28,32.39,31.35,31.36
4/7/2010,31.99,32.49,31.77,32.28
4/8/2010,32.229,32.409,31.56,31.79
4/9/2010,32.299,32.65,31.92,32.4
4/12/2010,32.42,32.7,32.27,32.4
4/13/2010,32.15,32.24,31.73,32.159
4/14/2010,33.28,33.42,32.35,32.46
4/15/2010,33.51,33.89,33.12,33.23
4/16/2010,32.56,33.25,31.66,33.21
4/19/2010,33.02,33.255,32.13,32.619
4/20/2010,33.69,33.89,33,33.19
4/21/2010,33.01,34.25,32.509,32.59
4/22/2010,33.58,33.72,32.56,32.7
4/23/2010,33.48,33.79,33.2,33.7
4/26/2010,32.72,33.45,32.586,33.36
4/27/2010,31.72,33.07,31.65,32.2
4/28/2010,32.45,32.65,31.97,32.07
4/29/2010,33.23,33.4,32.729,32.79
4/30/2010,33.11,33.82,32.98,33.25
5/3/2010,33.88,34.085,33.21,33.22
5/4/2010,32.89,33.97,32.72,33.41
5/5/2010,32.659,33.175,31.72,32.63
5/6/2010,31.18,32.75,29.31,32.439
5/7/2010,30.82,31.75,30.2,30.88
5/10/2010,32.97,33.08,32.159,32.25
5/11/2010,32.91,33.67,32.42,32.509
5/12/2010,33.66,33.81,33.06,33.18
5/13/2010,33.08,33.83,33.08,33.5
5/14/2010,32.04,32.88,31.76,32.759
5/17/2010,31.97,32.235,31.14,32.08
5/18/2010,30.59,32.35,30.35,32.28
5/19/2010,30.08,30.28,29.09,29.95
5/20/2010,28.69,30,28.65,29.44
5/21/2010,30.11,30.3,28.05,28.05
5/24/2010,28.71,29.75,28.53,29.57
5/25/2010,28.9,28.91,27.44,27.71
5/26/2010,28.04,29.34,27.7,29.23
5/27/2010,29.41,29.48,28.5,28.71
5/28/2010,28.69,29.5,28.54,29.47
6/1/2010,28.23,29.2,28.19,28.68
6/2/2010,29.18,29.2,28.32,28.56
6/3/2010,28.86,29.48,28.52,29.36
6/4/2010,27.78,28.45,27.65,28.28
6/7/2010,27.29,28.113,27.26,28.01
6/8/2010,27.76,27.81,26.66,27.46
6/9/2010,27.03,27.96,26.9,27.95
6/10/2010,28.13,28.235,27.4,27.52
6/11/2010,27.84,27.95,27.35,27.74
6/14/2010,27.4,27.968,27.31,27.8
6/15/2010,27.91,27.93,27.5,27.59
6/16/2010,28.12,28.25,27.67,27.75
6/17/2010,27.93,28.19,27.53,28.1
6/18/2010,28.07,28.23,27.74,28.04
6/21/2010,27.94,28.5,27.79,28.44
6/22/2010,27.46,28.33,27.43,28.03
6/23/2010,27.32,27.76,27.15,27.38
6/24/2010,26.86,27.1,26.28,27.05
6/25/2010,27.05,27.61,26.85,27.15
6/28/2010,27.03,27.34,26.82,27.24
6/29/2010,25.93,26.66,25.79,26.57
6/30/2010,25.6,26.45,25.52,26.05
7/1/2010,25.18,25.94,24.6,25.54
7/2/2010,24.88,25.68,24.76,25.4
7/6/2010,25.15,25.635,24.79,25.46
7/7/2010,26.66,26.73,25.14,25.28
7/8/2010,26.64,27.06,26.1,27.06
7/9/2010,27,27.04,26.4,26.5
7/12/2010,27.06,27.13,26.56,26.93
7/13/2010,27.94,28.08,27.32,27.37
7/14/2010,27.66,27.78,27.25,27.7
7/15/2010,27.81,28.16,27.019,27.85
7/16/2010,26.24,27.47,26.16,27.44
7/19/2010,26.02,26.399,25.624,26.27
7/20/2010,25.91,25.92,25.3,25.47
7/21/2010,26.06,27.6,25.97,27.53
7/22/2010,27.39,27.49,26.55,26.62
7/23/2010,27.42,27.55,27,27.33
7/26/2010,27.91,27.92,27.23,27.45
7/27/2010,28.39,28.77,28.24,28.41
7/28/2010,28.07,28.535,27.92,28.25
7/29/2010,27.69,28.49,27.48,28.32
7/30/2010,27.73,27.99,27.25,27.27
8/2/2010,28.57,28.58,27.95,28.29
8/3/2010,28.12,28.49,27.94,28.45
8/4/2010,27.93,28.25,27.7,28.17
8/5/2010,27.88,27.96,27.56,27.71
8/6/2010,27.75,27.77,27.24,27.49
8/9/2010,28.23,28.27,27.52,27.9
8/10/2010,27.77,28.07,27.51,27.94
8/11/2010,26.3,27.39,26.26,27.26
8/12/2010,26,26.39,25.87,26
8/13/2010,25.84,26.3,25.81,25.99
8/16/2010,25.68,25.91,25.52,25.67
8/17/2010,25.34,26.01,25.21,25.96
8/18/2010,25.38,25.67,25.09,25.3
8/19/2010,24.43,25.36,24.27,25.1
8/20/2010,24.6,24.71,24.27,24.43
8/23/2010,24.23,24.88,24.19,24.86
8/24/2010,23.64,24.05,23.54,23.96
8/25/2010,23.6,23.65,23.02,23.41
8/26/2010,23.49,24.1,23.4,23.73
8/27/2010,24,24,23.47,23.64
8/30/2010,23.25,23.98,23.23,23.93
8/31/2010,23.55,23.68,23.03,23.18
9/1/2010,24.66,24.75,23.76,23.91
9/2/2010,25.1,25.11,24.615,24.68
9/3/2010,25.84,26.13,25.59,25.75
9/7/2010,24.92,25.68,24.91,25.57
9/8/2010,25.22,25.4,25.03,25.03
9/9/2010,25.69,26.01,25.22,25.71
9/10/2010,25.75,25.965,25.67,25.83
9/13/2010,26.5,26.79,26.25,26.37
9/14/2010,26.06,26.33,25.89,26.3
9/15/2010,26.34,26.44,25.61,25.72
9/16/2010,26.06,26.28,25.9,26.16
9/17/2010,26.01,26.37,25.87,26.37
9/20/2010,26.56,26.65,25.92,26.09
9/21/2010,26.38,26.96,26.29,26.63
9/22/2010,25.81,26.48,25.72,26.37
9/23/2010,25.04,25.67,25.04,25.3
9/24/2010,25.59,25.73,25.325,25.46
9/27/2010,25.53,25.92,25.49,25.72
9/28/2010,25.35,25.87,25.11,25.58
9/29/2010,25.04,25.37,24.91,25.21
