version;Wersja;;
Homepage;Strona główna;;
Get Support;Uzyskaj pomoc;;
Reset license;Zresetowanie licencji;;
Purchase;Kupno;;
Continue;Dalej;;
License number;Numer licencji;;
licensed to;Licencja w posiadaniu;;
valid until;Ważna do;;
Exit;Wyjście;;
Enter License Number;Wprowadź numer licencji;;
Update License;Zaktualizuj licencję;;
Close;Zamknij;;
Symbol;Symbol;;
Symbol Name/Description;Nazwa i opis symbolu;;
Timeframe;Interwał czasowy;;
Pip/Tick Point;Pips/Tick Punkt;;
Pip/Tick value in $;Pips/Tick wartość w $;;
Data From - To;Dane Od - Do;;
Total Days;Całkowita liczba dni;;
Total Records;Całkowita liczba zapisów;;
Default Spread;Domyślny Spread;;
Costs (r/t);Koszty (r/t);;
There are less columns than specified in Skip Columns parameter!;Liczba kolumn jest mniejsza, niż podaje parametr Pomiń Kolumny!;;
There are not enough data columns in the file! Found: %d, Required: %d;Plik nie zawiera wystarczającej liczby kolumn z danymi! Znaleziono: %d, wymaganych: %d ;;
Bid cannot be bigger than Ask, please check your columns!;Cena BID nie może być wyższa od ceny ASK, sprawdź proszę swoje kolumny! ;;
Cannot recognize date and time!;Nie można rozpoznać daty i godziny! ;;
Error parsing on row: %d, line contents: %s, message: %s;Błąd parsowania w wierszu: %d, wiersz zawiera: %s, wiadomość: %s ;;
Cannot have indicator value in data file!;Plik danych nie może zawierać wartość wskaźnika! ;;
The number of columns in data file doesn't match!;Liczba kolumn w pliku danych nie zgadza się! ;;
Uknown date format!;Nieznany format wyświetlania daty! ;;
Parse DateTime failed!;Parsowanie daty i czasu nie powiodło się! ;;
Date;Data ;;
Format;Format ;;
Cannot read lines at line: %d;Nie można odczytać wierszy na rządku: %d ;;
Error parsing on line: %d, message: %s;Błąd parsowania linii: %d, wiadomość: %s ;;
Checking the data file;Sprawdzanie pliku danych ;;
Step 1 of %d: Importing the data file...;Krok 1 z %d: Importowanie pliku danych... ;;
Step 2 of %d: Recomputing base timeframe...;Krok 2 z %d: Przeliczanie podstawowego interwału czasowego... ;;
Step %d of %d: Recomputing higher timeframes...;Krok %d z %d: Przeliczanie wyższych interwałów czasowych... ;;
Step %d of %d: Recomputing daily timeframe...;Krok %d z %d: Ponowne obliczanie dziennego interwału czasowego... ;;
There was a problem with import: %s;Podczas importu wystąpił błąd: %s ;;
Import completed;Import zakończony sukcesem ;;
Import file has unknown or unsupported timeframe!;Nieznany lub nieobsługiwany interwał czasowy zaimportowanego pliku! ;;
Import exception;Wykluczenie importu ;;
Import file has different timeframe than the symbol whereyou want to import it!;Interwał czasowy zaimportowanego pliku różni się od interwału czasowego symbolu, do którego ma zostać zaimportowany! ;;
Exception during import: Cannot load first and last date, bad file format?;Wykluczenie podczas importu: Nie można załadować pierwszej i ostatniej daty, zły format pliku? ;;
The imported data will create a gap of %d days if added to the current history data for this symbol.;Dodane do obecnych danych historycznych tego symbolu, zaimportowane dane utworzą lukę %d dni. ;;
Do you really want to proceed with the import?;Czy na pewno chcesz kontynuować import? ;;
Confirm data gap;Potwierdź lukę w danych ;;
Old data file '%s' already exists and cannot be deleted, cannot import data!;Stary plik danych '%s' już istnieje i nie można go usunąć, nie można zaimportować danych! ;;
Columns count is not equal!;Liczba kolumn nie równa się! ;;
Importing the data file;Importowanie pliku danych ;;
Import Custom Indicator Data error;Błąd importu danych Wskaźnika Użytkownika ;;
File type is not data.;Ten plik nie jest plikiem danych. ;;
DAT file is damaged!;Plik DAT jest uszkodzony! ;;
Loading daily TF data;Ładowanie danych dziennego interwału czasowego ;;
Daily TF records loaded;Dane dziennego interwału czasowego załadowane ;;
Loading main TF data;Ładowanie danych głównego interwału czasowego ;;
Main TF records loaded;Dane głównego interwału czasowego załadowane ;;
Loading lowest available data;Ładowanie danych podstawowego interwału czasowego ;;
Base TF records loaded;Dane podstawowego interwału czasowego załadowane ;;
Databank is not empty!\n Do you want to delete strategies from the Databank?;Baza danych nie jest pusta!\n Czy chcesz usunąć strategie znajdujące się w bazie danych? ;;
By clicking Yes you will delete these strategies.;Klikając przycisk Tak, usuniesz strategie. ;;
By clicking No you will keep the strategies in the Databank and the newly generated strategies will be added to the list.;Klikając przycisk Nie zachowasz strategie w bazie danych, a nowo wygenerowane strategie zostaną dodane do tej listy. ;;
By clicking Cancel you'll stop the generation.;Klikając Anuluj zatrzymasz proces generowania. ;;
Confirm continue with the build;Potwierdź kontynuację, klikając na buduj ;;
Too deep recursion reached. Most probably the selected Building Blocks are not enough to create a valid strategy.;Osiągnięto zbyt dużą rekurencję. Obrane bloki konstrukcyjne najprawdopodobniej nie są wystarczające do stworzenia rzetelnej strategii. ;;
Please check the settings of Building Blocks and add some more of them.;Sprawdź proszę ustawienia Bloków Konstrukcyjnych i dodaj ich więcej. ;;
Cannot generate valid initial candidates under these conditions.\nPlease check the settings of Building Blocks\nand Initial Population Parameters.;W danych warunkach nie można wygenerować rzetelnych kandydatów.\nSprawdź proszę ustawienia Bloków Konstrukcyjnych\ni Parametrów Wstępnych Populacji. ;;
Cannot generate valid candidates under these conditions.\nPlease check the settings of Building Blocks.;W danych warunkach nie można wygenerować znaczących kandydatów.\nSprawdź proszę ustawienia Bloków Konstrukcyjnych. ;;
Cannot create custom incicator like this!;Nie można w ten sposób utworzyć wskaźnik użytkownika! ;;
Cannot generate valid initial candidates under these conditions - reason 2.\nPlease check the settings of Building Blocks\nand Initial Population Parameters.;W danych warunkach nie można wygenerować rzetelnych kandydatów wstępnych - przyczyna 2. \nProszę sprawdzić ustawienia Bloków Konstrukcyjnych \ni Parametry Wstępne Populacji. ;;
Population Generation Error;Błąd generowania populacji ;;
Strategy '%s' contains custom indicator '%s', but this custom indicator\ncannot be found in the supported indicators list for this symbol and timeframe!;Strategia '%s' zawiera wskaźnik użytkownika '%s', ale wskaźnik ten\nnie znajduje się na liście obsługiwanych wskaźników dla tego symbolu i interwału czasowego! ;;
Error loading data;Podczas ładowania danych wystąpił błąd ;;
Loading data;Ładowanie danych ;;
Loading data failed!;Ładowanie danych nie powiodło się! ;;
There is a problem in Settings - Strategy Options.\nThe setting for Maximum ATR Multiple is too small, the PT/SL based on ATR would be always smaller than allowed Minimum SL/PT!;Wystąpił błąd w Ustawieniach - Opcje Strategii.\nUstawienie Maksymalnego ATR Multiple jest zbyt małe, PT/SL ustawione na podstawie ATR będą zawsze mniejsze, niż dozwolone Minimalne SL/PT! ;;
Please either increase Maximum ATR Multiple or decrease Minimum SL/PT.;Proszę zwiększyć Maksymalne ATR Multiple lub zmniejszyć Minimalny SL/PT. ;;
Configuration error;Błąd konfiguracji ;;
There is a problem in Settings - Strategy Options.\nThe setting for Minimum ATR Multiple is too big, the PT/SL based on ATR would be always bigger than allowed Maximum SL/PT!;Wystąpił błąd w Ustawieniach - Opcje strategii.\nUstawienie Minimalnego ATR Multiple jest zbyt duże, PT/SL ustawione na podstawie ATR będą zawsze większe, niż dozwolone Maksymalny SL/PT! ;;
Please either decrease Minimum ATR Multiple or increase Maximum SL/PT.;Proszę zmniejszyć Minimalne ATR Multiple lub zwiększyć Maksymalny SL/PT. ;;
Data loaded;Dane załadowane ;;
Starting Random Generation of Strategies;Rozpoczynanie Losowego Generowania Strategii ;;
Error during backtesting, strategy skipped. Check log file for more information.;"Wystąpił błąd podczas backtestu; strategia została pominięta. Sprawdź plik dziennika, aby uzyskać więcej informacji. ";;
GENERATING THIS;GENEROWANIE TEGO ;;
TESTING ORIGINAL STRATEGY;TESTOWANIE ORYGINALNEJ STRATEGII ;;
SKIPPED, strategy not compatible with On Bar Open test precision.;POMINIĘTO STRATEGIĘ, strategia niezgodna z testem dokładności On Bar Open. ;;
Error when testing %s, strategy skipped. Check log file for more information.;Wystąpił błąd podczas testowania %s, strategia została pominięta. Sprawdź plik dziennika, aby uzyskać więcej informacji. ;;
Starting Genetic Evolution;Rozpoczynanie Ewolucji Genetycznej ;;
Evolution cancelled - Fitness stagnation - Starting evolution again;Ewolucja zatrzymana - Stagnacja sprawności - Ponowne rozpoczynanie ewolucji ;;
Evolution finished - Starting evolution again;Ewolucja zakończona - Ponowne rozpoczynanie ewolucji ;;
It was not possible to allocate enough memory for all the history data. Please reduce the number of symbols loaded or their precision.;Przydział wystarczającej ilość pamięci dla wszystkich danych historycznych nie powiódł się. Proszę zmniejszyć liczbę załadowanych symboli lub ich dokładność. ;;
Not Enough Moemory;Za Mało Pamięci ;;
Starting;Rozpoczynanie ;;
Precision;Precyzja ;;
OOS;OOS ;;
Data history;Dane historyczne ;;
Robustness Test settings error;Błąd ustawień Testu Odporności ;;
Starting Strategies Testing;Rozpoczynanie Testowania Strategii ;;
dismissed, reason: %s;odwołano, powód: %s ;;
Testing;Testowanie ;;
Cannot generate valid candidates under these conditions.\nPlease check your settings.;W danych warunkach nie można wygenerować rzetelnych kandydatów.\nProszę sprawdzić ustawienia. ;;
TestEngine Exception: %s;Wyłączenie TestEngine: %s ;;
Loading main data;Ładowanie głównych danych ;;
Not Enough Memory;Za Mało Pamięci ;;
Cannot perform cross-over with different length parents.;Nie można wykonać cross-over między strategiami macierzystymi o różnych długościach. ;;
Misconfiguration of values for '%s'. Start: %f, Stop: %f, Step: %f;"Błędna konfiguracja wartości dla ""%s"". Początek: %f, Koniec: %f, Krok: %f ";;
Misconfiguration (too many steps) of values for '%s'. Start: %f, Stop: %f, Step: %f;"Błędna konfiguracja (zbyt wiele kroków) wartości dla ""%s"". Początek: %f, Koniec: %f, Krok: %f ";;
Evaluation skipped;Ocena została pominięta ;;
Total profit;Całkowity zysk ;;
Walk-Forward Efficiency < %d %%. The system performs with rate less than %d %% of results achieved by optimization part.;Wydajność Walk-Forward jest < %d %%. System działa z niższą skutecznością, niż %d %% wyników, które zostały osiągnięte przez moduł optymalizacyjny. ;;
Walk-Forward Efficiency > %d %%. The system is likely to perform at rate %d %% or better of results achieved by optimization;Wydajność Walk-Forward jest > %d %%. System działa ze skutecznością %d %% lub wyższą od wyników, które zostały osiągnięte przez optymalizację ;;
