version;versión;;
Homepage;Home;;
Get Support;Obtener soporte;;
Reset license;Restablecer licencia;;
Purchase;Comprar;;
Continue;Continuar;;
License number;Número de licencia;;
licensed to;licenciado para;;
valid until;válido hasta;;
Exit;Salida;;
Enter License Number;Ingrese Número de Licencia;;
Update License;Actualizar Licencia;;
Close;Cierre;;
Symbol;Símbolo;;
Symbol Name/Description;Nombre Símbolo/Descripción;;
Timeframe;Marco temporal;;
Pip/Tick Point;Pip/Tick Punto;;
Pip/Tick value in $;Pip/Tick valor en U$D;;
Data From - To;Datos desde - hasta;;
Total Days;Días Totales;;
Total Records;Registros Totales;;
Default Spread;Spread predeterminado;;
Costs (r/t);Costos (r/t);;
There are less columns than specified in Skip Columns parameter!;ˇHay menos columnas que las especificadas en el parámetro ˇSaltar columnas!;;
There are not enough data columns in the file! Found: %d, Required: %d;ˇNo hay suficientes columnas de datos en el archivo! Encontrado:% d, requerido:% d;;
Bid cannot be bigger than Ask, please check your columns!;ˇEl precio Bid no puede ser mayor al precio Ask, por favor revise sus columnas!;;
Cannot recognize date and time!;No se puede reconocer la fecha y la hora;;
Error parsing on row: %d, line contents: %s, message: %s;Error al analizar en la fila: %d, contenido de la línea: %s, mensaje: %s;;
Cannot have indicator value in data file!;ˇNo se puede tener un valor del indicador en el archivo de datos!;;
The number of columns in data file doesn't match!;ˇLa cantidad de columnas en el archivo de datos no coinciden!;;
Uknown date format!;ˇFormato de fecha desconocida!;;
Parse DateTime failed!;ˇAnálisis Fecha Hora falló!;;
Date;Fecha;;
Format;Formato;;
Cannot read lines at line: %d;No se pueden leer líneas en la línea: %d;;
Error parsing on line: %d, message: %s;Error al analizar en línea: %d, mensaje: %s;;
Checking the data file;Verificando el archivo de datos;;
Step 1 of %d: Importing the data file...;Paso 1 de %d: Importación del archivo de datos...;;
Step 2 of %d: Recomputing base timeframe...;Paso 2 de %d: Recomponiendo marco temporal base...;;
Step %d of %d: Recomputing higher timeframes...;Paso %d de %d: Recomponiendo marcos temporales mayores...;;
Step %d of %d: Recomputing daily timeframe...;Paso %d de %d: Recomponiendo marco temporal diario...;;
There was a problem with import: %s;Hubo un problema con la importación: %s;;
Import completed;Importación terminada;;
Import file has unknown or unsupported timeframe!;ˇImportar archivo tiene un marco temporal desconocido o no compatible!;;
