AUDCAD;10.01.2017;5;75000;3;0.0001;0.00001;3
AUDCHF;10.01.2017;5;100000;4;0.0001;0.00001;3
AUDJPY;10.01.2017;3;900;3;0.01;0.001;3
AUDNZD;10.01.2017;5;68000;5;0.0001;0.00001;3
AUDUSD;10.01.2017;5;100000;3;0.0001;0.00001;3
AUS200;10.01.2017;3;25;3;1;1;6
CADCHF;10.01.2017;5;100000;5;0.0001;0.00001;3
CADJPY;10.01.2017;3;900;3;0.01;0.001;3
CHFJPY;10.01.2017;3;900;3;0.01;0.001;3
EURAUD;10.01.2017;5;73000;4;0.0001;0.00001;3
EURCAD;10.01.2017;5;75000;3;0.0001;0.00001;3
EURCHF;10.01.2017;5;100000;4;0.0001;0.00001;3
EURGBP;10.01.2017;5;132000;4;0.0001;0.00001;3
EURJPY;10.01.2017;3;900;3;0.01;0.001;3
EURMXN;10.01.2017;5;5300;30;0.01;0.001;3
EURNOK;10.01.2017;5;12200;36;0.0001;0.00001;3
EURNZD;10.01.2017;5;68000;4;0.0001;0.00001;3
EURSGD;14.10.2018;5;73000;41;0.0001;0.00001;3
EURTRY;10.01.2017;5;21000;45;0.0001;0.00001;3
EURUSD;10.01.2017;5;100000;3;0.0001;0.00001;3
FCHI;27.06.2018;3;12;3;1;0.1;6
GBPAUD;10.01.2017;5;73000;8;0.0001;0.00001;3
GBPCAD;10.01.2017;5;75000;8;0.0001;0.00001;3
GBPCHF;10.01.2017;5;100000;8;0.0001;0.00001;3
GBPJPY;10.01.2017;3;900;5;0.01;0.001;3
GBPMXN;10.01.2017;3;5300;5;0.00001;0.00001;3
GBPNOK;10.01.2017;5;11800;12;0.0001;0.00001;3
GBPNZD;10.01.2017;5;68000;12;0.0001;0.00001;3
GBPTRY;10.01.2017;5;17200;120;0.0001;0.00001;3
GBPUSD;10.01.2017;5;100000;3;0.0001;0.00001;3
GDAXIm;27.06.2018;3;30;3;1;0.1;6
J225;10.01.2017;3;10;10;1;0.1;6
NDXm;27.06.2018;3;12;12;1;0.1;6
NZDCAD;10.01.2017;5;75000;5;0.0001;0.00001;3
NZDCHF;10.01.2017;5;100000;5;0.0001;0.00001;3
NZDJPY;10.01.2017;3;900;4;0.01;0.001;3
NZDUSD;10.01.2017;5;100000;4;0.0001;0.00001;3
SPN35;27.06.2018;3;12;4;1;0.1;6
SPXm;27.06.2018;3;50;3;1;0.1;6
STOXX50E;10.01.2017;3;12;4;1;0.1;6
UK100;10.01.2017;3;12;3;1;0.1;6
USDCAD;10.01.2017;5;75000;3;0.0001;0.00001;3
USDCHF;10.01.2017;5;100000;3;0.0001;0.00001;3
USDHKD;19.2.2018;5;12500;30;0.0001;0.00001;3
USDJPY;10.01.2017;3;900;3;0.01;0.001;3
USDMXN;10.01.2017;5;5300;250;0.0001;0.00001;3
USDNOK;10.01.2017;5;12000;120;0.0001;0.00001;3
USDSEK;10.01.2017;5;11200;60;0.0001;0.00001;3
USDSGD;10.01.2017;5;73000;10;0.0001;0.00001;3
USDTRY;10.01.2017;5;21000;90;0.0001;0.00001;3
WS30;10.01.2017;3;5;3;1;0.1;6
XAGUSD;10.01.2017;3;5000;60;0.01;0.001;3
XAUUSD;10.01.2017;3;100;60;0.01;0.01;3
XBNUSD;27.06.2018;3;100;8;0.0001;0.00001;7
XBTUSD;27.06.2018;3;100;150;0.001;0.001;7
XETUSD;27.06.2018;3;100;150;0.0001;0.00001;7
XLCUSD;27.06.2018;3;100;150;0.0001;0.00001;7
XNGUSD;10.01.2017;3;0.1;150;0.0001;0.0001;4
XPDUSD;10.01.2017;3;100;150;0.0001;0.00001;3
XPTUSD;10.01.2017;3;100;500;0.01;0.001;4
XRPUSD;27.06.2018;3;100;150;0.01;0.01;7
XTIUSD;10.01.2017;3;100;6;0.01;0.01;4
