Date,Open,High,Low,Close,Volume
2020.07.25,128000,132300,126500,126500,47149
2020.07.26,126100,130900,125000,125000,52265
2020.07.27,125000,125000,120700,120700,26345
2020.07.28,117500,119500,115200,116800,34113
2020.07.29,115700,119000,111300,115100,44573
2020.07.30,115900,117700,113100,117400,30155
2020.08.01,117500,122900,117400,122900,40380
2020.08.02,125000,127300,120200,120500,54976
2020.08.03,121500,124500,117800,124400,77196
2020.08.04,124100,128900,124100,127700,46810
2020.08.05,127000,135100,126300,135100,48693
2020.08.06,138500,141600,136800,141600,9727
2020.08.09,141600,146600,134600,134600,51738
2020.08.10,130700,140000,129200,139800,60844
2020.08.11,141000,144300,134200,135800,62846
2020.08.12,137900,140200,134500,137700,40529
2020.08.13,139500,144200,138500,144200,51173
2020.08.15,146600,148600,136900,136900,60064
2020.08.16,135400,136000,130600,130600,25304
2020.08.17,127600,128800,120500,120500,13520
2020.08.18,118200,120400,114300,114300,13081
2020.08.19,112200,123900,112200,123900,23657
2020.08.20,129000,129700,117500,117600,73541
2020.08.22,118900,124200,112500,114400,61061
2020.08.23,114200,119000,112900,117400,52241
2020.08.24,118100,123500,116500,123300,61921
2020.08.25,124400,126100,117400,121200,54667
2020.08.26,121700,125700,120900,121600,41846
2020.08.27,120600,121500,118400,118700,30988
2020.08.31,116400,117900,113500,114200,43903
2020.09.01,114000,117000,113600,115200,38205
2020.09.02,115400,116400,112900,115600,38808
2020.09.03,116000,116600,114800,115200,18478
2020.09.05,114600,116200,114200,116100,30666
2020.09.06,115800,116600,113400,114100,24329
2020.09.07,113200,113800,108300,108300,50294
2020.09.08,105200,108700,103300,107700,60055
2020.09.09,107900,109800,105200,109100,58195
2020.09.10,109700,111100,106000,106000,36581
2020.09.12,105200,106700,101800,101800,45887
2020.09.13,100300,106400,98900,106200,65037
2020.09.14,106000,106800,101400,101500,50690
2020.09.15,100800,103600,97300,97500,53117
2020.09.16,96700,99300,94800,97900,53143
2020.09.17,98000,99000,95800,96600,26305
2020.09.19,99000,101300,97900,101300,11684
2020.09.20,106300,106300,96400,98000,65054
2020.09.21,97800,101400,94000,94400,67262
2020.09.22,94900,95100,90500,91400,35765
2020.09.23,92000,92600,88900,90500,24639
2020.09.24,90100,92600,89500,91600,20123
2020.09.26,91500,94000,90900,92500,24260
2020.09.27,92800,93100,88200,88200,20517
2020.09.28,84700,85200,83900,83900,12572
2020.09.29,81700,84500,79800,81000,22289
2020.09.30,80500,83100,80000,81400,13039
2020.10.01,83700,86300,81000,86300,12448
2020.10.03,90500,90500,90500,90500,213
2020.10.04,95000,95000,87000,92300,38546
2020.10.05,92800,93300,90800,91500,18515
2020.10.06,91100,95600,90400,94900,18621
2020.10.07,96700,99700,95200,99700,18676
2020.10.10,100000,104100,99200,104100,30924
2020.10.11,104700,108600,104500,108600,22128
2020.10.12,109600,109800,102900,102900,9806
2020.10.13,98100,100000,98100,98100,7216
2020.10.14,95300,98200,93300,93300,15061
2020.10.15,92700,94000,88700,88800,13910
2020.10.18,87900,93900,87000,93600,30401
2020.10.19,92700,92700,88600,88600,15911
2020.10.20,85400,90700,84300,88500,17521
2020.10.21,86000,89400,85100,85600,9638
2020.10.22,84000,85400,82400,83500,4795
2020.10.24,81400,83500,81400,82100,4173
2020.10.26,83100,84200,82100,83500,5297
2020.10.27,82700,82700,79200,79200,4211
2020.10.28,77000,77800,75300,77000,8380
2020.10.29,77000,78800,74500,77500,6439
2020.10.31,77000,79500,76000,79200,7583
