<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
2020.06.16,8:00:00,106000,108500,102800,104700,10968
2020.06.16,12:00:00,104600,105800,100700,100700,14160
2020.06.18,8:00:00,100700,103600,100700,102900,7176
2020.06.18,12:00:00,103000,105100,102500,105100,9025
2020.06.20,8:00:00,106100,106100,104200,105000,4616
2020.06.20,12:00:00,105000,105300,103900,105000,4491
2020.06.21,8:00:00,105700,108700,105700,107600,7754
2020.06.21,12:00:00,107600,110000,107100,110000,9420
2020.06.22,8:00:00,112100,115200,111000,115200,8702
2020.06.22,12:00:00,115200,115200,114800,115200,5902
2020.06.23,8:00:00,119900,120900,116700,119800,22374
2020.06.23,12:00:00,119800,119900,114000,115800,27151
2020.06.24,8:00:00,116500,120100,114500,119300,14869
2020.06.24,12:00:00,119300,121800,116000,119200,28016
2020.06.25,8:00:00,118900,119700,116400,117900,13003
2020.06.25,12:00:00,117900,120300,117500,119800,10366
2020.06.27,8:00:00,121200,121200,118800,120600,6875
2020.06.27,12:00:00,120600,125300,120400,125300,39497
2020.06.28,8:00:00,127000,129100,126000,128400,13216
2020.06.28,12:00:00,128400,129300,123700,125900,19072
2020.06.29,8:00:00,124300,128300,124300,127400,15856
2020.06.29,12:00:00,127400,131000,126300,131000,27340
2020.06.30,8:00:00,133000,136900,132400,136900,23216
2020.06.30,12:00:00,136900,136900,136700,136900,4395
2020.07.01,8:00:00,141000,143600,139100,143600,24529
2020.07.01,12:00:00,143600,143600,141800,143600,7008
2020.07.02,8:00:00,150200,150200,148400,150200,8273
2020.07.02,12:00:00,150200,150200,150200,150200,1809
2020.07.04,8:00:00,150000,157600,143700,156500,37612
2020.07.04,12:00:00,156700,157600,154100,155700,33882
2020.07.05,8:00:00,156000,164800,156000,164800,23696
2020.07.05,12:00:00,164800,164800,164600,164800,5132
2020.07.06,8:00:00,172300,173000,171600,173000,8274
2020.07.06,12:00:00,173000,173000,165100,165700,13162
2020.07.07,8:00:00,161200,162200,160800,160800,15868
2020.07.07,12:00:00,160800,181500,160800,181500,5419
2020.07.08,8:00:00,152900,152900,152900,152900,1779
2020.07.08,12:00:00,152900,152900,152900,152900,186
2020.07.08,16:00:00,148100,148100,145200,145200,798
2020.07.09,8:00:00,145300,155400,145300,145300,34332
2020.07.09,12:00:00,145300,147800,145300,145300,13691
2020.07.11,8:00:00,143500,149600,142000,147000,18488
