Date,Time,Open,High,Low,Close,Volume
2020.09.22,10:30:00,119500,120300,114500,115800,9310
2020.09.22,11:00:00,115900,117600,114500,117300,4174
2020.09.22,11:30:00,117400,117700,115700,116200,3115
2020.09.22,12:00:00,116200,117000,115500,116000,2402
2020.09.22,12:30:00,116000,116900,115700,116700,1027
2020.09.22,13:00:00,116600,116600,115200,115900,1823
2020.09.22,13:30:00,115900,116200,115000,115000,2066
2020.09.22,14:00:00,115000,115900,114500,115300,2406
2020.09.22,14:30:00,115500,116600,115200,116600,2029
2020.09.23,10:30:00,117300,119000,116500,117000,6137
2020.09.23,11:00:00,116900,117000,116200,116500,3443
2020.09.23,11:30:00,116700,117100,116400,117000,1518
2020.09.23,12:00:00,116900,117000,116000,116100,1753
2020.09.23,12:30:00,116200,116900,115900,116700,789
2020.09.23,13:00:00,116600,117600,116600,117600,1638
2020.09.23,13:30:00,117300,117600,116500,117000,1104
2020.09.23,14:00:00,117000,119500,117000,117900,3903
2020.09.23,14:30:00,118000,118100,117300,117700,1746
2020.09.24,10:30:00,118000,118400,117200,118300,1393
2020.09.24,11:00:00,118000,119000,117400,118900,2476
2020.09.24,11:30:00,118700,120200,118700,119300,3894
2020.09.24,12:00:00,119500,119500,118800,119200,1424
2020.09.24,12:30:00,119200,120000,119000,120000,1871
2020.09.24,13:00:00,120000,123600,119700,123600,7640
2020.09.24,13:30:00,123300,124000,122400,123000,5640
2020.09.24,14:00:00,123000,124000,122200,123600,7073
2020.09.24,14:30:00,123600,124000,122700,123100,2771
2020.09.26,10:30:00,123000,127000,122800,124000,9082
2020.09.26,11:00:00,124100,124500,123300,123900,2162
2020.09.26,11:30:00,123800,124200,123000,123500,2438
2020.09.26,12:00:00,123500,124200,123400,124100,930
2020.09.26,12:30:00,124100,125500,124000,125100,1938
2020.09.26,13:00:00,125100,129700,125100,128800,8960
2020.09.26,13:30:00,128700,129500,128100,129100,1823
2020.09.26,14:00:00,129000,129700,127900,129700,3457
2020.09.26,14:30:00,129700,129700,129300,129700,3346
2020.09.27,10:30:00,130800,131300,127800,128100,14692
2020.09.27,11:00:00,128200,128200,122900,124100,11702
2020.09.27,11:30:00,124100,125900,123400,125000,5317
2020.09.27,12:00:00,125000,126000,124400,124900,2028
2020.09.27,12:30:00,125000,125200,124000,124900,2069
2020.09.27,13:00:00,124900,126500,124800,125800,2370
2020.09.27,13:30:00,125800,125800,123000,123800,4721
2020.09.27,14:00:00,123700,124300,123100,123700,3141
2020.09.27,14:30:00,123700,124100,122800,122800,7295
2020.09.28,10:30:00,120700,122200,117500,118600,9694
2020.09.28,11:00:00,118600,119400,117800,118400,7042
2020.09.28,11:30:00,118400,120300,118200,119400,2945
2020.09.28,12:00:00,119400,120400,119000,120000,3412
2020.09.28,12:30:00,120000,121200,119200,119300,5354
2020.09.28,13:00:00,119300,119400,117400,118200,6431
2020.09.28,13:30:00,118300,118300,117500,117800,3273
2020.09.28,14:00:00,117700,117700,117400,117400,2795
2020.09.28,14:30:00,117400,117700,117400,117400,2320
2020.09.29,10:30:00,116600,117300,114200,115800,10532
2020.09.29,11:00:00,115800,117100,115300,116300,3132
2020.09.29,11:30:00,116300,116800,115400,116500,2674
2020.09.29,12:00:00,116500,119800,115800,118600,7647
2020.09.29,12:30:00,118700,118800,116000,116700,4928
2020.09.29,13:00:00,116700,117000,113300,113900,8057
2020.09.29,13:30:00,114100,114100,113000,113500,3552
2020.09.29,14:00:00,113500,123500,113300,120900,13594
2020.09.29,14:30:00,120900,123500,119100,119600,11376
2020.09.30,10:30:00,121000,122300,118800,120700,6274
2020.09.30,11:00:00,120700,123300,119500,122100,4145
2020.09.30,11:30:00,122200,122600,121100,122600,1776
2020.09.30,12:00:00,122600,123300,120700,121300,3428
2020.09.30,12:30:00,121300,123500,119500,122700,5711
2020.09.30,13:00:00,122700,122800,121300,122300,1888
2020.09.30,13:30:00,122100,122300,120400,121700,3536
2020.09.30,14:00:00,121700,126200,121600,125600,11435
2020.09.30,14:30:00,125600,125900,124100,124600,5210
2020.10.01,10:30:00,126900,128100,124600,124900,5789
2020.10.01,11:00:00,124900,126100,124400,124600,3622
2020.10.01,11:30:00,124500,126300,124300,125700,2821
2020.10.01,12:00:00,125700,127200,125500,126700,3807
2020.10.01,12:30:00,126700,127700,125500,126000,4334
2020.10.01,13:00:00,126000,131100,125000,131100,13981
2020.10.01,13:30:00,131100,131100,131000,131100,1656
2020.10.01,14:00:00,131100,131100,131100,131100,140
2020.10.01,14:30:00,131100,131100,131100,131100,23
2020.10.03,10:30:00,137100,137100,137100,137100,72
2020.10.03,11:00:00,137100,137100,137100,137100,7
2020.10.03,11:30:00,137100,137100,137100,137100,60
2020.10.03,12:00:00,137100,137100,137100,137100,12
2020.10.03,12:30:00,137100,137100,137100,137100,8
2020.10.03,13:00:00,137100,137100,137100,137100,2
2020.10.03,14:30:00,137100,137100,137100,137100,7
2020.10.03,17:00:00,141100,148400,141100,148400,1240
2020.10.04,10:30:00,143900,143900,139500,142700,24349
2020.10.04,11:00:00,142800,143900,141300,141800,8370
2020.10.04,11:30:00,141800,143300,140800,141100,3036
2020.10.04,12:00:00,141100,143400,140700,141600,2253
2020.10.04,12:30:00,141500,141600,136200,140800,12368
2020.10.04,13:00:00,140800,143100,140800,141300,6753
2020.10.04,13:30:00,141300,142600,139900,141200,3998
2020.10.04,14:00:00,141200,141600,139400,141000,3129
2020.10.04,14:30:00,141100,143900,141000,143900,9143
2020.10.05,10:30:00,144200,144900,141700,142900,9238
2020.10.05,11:00:00,143000,146000,142200,145000,5644
2020.10.05,11:30:00,145000,147400,144400,146700,7430
2020.10.05,12:00:00,146800,146900,145500,146300,3132
2020.10.05,12:30:00,146300,147100,145300,146200,5301
2020.10.05,13:00:00,146200,148600,145900,147600,6449
2020.10.05,13:30:00,147500,148000,143800,144000,7253
2020.10.05,14:00:00,144400,144800,142700,144300,8106
