Date,Open,High,Low,Close,Volume
10/30/19,116400,117900,113500,114200,43903
10/31/19,116400,117000,113600,115200,38205
11/1/19,116400,116400,112900,115600,38808
11/2/19,116400,116600,114800,115200,18478
11/3/19,116400,116200,114200,116100,30666
11/4/19,116400,116600,113400,114100,24329
11/5/19,116400,113800,108300,108300,50294
11/6/19,116400,108700,103300,107700,60055
11/7/19,116400,109800,105200,109100,58195
11/8/19,116400,111100,106000,106000,36581
11/9/19,116400,106700,101800,101800,45887
11/10/19,116400,106400,98900,106200,65037
11/11/19,116400,106800,101400,101500,50690
11/12/19,116400,103600,97300,97500,53117
11/13/19,116400,99300,94800,97900,53143
11/14/19,116400,99000,95800,96600,26305
11/15/19,116400,101300,97900,101300,11684
11/16/19,116400,106300,96400,98000,65054
11/17/19,116400,101400,94000,94400,67262
11/18/19,116400,95100,90500,91400,35765
11/19/19,116400,92600,88900,90500,24639
11/20/19,116400,92600,89500,91600,20123
11/21/19,116400,94000,90900,92500,24260
11/22/19,116400,93100,88200,88200,20517
11/23/19,116400,85200,83900,83900,12572
11/24/19,116400,84500,79800,81000,22289
11/25/19,116400,83100,80000,81400,13039
11/26/19,116400,86300,81000,86300,12448
11/27/19,116400,90500,90500,90500,213
11/28/19,116400,95000,87000,92300,38546
11/29/19,116400,93300,90800,91500,18515
11/30/19,116400,95600,90400,94900,18621
12/1/19,116400,99700,95200,99700,18676
12/2/19,116400,104100,99200,104100,30924
12/3/19,116400,108600,104500,108600,22128
12/4/19,116400,109800,102900,102900,9806
12/5/19,116400,100000,98100,98100,7216
12/6/19,116400,98200,93300,93300,15061
12/7/19,116400,94000,88700,88800,13910
12/8/19,116400,93900,87000,93600,30401
12/9/19,116400,92700,88600,88600,15911
12/10/19,116400,90700,84300,88500,17521
12/11/19,116400,89400,85100,85600,9638
12/12/19,116400,85400,82400,83500,4795
12/13/19,116400,83500,81400,82100,4173
12/14/19,116400,84200,82100,83500,5297
12/15/19,116400,82700,79200,79200,4211
12/16/19,116400,77800,75300,77000,8380
12/17/19,116400,78800,74500,77500,6439
