Date,Open,High,Low,Close,Volume
2020.09.01,26130,26130,26130,26130,917485
2020.09.02,24830,24830,24830,24830,923955
2020.09.05,23590,24820,23590,23590,3677107
2020.09.06,23100,24000,22430,22430,2648974
2020.09.07,21470,21470,21470,21470,821140
2020.09.08,20400,20400,20400,20400,2591518
2020.09.09,19380,21250,19380,20620,7660171
2020.09.12,20840,20840,19410,20800,6314165
2020.09.13,20980,20980,19540,19690,3902120
2020.09.14,19200,20830,19000,20830,4538804
2020.09.15,21420,21420,21400,21420,3922987
2020.09.16,22490,22490,20810,21800,6921747
2020.09.23,20750,20750,20750,20750,100575
2020.09.26,19950,20800,19950,20800,309895
2020.09.27,19760,19760,19760,19760,844473
2020.09.28,18780,18780,18780,18780,899290
2020.09.29,17850,18300,17850,17900,5167528
2020.09.30,17850,18580,16960,18300,3375605
2020.10.03,18490,18550,18000,18550,2164596
2020.10.04,19460,19460,17750,18710,4244527
2020.10.05,18500,19450,18070,18870,4170122
2020.10.06,18790,19410,18790,19410,2710982
2020.10.07,20180,20330,19450,20330,5294978
2020.10.10,20680,20980,20010,20700,5231634
2020.10.11,20800,21000,19990,20000,6592863
2020.10.12,19930,20190,19630,19630,5116555
2020.10.13,19010,19730,18720,19370,5538528
2020.10.14,19490,19980,19050,19980,7753076
2020.10.18,19800,19960,18710,18710,4563893
2020.10.19,18200,18350,18010,18010,857388
2020.10.20,17160,18240,17160,17830,4244999
2020.10.21,18100,18290,16550,17290,2769953
2020.10.24,16720,17150,16720,16720,2020327
2020.10.26,16130,16630,16130,16130,3156666
2020.10.27,16470,16470,15340,15370,2247596
2020.10.28,15000,16000,14820,15400,2432123
